Security,Aggregate ETF Value ($),Market Cap Live ($B)
PNC,$16.42,$68.82
USB,$31.64,$67.73
BK,$1.55,$63.21
MTB,$23.60,$29.23
FCNCA,$5.18,$25.83
FITB,$3.50,$25.36
HBAN,$3.75,$22.68
NTRS,$1.54,$20.63
CRBG,$1.15,$17.81
CFG,$8.12,$17.54
KEY,$1.15,$17.27
EWBC,$2.81,$12.49
FHN,$2.85,$10.08
SSB,$2.15,$8.89
WBS,$2.45,$8.63
COOP,$1.85,$8.38
CBSH,$22.72,$8.35
PNFP,$5.65,$8.19
CFR,$4.85,$8.14
WAL,$2.55,$7.96
UMBF,$4.51,$7.82
ONB,$1.44,$7.69
CMA,$2.55,$7.52
ZION,$2.55,$6.98
SNV,$4.24,$6.63
PB,$3.85,$6.63
MTG,$1.66,$6.29
BOKF,$5.21,$6.05
ESNT,$1.52,$5.88
CADE,$4.36,$5.64
HOMB,$2.96,$5.57
UBSI,$3.46,$5.14
FFIN,$2.54,$5.03
FNB,$1.48,$4.98
OZK,$20.38,$4.99
COLB,$1.08,$4.89
PFSI,$1.10,$4.99
VLY,$1.41,$4.90
GBCI,$0.67,$4.92
RDN,$1.55,$4.61
AUB,$1.26,$4.28
ABCB,$17.72,$4.22
BANF,$1.46,$4.08
AX,$2.82,$3.93
IBOC,$1.45,$3.89
ASB,$2.65,$3.83
UCB,$1.42,$3.48
RNST,$1.10,$3.33
TCBI,$2.51,$3.29
FBP,$2.96,$3.22
EBC,$2.01,$3.14
FULT,$1.74,$3.14
NMIH,$1.59,$3.10
WSFS,$2.65,$2.99
CATY,$2.81,$3.00
FHB,$2.54,$2.99
CBU,$2.34,$2.96
WSBC,$0.52,$2.94
FIBK,$1.75,$2.83
BOH,$1.10,$2.63
INDB,$1.72,$2.61
TOWN,$0.25,$2.60
BKU,$5.32,$2.54
TBBK,$0.77,$2.39
SFNC,$1.42,$2.36
WAFD,$1.42,$2.28
FRME,$0.98,$2.19
NBTB,$0.52,$2.18
PFS,$0.59,$2.18
SYBT,$0.52,$2.17
SBCF,$0.52,$2.21
BANR,$0.55,$2.12
TRMK,$1.42,$2.07
PPBI,$1.42,$2.05
BANC,$1.37,$2.02
BUSE,$0.26,$1.97
EFSC,$0.26,$1.95
CASH,$1.12,$1.83
CHCO,$0.51,$1.70
FBNC,$0.51,$1.71
FCF,$0.68,$1.64
NWBI,$0.51,$1.57
LKFN,$0.51,$1.53
CLBK,$0.26,$1.50
MBIN,$0.26,$1.47
SRCE,$0.26,$1.48
GABC,$0.26,$1.43
STBA,$0.26,$1.40
TFIN,$0.26,$1.38
RBCAA,$0.26,$1.34
VBTX,$0.26,$1.31
CCB,$0.25,$1.31
HOPE,$0.85,$1.29
WABC,$0.26,$1.25
BFC,$0.24,$1.15
DCOM,$0.26,$1.12
BRKL,$0.35,$0.92
CTBI,$0.52,$0.92
AMAL,$0.48,$0.92
