data_date,security,option_ticker,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-02-19,UBSI,O:UBSI250221C00035000,2025-02-21,C,35.0,35,3,0,15.6035,2
2025-02-12,UBSI,O:UBSI250221C00035000,2025-02-21,C,35.0,25,2,0,15.6035,6
2025-02-07,UBSI,O:UBSI250221C00035000,2025-02-21,C,35.0,70,5,0,15.6035,9
2025-02-06,UBSI,O:UBSI250221C00035000,2025-02-21,C,35.0,32,4,0,15.6035,10
2025-02-03,UBSI,O:UBSI250221C00035000,2025-02-21,C,35.0,50,4,0,15.6035,13
2025-02-13,UBSI,O:UBSI250221C00040000,2025-02-21,C,40.0,27,2,0,15.6035,1
2025-02-12,UBSI,O:UBSI250221C00040000,2025-02-21,C,40.0,60,3,0,15.6035,2
2025-01-23,UBSI,O:UBSI250221C00040000,2025-02-21,C,40.0,23,3,0,15.6035,16
2025-01-17,UBSI,O:UBSI250221C00040000,2025-02-21,C,40.0,20,4,0,15.6035,19
2025-03-20,UBSI,O:UBSI250321P00035000,2025-03-21,P,35.0,21,3,0,15.6035,1
2025-03-14,UBSI,O:UBSI250321P00035000,2025-03-21,P,35.0,20,3,0,15.6035,5
2025-04-07,UBSI,O:UBSI250516C00040000,2025-05-16,C,40.0,60,1,0,15.6035,1
