data_date,security,option_ticker,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-01-28,CRBG,O:CRBG250221C00036000,2025-02-21,C,36.0,322,31,9,220.79399999999998,1
2025-01-16,CRBG,O:CRBG250221C00036000,2025-02-21,C,36.0,641,26,9,220.79399999999998,8
2025-03-28,CRBG,O:CRBG250417P00030000,2025-04-17,P,30.0,500,11,9,220.79399999999998,11
2025-02-19,CRBG,O:CRBG250221C00033000,2025-02-21,C,33.0,1528,44,9,220.79399999999998,1
2025-02-14,CRBG,O:CRBG250221C00033000,2025-02-21,C,33.0,2450,80,9,220.79399999999998,3
2025-02-13,CRBG,O:CRBG250221C00033000,2025-02-21,C,33.0,310,32,9,220.79399999999998,4
2025-02-12,CRBG,O:CRBG250221C00033000,2025-02-21,C,33.0,2167,46,9,220.79399999999998,5
2025-01-21,CRBG,O:CRBG250221C00033000,2025-02-21,C,33.0,2096,193,9,220.79399999999998,21
2025-01-17,CRBG,O:CRBG250221C00033000,2025-02-21,C,33.0,622,85,9,220.79399999999998,22
2025-01-16,CRBG,O:CRBG250221P00027000,2025-02-21,P,27.0,641,26,9,220.79399999999998,1
2025-03-03,CRBG,O:CRBG250321C00035000,2025-03-21,C,35.0,7217,76,9,220.79399999999998,9
2025-02-28,CRBG,O:CRBG250321C00035000,2025-03-21,C,35.0,393,42,9,220.79399999999998,10
2025-02-21,CRBG,O:CRBG250321C00035000,2025-03-21,C,35.0,1386,76,9,220.79399999999998,15
2025-02-19,CRBG,O:CRBG250321C00035000,2025-03-21,C,35.0,1252,6,9,220.79399999999998,17
2025-02-14,CRBG,O:CRBG250321C00035000,2025-03-21,C,35.0,506,103,9,220.79399999999998,19
2025-02-13,CRBG,O:CRBG250321C00035000,2025-03-21,C,35.0,526,97,9,220.79399999999998,20
2025-02-12,CRBG,O:CRBG250321C00035000,2025-03-21,C,35.0,5244,113,9,220.79399999999998,21
2025-03-03,CRBG,O:CRBG250321C00036000,2025-03-21,C,36.0,7057,9,9,220.79399999999998,1
2025-02-28,CRBG,O:CRBG250321C00036000,2025-03-21,C,36.0,466,33,9,220.79399999999998,2
2025-04-15,CRBG,O:CRBG250417C00028000,2025-04-17,C,28.0,751,3,9,220.79399999999998,2
2025-04-11,CRBG,O:CRBG250417C00028000,2025-04-17,C,28.0,1510,57,9,220.79399999999998,4
2025-03-03,CRBG,O:CRBG250321P00035000,2025-03-21,P,35.0,894,85,9,220.79399999999998,1
2025-02-19,CRBG,O:CRBG250221P00033000,2025-02-21,P,33.0,1043,45,9,220.79399999999998,1
2025-02-18,CRBG,O:CRBG250221P00033000,2025-02-21,P,33.0,520,48,9,220.79399999999998,2
2025-03-20,CRBG,O:CRBG250321C00033000,2025-03-21,C,33.0,466,54,9,220.79399999999998,1
2025-02-21,CRBG,O:CRBG250321C00033000,2025-03-21,C,33.0,1518,148,9,220.79399999999998,20
2025-04-11,CRBG,O:CRBG250516C00028000,2025-05-16,C,28.0,376,23,9,220.79399999999998,17
2025-03-07,CRBG,O:CRBG250321P00028000,2025-03-21,P,28.0,603,44,9,220.79399999999998,2
2025-02-12,CRBG,O:CRBG250221C00034000,2025-02-21,C,34.0,1575,16,9,220.79399999999998,5
2025-01-21,CRBG,O:CRBG250221C00034000,2025-02-21,C,34.0,1604,167,9,220.79399999999998,21
2025-02-04,CRBG,O:CRBG250221P00034000,2025-02-21,P,34.0,662,237,9,220.79399999999998,10
2025-05-06,CRBG,O:CRBG250516C00032000,2025-05-16,C,32.0,266,8,9,220.79399999999998,5
2025-02-04,CRBG,O:CRBG250221P00030000,2025-02-21,P,30.0,641,233,9,220.79399999999998,1
2025-01-16,CRBG,O:CRBG250221P00030000,2025-02-21,P,30.0,671,29,9,220.79399999999998,13
2025-03-18,CRBG,O:CRBG250321P00032000,2025-03-21,P,32.0,1000,1,9,220.79399999999998,1
2025-02-21,CRBG,O:CRBG250321P00032000,2025-03-21,P,32.0,1000,1,9,220.79399999999998,18
2025-02-19,CRBG,O:CRBG250321P00032000,2025-03-21,P,32.0,1000,66,9,220.79399999999998,20
2025-03-11,CRBG,O:CRBG250321C00032000,2025-03-21,C,32.0,319,11,9,220.79399999999998,4
2025-02-13,CRBG,O:CRBG250321C00034000,2025-03-21,C,34.0,660,31,9,220.79399999999998,22
