data_date,option_ticker,size,price,trade_value,trade_value_bracket,sip_timestamp,conditions,correction,exchange,id,name,type,data_types,security,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-05-30,O:EWBC250620C00090000,22,3.6,7920.0,<$0.1M,1748618887866000000,209,0,320,209,Automatic Execution,sale_condition,trade,EWBC,2025-06-20,C,90.0,116,24,21,71.199,6
2025-05-30,O:EWBC250620C00090000,10,3.6,3600.0,<$0.1M,1748618887881000000,209,0,320,209,Automatic Execution,sale_condition,trade,EWBC,2025-06-20,C,90.0,116,24,21,71.199,6
2025-05-30,O:EWBC250620C00090000,10,3.6,3600.0,<$0.1M,1748618887889000000,209,0,320,209,Automatic Execution,sale_condition,trade,EWBC,2025-06-20,C,90.0,116,24,21,71.199,6
2025-05-08,O:EWBC250718C00095000,25,2.7,6750.0,<$0.1M,1746714196509000000,209,0,308,209,Automatic Execution,sale_condition,trade,EWBC,2025-07-18,C,95.0,76,8,21,71.199,21
2025-05-08,O:EWBC250718C00095000,25,3.0,7500.0,<$0.1M,1746718016799000000,209,0,308,209,Automatic Execution,sale_condition,trade,EWBC,2025-07-18,C,95.0,76,8,21,71.199,21
2025-05-20,O:EWBC250718C00105000,50,1.0,5000.0,<$0.1M,1747758931418000000,209,0,301,209,Automatic Execution,sale_condition,trade,EWBC,2025-07-18,C,105.0,108,6,21,71.199,13
2025-04-30,O:EWBC250718P00080000,7,3.7,2590.0,<$0.1M,1746023660029000000,209,0,308,209,Automatic Execution,sale_condition,trade,EWBC,2025-07-18,P,80.0,100,35,21,71.199,27
2025-04-30,O:EWBC250718P00080000,8,3.7,2960.0,<$0.1M,1746023660029000000,209,0,323,209,Automatic Execution,sale_condition,trade,EWBC,2025-07-18,P,80.0,100,35,21,71.199,27
2025-04-30,O:EWBC250718P00080000,9,3.7,3330.0000000000005,<$0.1M,1746023660029000000,209,0,301,209,Automatic Execution,sale_condition,trade,EWBC,2025-07-18,P,80.0,100,35,21,71.199,27
2025-04-30,O:EWBC250718P00080000,26,3.6,9360.0,<$0.1M,1746031310442000000,209,0,323,209,Automatic Execution,sale_condition,trade,EWBC,2025-07-18,P,80.0,100,35,21,71.199,27
