data_date,security,option_ticker,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-04-25,EWBC,O:EWBC250516P00060000,2025-05-16,P,60.0,277,57,9,196.941,1
2025-04-11,EWBC,O:EWBC250417P00045000,2025-04-17,P,45.0,488,124,9,196.941,1
2025-03-04,EWBC,O:EWBC250321P00075000,2025-03-21,P,75.0,253,50,9,196.941,1
2025-04-21,EWBC,O:EWBC250516P00080000,2025-05-16,P,80.0,203,8,9,196.941,14
2025-01-24,EWBC,O:EWBC250221P00080000,2025-02-21,P,80.0,286,94,9,196.941,17
2025-04-09,EWBC,O:EWBC250417P00075000,2025-04-17,P,75.0,200,2,9,196.941,1
2025-04-03,EWBC,O:EWBC250417P00075000,2025-04-17,P,75.0,536,11,9,196.941,5
2025-01-23,EWBC,O:EWBC250221C00105000,2025-02-21,C,105.0,332,59,9,196.941,20
2025-05-06,EWBC,O:EWBC250516P00065000,2025-05-16,P,65.0,336,78,9,196.941,1
2025-04-03,EWBC,O:EWBC250417C00090000,2025-04-17,C,90.0,332,5,9,196.941,1
2025-04-11,EWBC,O:EWBC250417P00065000,2025-04-17,P,65.0,212,16,9,196.941,1
2025-04-04,EWBC,O:EWBC250417P00065000,2025-04-17,P,65.0,522,27,9,196.941,6
2025-03-06,EWBC,O:EWBC250321P00065000,2025-03-21,P,65.0,380,127,9,196.941,5
