data_date,security,option_ticker,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-06-03,KEY,O:KEY250613C00016000,2025-06-13,C,16.0,214,15,9,92.053,4
2025-06-06,KEY,O:KEY250613C00016500,2025-06-13,C,16.5,277,17,9,92.053,1
2025-05-29,KEY,O:KEY250613C00016500,2025-06-13,C,16.5,219,29,9,92.053,7
2025-05-28,KEY,O:KEY250613C00017500,2025-06-13,C,17.5,127,24,9,92.053,8
2025-06-06,KEY,O:KEY250613P00016000,2025-06-13,P,16.0,135,22,9,92.053,1
2025-06-04,KEY,O:KEY250620C00016000,2025-06-20,C,16.0,109,6,9,92.053,3
2025-05-27,KEY,O:KEY250620C00016000,2025-06-20,C,16.0,176,24,9,92.053,9
2025-06-06,KEY,O:KEY250620C00016500,2025-06-20,C,16.5,192,26,9,92.053,1
2025-05-29,KEY,O:KEY250620C00016500,2025-06-20,C,16.5,421,43,9,92.053,7
2025-05-27,KEY,O:KEY250620C00016500,2025-06-20,C,16.5,190,13,9,92.053,9
2025-06-06,KEY,O:KEY250620C00017000,2025-06-20,C,17.0,112,7,9,92.053,1
2025-05-28,KEY,O:KEY250620C00018000,2025-06-20,C,18.0,174,30,9,92.053,8
2025-05-27,KEY,O:KEY250620C00018000,2025-06-20,C,18.0,100,3,9,92.053,9
2025-06-06,KEY,O:KEY250620C00020000,2025-06-20,C,20.0,200,2,9,92.053,1
2025-05-29,KEY,O:KEY250620P00015000,2025-06-20,P,15.0,203,17,9,92.053,7
2025-05-29,KEY,O:KEY250620P00020000,2025-06-20,P,20.0,310,1,9,92.053,7
2025-05-29,KEY,O:KEY250620P00022000,2025-06-20,P,22.0,310,1,9,92.053,7
2025-06-06,KEY,O:KEY250627C00015500,2025-06-27,C,15.5,210,15,9,92.053,1
2025-06-03,KEY,O:KEY250627P00015000,2025-06-27,P,15.0,143,5,9,92.053,4
2025-05-28,KEY,O:KEY250718C00017000,2025-07-18,C,17.0,283,13,9,92.053,8
