data_date,security,option_ticker,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-04-14,MTB,O:MTB250417C00160000,2025-04-17,C,160.0,162,35,9,146.989,3
2025-02-21,MTB,O:MTB250321C00210000,2025-03-21,C,210.0,599,64,9,146.989,20
2025-04-14,MTB,O:MTB250417C00175000,2025-04-17,C,175.0,329,17,9,146.989,1
2025-01-16,MTB,O:MTB250117P00195000,2025-01-17,P,195.0,158,24,9,146.989,1
2025-05-15,MTB,O:MTB250516C00175000,2025-05-16,C,175.0,425,91,9,146.989,1
2025-04-17,MTB,O:MTB250516C00175000,2025-05-16,C,175.0,549,258,9,146.989,20
2025-01-15,MTB,O:MTB250117C00210000,2025-01-17,C,210.0,459,97,9,146.989,2
2025-04-11,MTB,O:MTB250417C00180000,2025-04-17,C,180.0,251,84,9,146.989,2
2025-05-12,MTB,O:MTB250620C00190000,2025-06-20,C,190.0,183,55,9,146.989,19
2025-05-15,MTB,O:MTB250620C00195000,2025-06-20,C,195.0,420,90,9,146.989,8
2025-05-12,MTB,O:MTB250620C00195000,2025-06-20,C,195.0,802,55,9,146.989,11
2025-01-15,MTB,O:MTB250117C00220000,2025-01-17,C,220.0,321,174,9,146.989,1
2025-01-15,MTB,O:MTB250117P00190000,2025-01-17,P,190.0,185,64,9,146.989,2
2025-02-03,MTB,O:MTB250221P00170000,2025-02-21,P,170.0,513,96,9,146.989,11
2025-04-14,MTB,O:MTB250417P00140000,2025-04-17,P,140.0,766,46,9,146.989,1
2025-01-16,MTB,O:MTB250117C00200000,2025-01-17,C,200.0,390,87,9,146.989,1
2025-01-15,MTB,O:MTB250117C00200000,2025-01-17,C,200.0,623,293,9,146.989,2
2025-03-21,MTB,O:MTB250417C00195000,2025-04-17,C,195.0,409,40,9,146.989,16
2025-04-29,MTB,O:MTB250516P00170000,2025-05-16,P,170.0,156,3,9,146.989,1
2025-03-17,MTB,O:MTB250321P00155000,2025-03-21,P,155.0,252,43,9,146.989,1
2025-01-15,MTB,O:MTB250117P00185000,2025-01-17,P,185.0,370,179,9,146.989,2
2025-04-14,MTB,O:MTB250417P00155000,2025-04-17,P,155.0,157,41,9,146.989,3
2025-04-11,MTB,O:MTB250417P00155000,2025-04-17,P,155.0,281,69,9,146.989,4
2025-04-02,MTB,O:MTB250417P00175000,2025-04-17,P,175.0,147,6,9,146.989,3
2025-01-21,MTB,O:MTB250221C00210000,2025-02-21,C,210.0,158,37,9,146.989,21
2025-01-17,MTB,O:MTB250221C00210000,2025-02-21,C,210.0,493,64,9,146.989,22
2025-04-29,MTB,O:MTB250516P00165000,2025-05-16,P,165.0,150,1,9,146.989,10
2025-04-11,MTB,O:MTB250417P00125000,2025-04-17,P,125.0,354,26,9,146.989,3
2025-04-11,MTB,O:MTB250417C00165000,2025-04-17,C,165.0,226,84,9,146.989,2
