data_date,option_ticker,size,price,trade_value,trade_value_bracket,sip_timestamp,conditions,correction,exchange,id,name,type,data_types,security,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-04-14,O:MTG250620C00025000,25,1.05,2625.0,<$0.1M,1744646516012000000,209,0,301,209,Automatic Execution,sale_condition,trade,MTG,2025-06-20,C,25.0,1373,226,21,227.741,38
2025-04-14,O:MTG250620C00025000,38,1.0,3800.0,<$0.1M,1744644382460000000,209,0,323,209,Automatic Execution,sale_condition,trade,MTG,2025-06-20,C,25.0,1373,226,21,227.741,38
2025-04-14,O:MTG250620C00025000,19,1.05,1995.0,<$0.1M,1744643232086000000,209,0,301,209,Automatic Execution,sale_condition,trade,MTG,2025-06-20,C,25.0,1373,226,21,227.741,38
2025-04-14,O:MTG250620C00025000,20,1.03,2060.0,<$0.1M,1744642980447000000,227,0,323,227,Single Leg Auction Non ISO,sale_condition,trade,MTG,2025-06-20,C,25.0,1373,226,21,227.741,38
2025-04-14,O:MTG250620C00025000,20,1.0,2000.0,<$0.1M,1744642619200000000,209,0,301,209,Automatic Execution,sale_condition,trade,MTG,2025-06-20,C,25.0,1373,226,21,227.741,38
2025-04-14,O:MTG250620C00025000,39,1.0,3900.0,<$0.1M,1744642619168000000,209,0,309,209,Automatic Execution,sale_condition,trade,MTG,2025-06-20,C,25.0,1373,226,21,227.741,38
2025-04-14,O:MTG250620C00025000,29,1.0,2900.0,<$0.1M,1744642565475000000,209,0,309,209,Automatic Execution,sale_condition,trade,MTG,2025-06-20,C,25.0,1373,226,21,227.741,38
2025-04-14,O:MTG250620C00025000,100,1.0,10000.0,<$0.1M,1744653544384000000,209,0,300,209,Automatic Execution,sale_condition,trade,MTG,2025-06-20,C,25.0,1373,226,21,227.741,38
2025-04-14,O:MTG250620C00025000,40,1.0,4000.0,<$0.1M,1744653544384000000,209,0,300,209,Automatic Execution,sale_condition,trade,MTG,2025-06-20,C,25.0,1373,226,21,227.741,38
2025-04-14,O:MTG250620C00025000,20,1.0,2000.0,<$0.1M,1744644437438000000,209,0,320,209,Automatic Execution,sale_condition,trade,MTG,2025-06-20,C,25.0,1373,226,21,227.741,38
