data_date,security,option_ticker,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-01-30,RDN,O:RDN250221P00033000,2025-02-21,P,33.0,45,31,0,24.6035,1
2025-01-23,RDN,O:RDN250221P00033000,2025-02-21,P,33.0,93,34,0,24.6035,6
2025-02-21,RDN,O:RDN250321C00034000,2025-03-21,C,34.0,27,3,0,24.6035,1
2025-02-05,RDN,O:RDN250221C00034000,2025-02-21,C,34.0,56,6,0,24.6035,1
2025-02-05,RDN,O:RDN250221C00036000,2025-02-21,C,36.0,745,2,0,24.6035,1
2025-01-23,RDN,O:RDN250221P00032000,2025-02-21,P,32.0,32,8,0,24.6035,1
2025-02-05,RDN,O:RDN250221P00034000,2025-02-21,P,34.0,132,17,0,24.6035,1
2025-01-30,RDN,O:RDN250221P00034000,2025-02-21,P,34.0,43,29,0,24.6035,5
2025-01-23,RDN,O:RDN250221P00034000,2025-02-21,P,34.0,50,15,0,24.6035,10
2025-05-09,RDN,O:RDN250516C00033000,2025-05-16,C,33.0,280,1,0,24.6035,1
2025-05-21,RDN,O:RDN250620P00035000,2025-06-20,P,35.0,60,15,0,24.6035,1
2025-01-30,RDN,O:RDN250221P00035000,2025-02-21,P,35.0,25,17,0,24.6035,1
2025-04-21,RDN,O:RDN250516P00034000,2025-05-16,P,34.0,45,1,0,24.6035,1
2025-05-14,RDN,O:RDN250620P00033000,2025-06-20,P,33.0,42,1,0,24.6035,1
2025-03-07,RDN,O:RDN250321P00032000,2025-03-21,P,32.0,45,5,0,24.6035,4
2025-02-18,RDN,O:RDN250221C00037000,2025-02-21,C,37.0,49,1,0,24.6035,1
2025-02-05,RDN,O:RDN250221P00031000,2025-02-21,P,31.0,745,2,0,24.6035,1
