data_date,security,option_ticker,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-02-24,TCBI,O:TCBI250321P00080000,2025-03-21,P,80.0,40,3,0,15.0,6
2025-04-21,TCBI,O:TCBI250516P00060000,2025-05-16,P,60.0,20,1,0,15.0,1
2025-04-07,TCBI,O:TCBI250516P00060000,2025-05-16,P,60.0,20,1,0,15.0,10
2025-03-12,TCBI,O:TCBI250417C00080000,2025-04-17,C,80.0,27,8,0,15.0,1
2025-03-11,TCBI,O:TCBI250417C00080000,2025-04-17,C,80.0,25,6,0,15.0,2
2025-04-16,TCBI,O:TCBI250417P00060000,2025-04-17,P,60.0,272,163,0,15.0,1
2025-03-20,TCBI,O:TCBI250417P00060000,2025-04-17,P,60.0,266,266,0,15.0,20
2025-01-23,TCBI,O:TCBI250221C00070000,2025-02-21,C,70.0,15,2,0,15.0,1
2025-01-22,TCBI,O:TCBI250221C00070000,2025-02-21,C,70.0,15,1,0,15.0,2
2025-04-09,TCBI,O:TCBI250417P00065000,2025-04-17,P,65.0,15,3,0,15.0,1
2025-04-16,TCBI,O:TCBI250417P00080000,2025-04-17,P,80.0,266,160,0,15.0,1
2025-03-20,TCBI,O:TCBI250417P00080000,2025-04-17,P,80.0,266,266,0,15.0,20
