security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240920P00170000,BA,P,170.0,2024-09-20,209,0,325,4.25,1724781391141000000,250,106250.0,2024-08-27,Automatic Execution,Aerospace,Aerospace - Defense,173.62,173.93,171.25,173.05,205,5.026328938722349,1,1,1,1,0
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240920C00190000,BA,C,190.0,2024-09-20,209,0,313,1.15,1724948337720000000,1087,125005.0,2024-08-29,Automatic Execution,Aerospace,Aerospace - Defense,171.71,175.28,170.62,172.26,166,5.096927384439907,1,0,0,0,1
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240920C00175000,BA,C,175.0,2024-09-20,231,0,301,4.2,1725037706868000000,150,63000.0,2024-08-30,Single Leg Floor Trade,Aerospace,Aerospace - Defense,173.14,174.36,171.49,173.74,558,4.799340549453582,1,0,0,0,1
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240906P00157500,BA,P,157.5,2024-09-06,209,0,313,2.15,1725374065234000000,299,64285.0,2024-09-03,Automatic Execution,Aerospace,Aerospace - Defense,167.03,169.6,158.3,161.02,532,4.808109648240035,1,1,1,0,0
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240913P00155000,BA,P,155.0,2024-09-13,209,0,316,1.9,1725371316832000000,300,57000.0,2024-09-03,Automatic Execution,Aerospace,Aerospace - Defense,167.03,169.6,158.3,161.02,669,4.7558748556724915,1,0,0,0,1
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240920P00150000,BA,P,150.0,2024-09-20,209,0,313,2.22,1725375796348000000,300,66600.00000000001,2024-09-03,Automatic Execution,Aerospace,Aerospace - Defense,167.03,169.6,158.3,161.02,497,4.823474229170301,1,0,0,0,1
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240920P00155000,BA,P,155.0,2024-09-20,209,0,313,2.25,1725370741268000000,300,67500.0,2024-09-03,Automatic Execution,Aerospace,Aerospace - Defense,167.03,169.6,158.3,161.02,488,4.829303772831025,1,1,1,1,0
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240920P00157500,BA,P,157.5,2024-09-20,209,0,316,4.5,1725374895063000000,147,66150.0,2024-09-03,Automatic Execution,Aerospace,Aerospace - Defense,167.03,169.6,158.3,161.02,506,4.8205298485235195,1,1,1,1,0
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240927P00155000,BA,P,155.0,2024-09-27,209,0,313,2.17,1725370327378000000,300,65100.0,2024-09-03,Automatic Execution,Aerospace,Aerospace - Defense,167.03,169.6,158.3,161.02,519,4.813580988568192,1,1,1,0,0
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240920P00160000,BA,P,160.0,2024-09-20,209,0,313,3.25,1725464140739000000,198,64350.0,2024-09-04,Automatic Execution,Aerospace,Aerospace - Defense,160.28,166.7,160.28,163.22,531,4.808548551240405,1,1,1,1,0
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240920P00160000,BA,P,160.0,2024-09-20,209,0,315,3.2,1725463984651000000,200,64000.0,2024-09-04,Automatic Execution,Aerospace,Aerospace - Defense,160.28,166.7,160.28,163.22,535,4.8061799739838875,1,1,1,1,0
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240920P00160000,BA,P,160.0,2024-09-20,227,0,323,2.95,1725461772290000000,200,59000.0,2024-09-04,Single Leg Auction Non ISO,Aerospace,Aerospace - Defense,160.28,166.7,160.28,163.22,630,4.770852011642144,1,1,1,1,0
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA241004P00155000,BA,P,155.0,2024-10-04,209,0,313,3.75,1725457623553000000,200,75000.0,2024-09-04,Automatic Execution,Aerospace,Aerospace - Defense,160.28,166.7,160.28,163.22,419,4.8750612633917,1,1,1,1,0
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240920P00160000,BA,P,160.0,2024-09-20,209,0,300,3.65,1725561684373000000,160,58400.0,2024-09-05,Automatic Execution,Aerospace,Aerospace - Defense,164.15,164.6163,160.1,162.15,643,4.7664128471124,1,1,1,1,0
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,5. p99_trade_value,57000.0,210960.0,O:BA240920P00160000,BA,P,160.0,2024-09-20,209,0,325,4.32,1725555255551000000,160,69120.0,2024-09-05,Automatic Execution,Aerospace,Aerospace - Defense,164.15,164.6163,160.1,162.15,478,4.839603729470837,1,1,1,1,0
BA,Aerospace,Aerospace - Defense,50__3,50,3.0,4. p999_trade_value,211650.0,771344.0,O:BA240920P00160000,BA,P,160.0,2024-09-20,209,0,325,4.86,1725550838416000000,563,273618.0,2024-09-05,Automatic Execution,Aerospace,Aerospace - Defense,164.15,164.6163,160.1,162.15,43,5.43714466411364,1,1,1,1,0
