security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,7. p90_trade_value,20250.0,55500.0,O:CWH240920C00022000,CWH,C,22.0,2024-09-20,209,0,301,0.6,1725989561522000000,469,28139.999999999996,2024-09-10,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,21.72,21.73,20.84,21.55,12,4.449324093098727,2,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,8. p75_trade_value,8125.0,19240.0,O:CWH241018C00026000,CWH,C,26.0,2024-10-18,235,0,301,0.12,1727893517271000000,821,9852.0,2024-10-02,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,23.5,24.0696,23.43,23.53,27,3.993524403167066,4,0,0,0,1
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,7. p90_trade_value,20250.0,55500.0,O:CWH241018P00023000,CWH,P,23.0,2024-10-18,235,0,301,0.6,1727893517271000000,821,49260.0,2024-10-02,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,23.5,24.0696,23.43,23.53,10,4.6924944075030846,2,1,0,0,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,8. p75_trade_value,8125.0,19240.0,O:CWH241018C00025000,CWH,C,25.0,2024-10-18,235,0,313,0.2,1728494268906000000,639,12780.000000000002,2024-10-09,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,23.1,23.17,22.53,22.85,20,4.106530853822381,3,0,0,0,1
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,7. p90_trade_value,20250.0,55500.0,O:CWH241018C00023000,CWH,C,23.0,2024-10-18,227,0,302,0.31,1728568037625000000,681,21111.0,2024-10-10,Single Leg Auction Non ISO,Auto-Tires-Trucks,Automotive - Original Equipment,22.24,22.545,21.9,22.33,14,4.324508805747058,2,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,8. p75_trade_value,8125.0,19240.0,O:CWH241115C00022000,CWH,C,22.0,2024-11-15,209,0,315,1.3,1730145466119000000,74,9620.0,2024-10-28,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,21.3,21.75,21.17,21.41,28,3.983175072037813,4,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,8. p75_trade_value,8125.0,19240.0,O:CWH241115C00022000,CWH,C,22.0,2024-11-15,209,0,315,1.25,1730145466063000000,65,8125.0,2024-10-28,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,21.3,21.75,21.17,21.41,36,3.909823369650912,5,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,8. p75_trade_value,8125.0,19240.0,O:CWH241115C00022000,CWH,C,22.0,2024-11-15,209,0,315,1.3,1730145466150000000,87,11310.0,2024-10-28,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,21.3,21.75,21.17,21.41,23,4.053462604925455,3,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,8. p75_trade_value,8125.0,19240.0,O:CWH241115C00022000,CWH,C,22.0,2024-11-15,209,0,315,1.3,1730145466119000000,148,19240.0,2024-10-28,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,21.3,21.75,21.17,21.41,16,4.284205067701794,2,1,1,1,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,8. p75_trade_value,8125.0,19240.0,O:CWH241115P00021000,CWH,P,21.0,2024-11-15,209,0,316,1.25,1730124638924000000,100,12500.0,2024-10-28,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,21.3,21.75,21.17,21.41,21,4.096910013008056,3,1,0,0,0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,6. p95_trade_value,60000.0,220000.0,O:CWH241115C00022000,CWH,C,22.0,2024-11-15,235,0,323,0.35,1730385951314000000,2000,70000.0,2024-10-31,Multi Leg floor trade,Auto-Tires-Trucks,Automotive - Original Equipment,20.9,21.22,19.99,20.06,7,4.845098040014257,1,1,1,1,0
