security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,313,9.64,1724766780172000000,25,24100.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3483,4.382017042574868,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,313,9.64,1724766780172000000,25,24100.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3484,4.382017042574868,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,5. p99_trade_value,59280.00000000001,205000.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,209,0,313,11.5,1724781639647000000,95,109250.0,2024-08-27,Automatic Execution,Computer and Technology,Security,261.81,270.43,260.75,269.83,190,5.038421445642459,1,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,313,9.16,1724766562141000000,23,21068.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,4358,4.323623309685443,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,8. p75_trade_value,8415.0,15554.999999999998,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,233,0,302,11.62,1724782077585000000,10,11619.999999999998,2024-08-27,Multi Leg Auction,Computer and Technology,Security,261.81,270.43,260.75,269.83,10648,4.065206128054312,4,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,300,9.47,1724766756946000000,25,23675.000000000004,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3590,4.374289987675311,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,302,8.96,1724766573827000000,25,22400.000000000004,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3969,4.350248018334163,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,302,9.66,1724766780172000000,18,17388.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,5811,4.240249631518799,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,302,9.66,1724766781184000000,23,22218.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,4014,4.346704962433086,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,6. p95_trade_value,24400.0,59250.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,313,9.76,1724766797967000000,25,24400.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3416,4.38738982633873,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,302,9.63,1724766750740000000,23,22149.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,4033,4.345354123142127,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,323,9.26,1724766753658000000,25,23150.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3728,4.364550995353972,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,313,9.16,1724766560771000000,25,22900.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3812,4.359835482339888,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,308,9.47,1724766760478000000,24,22728.000000000004,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3854,4.356561220714879,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,6. p95_trade_value,24400.0,59250.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,313,9.76,1724766795758000000,25,24400.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3415,4.38738982633873,1,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,8. p75_trade_value,8415.0,15554.999999999998,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,227,0,323,9.71,1724767207745000000,10,9710.0,2024-08-27,Single Leg Auction Non ISO,Computer and Technology,Security,261.81,270.43,260.75,269.83,13960,3.9872192299080047,5,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,313,9.11,1724766595976000000,25,22775.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3840,4.357458385645036,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,313,9.11,1724766595976000000,25,22775.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3841,4.357458385645036,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,302,9.67,1724766746987000000,25,24175.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3464,4.383366482755039,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,302,9.67,1724766778321000000,25,24175.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3465,4.383366482755039,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00272500,CRWD,C,272.5,2024-08-30,232,0,313,9.11,1724766595976000000,25,22775.0,2024-08-27,Multi Leg auto-electronic trade,Computer and Technology,Security,261.81,270.43,260.75,269.83,3842,4.357458385645036,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,7. p90_trade_value,15560.0,24395.0,O:CRWD240830C00275000,CRWD,C,275.0,2024-08-30,209,0,313,10.7,1724783591138000000,15,16050.0,2024-08-27,Automatic Execution,Computer and Technology,Security,261.81,270.43,260.75,269.83,6531,4.205475036740891,2,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,8. p75_trade_value,8415.0,15554.999999999998,O:CRWD240830C00275000,CRWD,C,275.0,2024-08-30,209,0,315,11.25,1724788012904000000,10,11250.0,2024-08-27,Automatic Execution,Computer and Technology,Security,261.81,270.43,260.75,269.83,11165,4.051152522447381,4,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,8. p75_trade_value,8415.0,15554.999999999998,O:CRWD240830C00275000,CRWD,C,275.0,2024-08-30,219,0,304,11.25,1724788012902000000,10,11250.0,2024-08-27,Intermarket Sweep Order,Computer and Technology,Security,261.81,270.43,260.75,269.83,11168,4.051152522447381,4,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,8. p75_trade_value,8415.0,15554.999999999998,O:CRWD240830C00275000,CRWD,C,275.0,2024-08-30,209,0,313,11.25,1724788012900000000,9,10125.0,2024-08-27,Automatic Execution,Computer and Technology,Security,261.81,270.43,260.75,269.83,13133,4.005395031886706,4,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,8. p75_trade_value,8415.0,15554.999999999998,O:CRWD240830C00275000,CRWD,C,275.0,2024-08-30,233,0,302,10.55,1724782077585000000,10,10550.0,2024-08-27,Multi Leg Auction,Computer and Technology,Security,261.81,270.43,260.75,269.83,12295,4.023252459633712,4,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,8. p75_trade_value,8415.0,15554.999999999998,O:CRWD240830C00275000,CRWD,C,275.0,2024-08-30,209,0,313,11.25,1724788012900000000,11,12375.0,2024-08-27,Automatic Execution,Computer and Technology,Security,261.81,270.43,260.75,269.83,9696,4.092545207605606,3,1,1,1,0
CRWD,Computer and Technology,Security,50__3,50,3.0,8. p75_trade_value,8415.0,15554.999999999998,O:CRWD240830C00275000,CRWD,C,275.0,2024-08-30,233,0,312,9.4,1724779491460000000,10,9400.0,2024-08-27,Multi Leg Auction,Computer and Technology,Security,261.81,270.43,260.75,269.83,14599,3.9731278535996988,5,1,1,1,0
