security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AVTR,Medical,Medical Services,25__2,25,2.0,1. p999999_trade_value,429795.0,429795.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AVTR,Medical,Medical Services,25__2,25,2.0,5. p99_trade_value,304500.0,304500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
AVTR,Medical,Medical Services,25__2,25,2.0,6. p95_trade_value,239219.99999999997,100000.0,2.0,8.0,0.25,0.55,2. BELOW BASELINE,3.0,10.0,0.3
AVTR,Medical,Medical Services,25__2,25,2.0,7. p90_trade_value,55640.0,21010.000000000004,5.0,10.0,0.5,0.55,2. BELOW BASELINE,8.0,20.0,0.4
AVTR,Medical,Medical Services,25__2,25,2.0,8. p75_trade_value,19800.0,8080.000000000001,19.0,29.0,0.6551724137931034,0.55,2. BELOW BASELINE,27.0,49.0,0.5510204081632653
CRL,Medical,Medical Services,25__0,25,0.0,1. p999999_trade_value,539600.0,539600.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CRL,Medical,Medical Services,25__0,25,0.0,5. p99_trade_value,442395.00000000006,87500.0,4.0,4.0,1.0,0.55,1. ABOVE BASELINE,5.0,5.0,1.0
CRL,Medical,Medical Services,25__0,25,0.0,6. p95_trade_value,73750.0,22000.000000000004,22.0,22.0,1.0,0.55,1. ABOVE BASELINE,27.0,27.0,1.0
CRL,Medical,Medical Services,25__0,25,0.0,7. p90_trade_value,21339.999999999996,13200.0,18.0,22.0,0.8181818181818182,0.55,1. ABOVE BASELINE,45.0,49.0,0.9183673469387755
CRL,Medical,Medical Services,25__0,25,0.0,8. p75_trade_value,12749.999999999998,7400.0,54.0,70.0,0.7714285714285715,0.55,1. ABOVE BASELINE,99.0,119.0,0.8319327731092437
HQY,Medical,Medical Services,25__0,25,0.0,1. p999999_trade_value,80000.0,80000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
HQY,Medical,Medical Services,25__0,25,0.0,5. p99_trade_value,41200.0,41200.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
HQY,Medical,Medical Services,25__0,25,0.0,6. p95_trade_value,20943.0,14490.0,3.0,8.0,0.375,0.55,2. BELOW BASELINE,4.0,10.0,0.4
HQY,Medical,Medical Services,25__0,25,0.0,7. p90_trade_value,14220.000000000002,10000.0,6.0,9.0,0.6666666666666666,0.55,2. BELOW BASELINE,10.0,19.0,0.5263157894736842
HQY,Medical,Medical Services,25__0,25,0.0,8. p75_trade_value,9900.0,6200.0,39.0,47.0,0.8297872340425532,0.55,2. BELOW BASELINE,49.0,66.0,0.7424242424242424
ICLR,Medical,Medical Services,25__0,25,0.0,1. p999999_trade_value,766800.0,766800.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ICLR,Medical,Medical Services,25__0,25,0.0,5. p99_trade_value,248400.0,200000.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
ICLR,Medical,Medical Services,25__0,25,0.0,6. p95_trade_value,150000.0,24500.0,8.0,14.0,0.5714285714285714,0.55,2. BELOW BASELINE,10.0,17.0,0.5882352941176471
ICLR,Medical,Medical Services,25__0,25,0.0,7. p90_trade_value,24090.0,17940.0,7.0,12.0,0.5833333333333334,0.55,2. BELOW BASELINE,17.0,29.0,0.5862068965517241
ICLR,Medical,Medical Services,25__0,25,0.0,8. p75_trade_value,17500.0,9450.0,29.0,42.0,0.6904761904761905,0.55,2. BELOW BASELINE,46.0,71.0,0.647887323943662
PACS,Medical,Medical Services,25__0,25,0.0,1. p999999_trade_value,60280.00000000001,60280.00000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
PACS,Medical,Medical Services,25__0,25,0.0,5. p99_trade_value,50000.0,43860.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
PACS,Medical,Medical Services,25__0,25,0.0,6. p95_trade_value,36000.0,22500.0,1.0,10.0,0.1,0.55,2. BELOW BASELINE,2.0,13.0,0.15384615384615385
PACS,Medical,Medical Services,25__0,25,0.0,7. p90_trade_value,21850.0,15000.0,2.0,9.0,0.2222222222222222,0.55,2. BELOW BASELINE,4.0,22.0,0.18181818181818182
PACS,Medical,Medical Services,25__0,25,0.0,8. p75_trade_value,14129.999999999998,8645.0,3.0,32.0,0.09375,0.55,2. BELOW BASELINE,7.0,54.0,0.12962962962962962
