security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
UNH,Medical,Medical - HMOs,50__3,50,3.0,4. p999_trade_value,229104.0,552000.0,O:UNH240906C00595000,UNH,C,595.0,2024-09-06,235,0,300,5.5,1724768911751000000,500,275000.0,2024-08-27,Multi Leg floor trade,Medical,Medical - HMOs,589.47,592.34,583.78,587.35,61,5.439332693830263,1,1,1,1,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,3. p9999_trade_value,565000.0,1426503.0,O:UNH240913C00595000,UNH,C,595.0,2024-09-13,235,0,300,9.0,1724768911752000000,1000,900000.0,2024-08-27,Multi Leg floor trade,Medical,Medical - HMOs,589.47,592.34,583.78,587.35,4,5.954242509439325,1,1,1,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,4. p999_trade_value,229104.0,552000.0,O:UNH240920C00600000,UNH,C,600.0,2024-09-20,235,0,300,7.78,1724949357935000000,350,272300.0,2024-08-29,Multi Leg floor trade,Medical,Medical - HMOs,590.68,592.61,584.37,591.57,62,5.435047641339964,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH240920P00590000,UNH,P,590.0,2024-09-20,209,0,307,7.75,1725469542518000000,96,74400.0,2024-09-04,Automatic Execution,Medical,Medical - HMOs,600.0,607.94,597.88,604.18,713,4.871572935545879,1,1,1,1,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH240913P00570000,UNH,P,570.0,2024-09-13,227,0,323,2.5,1725890210468000000,845,211250.0,2024-09-09,Single Leg Auction Non ISO,Medical,Medical - HMOs,598.32,599.48,575.27,594.1,98,5.32479671762173,1,0,0,0,1
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH240913C00610000,UNH,C,610.0,2024-09-13,209,0,313,3.15,1725992384171000000,246,77490.0,2024-09-10,Automatic Execution,Medical,Medical - HMOs,595.21,604.7992,591.15,599.03,662,4.889245660892979,1,0,0,0,1
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH240920C00597500,UNH,C,597.5,2024-09-20,209,0,313,4.4,1726084430655000000,498,219120.00000000003,2024-09-11,Automatic Execution,Medical,Medical - HMOs,589.14,591.4,578.97,589.75,90,5.3406820192459055,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH240920C00597500,UNH,C,597.5,2024-09-20,209,0,313,3.3,1726064328096000000,250,82500.0,2024-09-11,Automatic Execution,Medical,Medical - HMOs,589.14,591.4,578.97,589.75,578,4.9164539485499255,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH240920P00575000,UNH,P,575.0,2024-09-20,209,0,316,8.25,1726064888605000000,95,78375.0,2024-09-11,Automatic Execution,Medical,Medical - HMOs,589.14,591.4,578.97,589.75,642,4.894177553838773,1,1,1,1,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018P00560000,UNH,P,560.0,2024-10-18,209,0,307,9.45,1726841306308000000,87,82215.0,2024-09-20,Automatic Execution,Medical,Medical - HMOs,571.695,578.84,569.65,575.0,581,4.914951061127882,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241004C00587500,UNH,C,587.5,2024-10-04,227,0,323,3.15,1727111538914000000,225,70875.0,2024-09-23,Single Leg Auction Non ISO,Medical,Medical - HMOs,576.49,579.435,572.0,573.41,780,4.850493071900963,1,1,1,1,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241004C00590000,UNH,C,590.0,2024-10-04,209,0,320,1.9,1727380434652000000,410,77900.0,2024-09-26,Automatic Execution,Medical,Medical - HMOs,575.0,576.6,570.91,574.81,651,4.891537457672564,1,1,1,1,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,4. p999_trade_value,229104.0,552000.0,O:UNH241004P00565000,UNH,P,565.0,2024-10-04,227,0,323,3.37,1727361369367000000,719,242303.00000000003,2024-09-26,Single Leg Auction Non ISO,Medical,Medical - HMOs,575.0,576.6,570.91,574.81,75,5.384358791254221,1,0,0,0,1
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018C00580000,UNH,C,580.0,2024-10-18,209,0,313,15.0,1727366764315000000,47,70500.0,2024-09-26,Automatic Execution,Medical,Medical - HMOs,575.0,576.6,570.91,574.81,790,4.848189116991398,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018C00590000,UNH,C,590.0,2024-10-18,209,0,315,14.85,1727810076538000000,76,112859.99999999999,2024-10-01,Automatic Execution,Medical,Medical - HMOs,585.0,588.7,580.765,583.3,327,5.052540045934022,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018P00550000,UNH,P,550.0,2024-10-18,232,0,302,4.53,1727968241355000000,200,90600.0,2024-10-03,Multi Leg auto-electronic trade,Medical,Medical - HMOs,590.61,593.23,584.365,592.75,484,4.957128197676813,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018P00550000,UNH,P,550.0,2024-10-18,232,0,302,4.42,1727973771872000000,211,93262.0,2024-10-03,Multi Leg auto-electronic trade,Medical,Medical - HMOs,590.61,593.23,584.365,592.75,453,4.9697047246467845,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018P00550000,UNH,P,550.0,2024-10-18,232,0,308,4.36,1727973090004000000,188,81968.0,2024-10-03,Multi Leg auto-electronic trade,Medical,Medical - HMOs,590.61,593.23,584.365,592.75,590,4.913644338532266,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018P00550000,UNH,P,550.0,2024-10-18,232,0,313,4.38,1727973089902000000,250,109500.0,2024-10-03,Multi Leg auto-electronic trade,Medical,Medical - HMOs,590.61,593.23,584.365,592.75,345,5.039414119176137,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018P00550000,UNH,P,550.0,2024-10-18,232,0,302,4.5,1727972104030000000,250,112500.0,2024-10-03,Multi Leg auto-electronic trade,Medical,Medical - HMOs,590.61,593.23,584.365,592.75,328,5.051152522447381,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018P00550000,UNH,P,550.0,2024-10-18,232,0,302,1.6,1728670731722000000,444,71040.00000000001,2024-10-11,Multi Leg auto-electronic trade,Medical,Medical - HMOs,596.49,601.5225,596.2,598.05,773,4.851502952770545,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018P00550000,UNH,P,550.0,2024-10-18,232,0,302,1.75,1728669650237000000,555,97125.0,2024-10-11,Multi Leg auto-electronic trade,Medical,Medical - HMOs,596.49,601.5225,596.2,598.05,416,4.987331031808971,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018P00550000,UNH,P,550.0,2024-10-18,232,0,302,1.75,1728669694830000000,500,87500.0,2024-10-11,Multi Leg auto-electronic trade,Medical,Medical - HMOs,596.49,601.5225,596.2,598.05,515,4.942008053022313,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018P00550000,UNH,P,550.0,2024-10-18,232,0,302,1.75,1728669653318000000,444,77700.0,2024-10-11,Multi Leg auto-electronic trade,Medical,Medical - HMOs,596.49,601.5225,596.2,598.05,657,4.8904210188009145,1,1,0,0,0
UNH,Medical,Medical - HMOs,50__3,50,3.0,5. p99_trade_value,69500.0,227500.0,O:UNH241018C00610000,UNH,C,610.0,2024-10-18,235,0,301,9.55,1728912804033000000,142,135610.0,2024-10-14,Multi Leg floor trade,Medical,Medical - HMOs,599.11,608.63,597.38,605.4,233,5.132291715966803,1,0,0,0,1
