security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AAL,Transportation,Transportation - Airline,35__2,35,2.0,7. p90_trade_value,14820.000000000002,23825.0,O:AAL240920P00010000,AAL,P,10.0,2024-09-20,235,0,313,0.1,1725544021423000000,1500,15000.0,2024-09-05,Multi Leg floor trade,Transportation,Transportation - Airline,10.84,11.16,10.75,10.8,390,4.176091259055681,2,0,0,0,1
AAL,Transportation,Transportation - Airline,35__2,35,2.0,6. p95_trade_value,23835.0,87514.0,O:AAL240920P00010000,AAL,P,10.0,2024-09-20,227,0,308,0.1,1725630583377000000,6634,66340.00000000001,2024-09-06,Single Leg Auction Non ISO,Transportation,Transportation - Airline,10.78,11.1,10.7,10.8,55,4.821775467183463,1,0,0,0,1
AAL,Transportation,Transportation - Airline,35__2,35,2.0,7. p90_trade_value,14820.000000000002,23825.0,O:AAL241011P00010000,AAL,P,10.0,2024-10-11,209,0,320,0.34,1726077142904000000,671,22814.0,2024-09-11,Automatic Execution,Transportation,Transportation - Airline,10.95,11.01,10.485,10.77,214,4.358201437211247,2,0,0,0,1
AAL,Transportation,Transportation - Airline,35__2,35,2.0,7. p90_trade_value,14820.000000000002,23825.0,O:AAL240920P00010500,AAL,P,10.5,2024-09-20,241,0,323,0.12,1726500174193000000,1400,16800.0,2024-09-16,Stock Options Cross,Transportation,Transportation - Airline,10.649,10.87,10.62,10.81,329,4.225309281725863,2,0,0,0,1
AAL,Transportation,Transportation - Airline,35__2,35,2.0,6. p95_trade_value,23835.0,87514.0,O:AAL241004P00009500,AAL,P,9.5,2024-10-04,241,0,323,0.08,1726499298086000000,3000,24000.0,2024-09-16,Stock Options Cross,Transportation,Transportation - Airline,10.649,10.87,10.62,10.81,202,4.380211241711606,1,0,0,0,1
AAL,Transportation,Transportation - Airline,35__2,35,2.0,5. p99_trade_value,88200.0,795000.0,O:AAL241004P00010500,AAL,P,10.5,2024-10-04,241,0,323,0.31,1726499298086000000,3000,93000.0,2024-09-16,Stock Options Cross,Transportation,Transportation - Airline,10.649,10.87,10.62,10.81,39,4.968482948553935,1,0,0,0,1
AAL,Transportation,Transportation - Airline,35__2,35,2.0,7. p90_trade_value,14820.000000000002,23825.0,O:AAL241004C00011500,AAL,C,11.5,2024-10-04,209,0,304,0.3,1726599156068000000,496,14879.999999999998,2024-09-17,Automatic Execution,Transportation,Transportation - Airline,10.99,11.26,10.95,11.17,403,4.17260293120986,2,1,1,1,0
AAL,Transportation,Transportation - Airline,35__2,35,2.0,6. p95_trade_value,23835.0,87514.0,O:AAL241018C00012000,AAL,C,12.0,2024-10-18,209,0,304,0.27,1726682918106000000,1000,27000.0,2024-09-18,Automatic Execution,Transportation,Transportation - Airline,11.24,11.285,10.92,11.03,166,4.431363764158987,1,1,1,1,0
AAL,Transportation,Transportation - Airline,35__2,35,2.0,7. p90_trade_value,14820.000000000002,23825.0,O:AAL240920P00011000,AAL,P,11.0,2024-09-20,227,0,301,0.08,1726754915774000000,1997,15976.0,2024-09-19,Single Leg Auction Non ISO,Transportation,Transportation - Airline,11.32,11.39,11.06,11.11,363,4.203468051862646,2,1,1,0,0
AAL,Transportation,Transportation - Airline,35__2,35,2.0,6. p95_trade_value,23835.0,87514.0,O:AAL241018C00012000,AAL,C,12.0,2024-10-18,227,0,309,0.15,1727192810675000000,1600,24000.0,2024-09-24,Single Leg Auction Non ISO,Transportation,Transportation - Airline,11.02,11.19,10.92,11.04,201,4.380211241711606,1,1,1,1,0
