security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ADNT,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,1. p999999_trade_value,12760.0,12760.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
ADNT,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,7. p90_trade_value,12733.000000000002,12733.000000000002,1.0,1.0,1.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
ADNT,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,8. p75_trade_value,11160.0,11160.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,1. p999999_trade_value,69859.99999999999,69859.99999999999,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,6. p95_trade_value,65000.0,65000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,7. p90_trade_value,50500.0,19500.0,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,4.0,4.0,1.0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,8. p75_trade_value,19422.0,12300.0,5.0,5.0,1.0,0.65,1. ABOVE BASELINE,9.0,9.0,1.0
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,1. p999999_trade_value,60000.0,60000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,6. p95_trade_value,42000.0,42000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,7. p90_trade_value,28500.0,28500.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,8. p75_trade_value,17000.0,14750.0,2.0,4.0,0.5,0.65,2. BELOW BASELINE,5.0,7.0,0.7142857142857143
ALV,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,1. p999999_trade_value,12375.0,12375.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
ALV,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,7. p90_trade_value,7425.0,7425.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
ALV,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,8. p75_trade_value,6800.0,5500.0,1.0,2.0,0.5,0.65,2. BELOW BASELINE,1.0,4.0,0.25
APTV,Auto-Tires-Trucks,Automotive - Original Equipment,25__2,25,2.0,1. p999999_trade_value,510000.0,510000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
APTV,Auto-Tires-Trucks,Automotive - Original Equipment,25__2,25,2.0,5. p99_trade_value,320000.0,236847.99999999994,4.0,4.0,1.0,0.65,1. ABOVE BASELINE,5.0,5.0,1.0
APTV,Auto-Tires-Trucks,Automotive - Original Equipment,25__2,25,2.0,6. p95_trade_value,207000.0,99000.0,8.0,16.0,0.5,0.65,2. BELOW BASELINE,13.0,21.0,0.6190476190476191
APTV,Auto-Tires-Trucks,Automotive - Original Equipment,25__2,25,2.0,7. p90_trade_value,93000.0,50000.0,6.0,21.0,0.2857142857142857,0.65,2. BELOW BASELINE,19.0,42.0,0.4523809523809524
APTV,Auto-Tires-Trucks,Automotive - Original Equipment,25__2,25,2.0,8. p75_trade_value,49950.0,12549.0,45.0,62.0,0.7258064516129032,0.65,2. BELOW BASELINE,64.0,104.0,0.6153846153846154
AXL,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,1. p999999_trade_value,80000.0,80000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
AXL,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,8. p75_trade_value,10000.0,10000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
BEEM,Auto-Tires-Trucks,Automotive - Original Equipment,5__0,5,0.0,1. p999999_trade_value,4950.0,4950.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
BEEM,Auto-Tires-Trucks,Automotive - Original Equipment,5__0,5,0.0,8. p75_trade_value,3750.0,3750.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
BLBD,Auto-Tires-Trucks,Automotive - Domestic,20__0,20,0.0,1. p999999_trade_value,25870.0,25870.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
BLBD,Auto-Tires-Trucks,Automotive - Domestic,20__0,20,0.0,6. p95_trade_value,25000.0,14900.0,2.0,4.0,0.5,0.65,2. BELOW BASELINE,2.0,5.0,0.4
BLBD,Auto-Tires-Trucks,Automotive - Domestic,20__0,20,0.0,7. p90_trade_value,13100.0,12000.0,3.0,5.0,0.6,0.65,2. BELOW BASELINE,5.0,10.0,0.5
BLBD,Auto-Tires-Trucks,Automotive - Domestic,20__0,20,0.0,8. p75_trade_value,11730.0,8580.0,5.0,15.0,0.3333333333333333,0.65,2. BELOW BASELINE,10.0,25.0,0.4
BWA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,1. p999999_trade_value,30000.0,30000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
BWA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,6. p95_trade_value,15329.999999999998,13300.0,0.0,2.0,0.0,0.65,2. BELOW BASELINE,0.0,3.0,0.0
BWA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,7. p90_trade_value,11580.0,11200.0,1.0,2.0,0.5,0.65,2. BELOW BASELINE,1.0,5.0,0.2
BWA,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,8. p75_trade_value,7200.0,6370.0,5.0,7.0,0.7142857142857143,0.65,2. BELOW BASELINE,6.0,12.0,0.5
CARG,Auto-Tires-Trucks,Automotive - Replacement Parts,15__0,15,0.0,1. p999999_trade_value,15250.0,15250.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
CARG,Auto-Tires-Trucks,Automotive - Replacement Parts,15__0,15,0.0,6. p95_trade_value,12012.0,12012.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
CARG,Auto-Tires-Trucks,Automotive - Replacement Parts,15__0,15,0.0,7. p90_trade_value,10200.0,10200.0,1.0,1.0,1.0,0.65,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
CARG,Auto-Tires-Trucks,Automotive - Replacement Parts,15__0,15,0.0,8. p75_trade_value,9000.0,7695.0,1.0,3.0,0.3333333333333333,0.65,2. BELOW BASELINE,2.0,6.0,0.3333333333333333
CHPT,Auto-Tires-Trucks,Automotive - Original Equipment,20__1,20,1.0,1. p999999_trade_value,432000.0,432000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
CHPT,Auto-Tires-Trucks,Automotive - Original Equipment,20__1,20,1.0,6. p95_trade_value,400000.0,165000.0,0.0,4.0,0.0,0.65,2. BELOW BASELINE,0.0,5.0,0.0
CHPT,Auto-Tires-Trucks,Automotive - Original Equipment,20__1,20,1.0,7. p90_trade_value,150000.0,100000.0,2.0,6.0,0.3333333333333333,0.65,2. BELOW BASELINE,2.0,11.0,0.18181818181818182
CHPT,Auto-Tires-Trucks,Automotive - Original Equipment,20__1,20,1.0,8. p75_trade_value,88000.0,30000.0,4.0,13.0,0.3076923076923077,0.65,2. BELOW BASELINE,6.0,24.0,0.25
CMI,Auto-Tires-Trucks,Automotive - Internal Combustion Engines,25__0,25,0.0,1. p999999_trade_value,379500.0,379500.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
CMI,Auto-Tires-Trucks,Automotive - Internal Combustion Engines,25__0,25,0.0,5. p99_trade_value,132965.0,130500.0,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
CMI,Auto-Tires-Trucks,Automotive - Internal Combustion Engines,25__0,25,0.0,6. p95_trade_value,104500.0,35880.0,10.0,12.0,0.8333333333333334,0.65,1. ABOVE BASELINE,13.0,15.0,0.8666666666666667
CMI,Auto-Tires-Trucks,Automotive - Internal Combustion Engines,25__0,25,0.0,7. p90_trade_value,35000.0,22000.000000000004,14.0,14.0,1.0,0.65,1. ABOVE BASELINE,27.0,29.0,0.9310344827586207
CMI,Auto-Tires-Trucks,Automotive - Internal Combustion Engines,25__0,25,0.0,8. p75_trade_value,21060.0,8250.0,23.0,42.0,0.5476190476190477,0.65,2. BELOW BASELINE,50.0,71.0,0.704225352112676
CPS,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,1. p999999_trade_value,41610.0,41610.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
CPS,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,7. p90_trade_value,11100.0,11100.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
CPS,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,8. p75_trade_value,9300.0,6000.0,0.0,3.0,0.0,0.65,2. BELOW BASELINE,0.0,5.0,0.0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,1. p999999_trade_value,632499.9999999999,632499.9999999999,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,5. p99_trade_value,501859.99999999994,501859.99999999994,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,6. p95_trade_value,220000.0,60000.0,5.0,6.0,0.8333333333333334,0.65,1. ABOVE BASELINE,7.0,8.0,0.875
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,7. p90_trade_value,55500.0,20250.0,5.0,7.0,0.7142857142857143,0.65,1. ABOVE BASELINE,12.0,15.0,0.8
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,20__2,20,2.0,8. p75_trade_value,19240.0,8125.0,13.0,21.0,0.6190476190476191,0.65,2. BELOW BASELINE,25.0,36.0,0.6944444444444444
CYD,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,1. p999999_trade_value,15000.0,15000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
CYD,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,6. p95_trade_value,14000.0,14000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
CYD,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,7. p90_trade_value,13500.0,13500.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
CYD,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,8. p75_trade_value,12000.0,7370.0,2.0,4.0,0.5,0.65,2. BELOW BASELINE,3.0,7.0,0.42857142857142855
DAN,Auto-Tires-Trucks,Automotive - Original Equipment,20__0,20,0.0,1. p999999_trade_value,108100.0,108100.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
DAN,Auto-Tires-Trucks,Automotive - Original Equipment,20__0,20,0.0,5. p99_trade_value,86345.99999999999,86345.99999999999,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
DAN,Auto-Tires-Trucks,Automotive - Original Equipment,20__0,20,0.0,6. p95_trade_value,80025.0,22245.0,1.0,6.0,0.16666666666666666,0.65,2. BELOW BASELINE,1.0,8.0,0.125
