security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,5. p99_trade_value,73850.0,370120.0,O:MRVL240830C00072000,MRVL,C,72.0,2024-08-30,240,0,308,2.83,1724942082581000000,287,81221.0,2024-08-29,Stock Options auto-electronic trade,Computer and Technology,Electronics - Semiconductors,69.135,71.76,68.83,69.84,241,4.909668332258282,1,1,1,1,0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,5. p99_trade_value,73850.0,370120.0,O:MRVL240830C00075000,MRVL,C,75.0,2024-08-30,232,0,313,1.78,1724947844338000000,456,81168.0,2024-08-29,Multi Leg auto-electronic trade,Computer and Technology,Electronics - Semiconductors,69.135,71.76,68.83,69.84,243,4.909384844973329,1,1,1,1,0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,5. p99_trade_value,73850.0,370120.0,O:MRVL240920C00075000,MRVL,C,75.0,2024-09-20,209,0,316,2.73,1724942370036000000,284,77532.0,2024-08-29,Automatic Execution,Computer and Technology,Electronics - Semiconductors,69.135,71.76,68.83,69.84,263,4.8894809870877936,1,1,0,0,0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,4. p999_trade_value,377128.0,1114777.0,O:MRVL240920C00077500,MRVL,C,77.5,2024-09-20,234,0,313,1.75,1724951664392000000,3000,525000.0,2024-08-29,Multi Leg Cross,Computer and Technology,Electronics - Semiconductors,69.135,71.76,68.83,69.84,20,5.720159303405957,1,1,0,0,0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,5. p99_trade_value,73850.0,370120.0,O:MRVL240920P00062500,MRVL,P,62.5,2024-09-20,229,0,300,1.18,1724956614044000000,1500,177000.0,2024-08-29,Single Leg Cross Non ISO,Computer and Technology,Electronics - Semiconductors,69.135,71.76,68.83,69.84,85,5.247973266361806,1,0,0,0,1
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,5. p99_trade_value,73850.0,370120.0,O:MRVL240920P00071000,MRVL,P,71.0,2024-09-20,241,0,323,1.03,1725035008590000000,1300,133900.0,2024-08-30,Stock Options Cross,Computer and Technology,Electronics - Semiconductors,78.3,79.0,72.71,76.24,115,5.126780577012009,1,1,0,0,0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,4. p999_trade_value,377128.0,1114777.0,O:MRVL241004C00072000,MRVL,C,72.0,2024-10-04,234,0,301,3.3,1725997517675000000,1390,458700.0,2024-09-10,Multi Leg Cross,Computer and Technology,Electronics - Semiconductors,68.56,71.87,68.48,71.6,23,5.661528740131983,1,1,1,1,0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,5. p99_trade_value,73850.0,370120.0,O:MRVL241004C00074000,MRVL,C,74.0,2024-10-04,234,0,301,2.5,1725997517675000000,1305,326250.0,2024-09-10,Multi Leg Cross,Computer and Technology,Electronics - Semiconductors,68.56,71.87,68.48,71.6,36,5.513550520346337,1,1,1,0,0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,5. p99_trade_value,73850.0,370120.0,O:MRVL241004C00076000,MRVL,C,76.0,2024-10-04,234,0,301,2.51,1726077667277000000,1150,288649.99999999994,2024-09-11,Multi Leg Cross,Computer and Technology,Electronics - Semiconductors,72.87,75.15,70.95,74.89,41,5.460371561834649,1,1,0,0,0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,5. p99_trade_value,73850.0,370120.0,O:MRVL241004C00076000,MRVL,C,76.0,2024-10-04,235,0,313,1.38,1726668072601000000,1320,182160.0,2024-09-18,Multi Leg floor trade,Computer and Technology,Electronics - Semiconductors,73.0,74.06,71.41,71.55,81,5.2604530176070865,1,1,0,0,0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,5. p99_trade_value,73850.0,370120.0,O:MRVL241011C00076000,MRVL,C,76.0,2024-10-11,235,0,313,1.8,1726668072601000000,1320,237600.0,2024-09-18,Multi Leg floor trade,Computer and Technology,Electronics - Semiconductors,73.0,74.06,71.41,71.55,58,5.375846436309156,1,1,0,0,0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,5. p99_trade_value,73850.0,370120.0,O:MRVL241018C00077500,MRVL,C,77.5,2024-10-18,233,0,308,1.97,1726841461689000000,1350,265950.0,2024-09-20,Multi Leg Auction,Computer and Technology,Electronics - Semiconductors,74.48,74.75,72.44,73.87,47,5.424799994656599,1,1,1,1,0
MRVL,Computer and Technology,Electronics - Semiconductors,45__0,45,0.0,4. p999_trade_value,377128.0,1114777.0,O:MRVL241018C00077500,MRVL,C,77.5,2024-10-18,241,0,323,1.61,1726854120574000000,3000,483000.0,2024-09-20,Stock Options Cross,Computer and Technology,Electronics - Semiconductors,74.48,74.75,72.44,73.87,22,5.683947130751513,1,1,1,1,0
