security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
CHKP,Computer and Technology,Security,25__0,25,0.0,1. p999999_trade_value,260190.0,260190.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
CHKP,Computer and Technology,Security,25__0,25,0.0,5. p99_trade_value,82200.00000000001,62500.0,1.0,2.0,0.5,0.65,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
CHKP,Computer and Technology,Security,25__0,25,0.0,6. p95_trade_value,56000.0,24750.0,4.0,8.0,0.5,0.65,2. BELOW BASELINE,5.0,11.0,0.45454545454545453
CHKP,Computer and Technology,Security,25__0,25,0.0,7. p90_trade_value,24720.0,15470.000000000002,5.0,10.0,0.5,0.65,2. BELOW BASELINE,10.0,21.0,0.47619047619047616
CHKP,Computer and Technology,Security,25__0,25,0.0,8. p75_trade_value,15350.0,8750.0,14.0,31.0,0.45161290322580644,0.65,2. BELOW BASELINE,24.0,52.0,0.46153846153846156
QLYS,Computer and Technology,Security,25__2,25,2.0,1. p999999_trade_value,400000.0,400000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
QLYS,Computer and Technology,Security,25__2,25,2.0,5. p99_trade_value,222138.0,222138.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
QLYS,Computer and Technology,Security,25__2,25,2.0,6. p95_trade_value,167055.00000000003,45760.0,1.0,8.0,0.125,0.65,2. BELOW BASELINE,3.0,10.0,0.3
QLYS,Computer and Technology,Security,25__2,25,2.0,7. p90_trade_value,42000.0,32175.0,10.0,10.0,1.0,0.65,2. BELOW BASELINE,13.0,20.0,0.65
QLYS,Computer and Technology,Security,25__2,25,2.0,8. p75_trade_value,31860.000000000004,20400.0,14.0,26.0,0.5384615384615384,0.65,2. BELOW BASELINE,27.0,46.0,0.5869565217391305
VRNS,Computer and Technology,Security,25__0,25,0.0,1. p999999_trade_value,708170.0,708170.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
VRNS,Computer and Technology,Security,25__0,25,0.0,5. p99_trade_value,579600.0,193630.0,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
VRNS,Computer and Technology,Security,25__0,25,0.0,6. p95_trade_value,129480.0,22599.999999999996,7.0,8.0,0.875,0.65,1. ABOVE BASELINE,10.0,11.0,0.9090909090909091
VRNS,Computer and Technology,Security,25__0,25,0.0,7. p90_trade_value,21849.999999999996,16100.0,7.0,10.0,0.7,0.65,1. ABOVE BASELINE,17.0,21.0,0.8095238095238095
VRNS,Computer and Technology,Security,25__0,25,0.0,8. p75_trade_value,15169.999999999998,8500.0,23.0,31.0,0.7419354838709677,0.65,1. ABOVE BASELINE,40.0,52.0,0.7692307692307693
