security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
GOGO,Computer and Technology,Wireless National,20__0,20,0.0,1. p999999_trade_value,19800.0,19800.0,O:GOGO250417C00008000,GOGO,C,8.0,2025-04-17,231,0,301,0.3,1742410213360000000,660,19800.0,2025-03-19,Single Leg Floor Trade,Computer and Technology,Wireless National,7.05,7.74,6.91,7.7,1,4.296665190261531,1,1,0,0,0
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T241115C00023000,T,C,23.0,2024-11-15,229,0,302,0.27,1729702189898000000,5000,135000.0,2024-10-23,Single Leg Cross Non ISO,Computer and Technology,Wireless National,21.24,22.58,21.05,22.49,6,5.1303337684950066,1,0,0,0,1
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T241220C00023500,T,C,23.5,2024-12-20,235,0,300,0.43,1732220998620000000,2500,107500.0,2024-11-21,Multi Leg floor trade,Computer and Technology,Wireless National,22.8,23.15,22.73,22.98,9,5.031408464251625,1,1,0,0,0
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T250131C00022500,T,C,22.5,2025-01-31,241,0,323,0.32,1736535555403000000,3000,96000.0,2025-01-10,Stock Options Cross,Computer and Technology,Wireless National,21.88,22.04,21.49,21.69,15,4.982271233039568,1,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T250131C00022500,T,C,22.5,2025-01-31,241,0,323,0.31,1736535555403000000,3000,93000.0,2025-01-10,Stock Options Cross,Computer and Technology,Wireless National,21.88,22.04,21.49,21.69,17,4.968482948553935,1,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T250131C00024000,T,C,24.0,2025-01-31,241,0,323,0.08,1737733707106000000,13000,104000.0,2025-01-24,Stock Options Cross,Computer and Technology,Wireless National,22.55,22.79,22.54,22.72,10,5.017033339298781,1,1,1,0,0
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T250214C00023500,T,C,23.5,2025-02-14,241,0,323,0.27,1737733707105000000,4000,108000.0,2025-01-24,Stock Options Cross,Computer and Technology,Wireless National,22.55,22.79,22.54,22.72,8,5.033423755486949,1,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,4. p999_trade_value,168000.00000000003,305500.0,O:T250214C00023500,T,C,23.5,2025-02-14,241,0,323,0.28,1737733707105000000,6000,168000.00000000003,2025-01-24,Stock Options Cross,Computer and Technology,Wireless National,22.55,22.79,22.54,22.72,3,5.225309281725863,1,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T250214C00025000,T,C,25.0,2025-02-14,241,0,323,0.1,1737989396802000000,12000,120000.0,2025-01-27,Stock Options Cross,Computer and Technology,Wireless National,23.5,24.365,23.35,24.14,7,5.079181246047625,1,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T250214C00025000,T,C,25.0,2025-02-14,235,0,323,0.17,1737990665468000000,6000,102000.00000000001,2025-01-27,Multi Leg floor trade,Computer and Technology,Wireless National,23.5,24.365,23.35,24.14,12,5.008600171761918,1,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T250214C00025000,T,C,25.0,2025-02-14,235,0,323,0.17,1737989174862000000,6000,102000.00000000001,2025-01-27,Multi Leg floor trade,Computer and Technology,Wireless National,23.5,24.365,23.35,24.14,11,5.008600171761918,1,1,1,1,0
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T250307P00026000,T,P,26.0,2025-03-07,228,0,312,0.19,1740504898344000000,4942,93898.0,2025-02-25,Single Leg Auction ISO,Computer and Technology,Wireless National,26.87,27.16,26.26,26.65,16,4.972656342018889,1,1,0,0,0
T,Computer and Technology,Wireless National,35__0,35,0.0,1. p999999_trade_value,724275.0,724275.0,O:T250321P00026000,T,P,26.0,2025-03-21,231,0,301,0.45,1740508622856000000,16095,724275.0,2025-02-25,Single Leg Floor Trade,Computer and Technology,Wireless National,26.87,27.16,26.26,26.65,1,5.859903494796976,1,1,0,0,0
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T250321P00026000,T,P,26.0,2025-03-21,233,0,302,0.24,1740683261937000000,3673,88152.0,2025-02-27,Multi Leg Auction,Computer and Technology,Wireless National,26.64,26.965,26.57,26.9,18,4.9452321700569,1,1,0,0,0
T,Computer and Technology,Wireless National,35__0,35,0.0,5. p99_trade_value,80000.0,139574.0,O:T250321P00026500,T,P,26.5,2025-03-21,233,0,302,0.38,1740683249555000000,3673,139574.0,2025-02-27,Multi Leg Auction,Computer and Technology,Wireless National,26.64,26.965,26.57,26.9,4,5.144804524962104,1,1,0,0,0
