security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ACA,Construction,Building Products - Miscellaneous,10__0,10,0.0,1. p999999_trade_value,74700.0,74700.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
ACA,Construction,Building Products - Miscellaneous,10__0,10,0.0,7. p90_trade_value,46575.0,46575.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
ACA,Construction,Building Products - Miscellaneous,10__0,10,0.0,8. p75_trade_value,30000.0,30000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
BCC,Construction,Building Products - Wood,10__0,10,0.0,1. p999999_trade_value,5100.0,5100.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
BCC,Construction,Building Products - Wood,10__0,10,0.0,8. p75_trade_value,4500.0,4500.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
DFH,Construction,Building Products - Home Builders,10__0,10,0.0,1. p999999_trade_value,26000.0,26000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
DFH,Construction,Building Products - Home Builders,10__0,10,0.0,7. p90_trade_value,18450.0,18450.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
DFH,Construction,Building Products - Home Builders,10__0,10,0.0,8. p75_trade_value,8750.0,7500.0,0.0,2.0,0.0,0.65,2. BELOW BASELINE,0.0,4.0,0.0
FTDR,Construction,Building Products - Miscellaneous,10__3,10,3.0,1. p999999_trade_value,99600.0,99600.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
FTDR,Construction,Building Products - Miscellaneous,10__3,10,3.0,7. p90_trade_value,49445.99999999999,49445.99999999999,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
FTDR,Construction,Building Products - Miscellaneous,10__3,10,3.0,8. p75_trade_value,49400.0,32240.000000000004,1.0,2.0,0.5,0.65,2. BELOW BASELINE,1.0,4.0,0.25
GVA,Construction,Building Products - Heavy Construction,10__0,10,0.0,1. p999999_trade_value,21560.0,21560.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
GVA,Construction,Building Products - Heavy Construction,10__0,10,0.0,7. p90_trade_value,20000.0,20000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
GVA,Construction,Building Products - Heavy Construction,10__0,10,0.0,8. p75_trade_value,9500.0,7770.0,2.0,3.0,0.6666666666666666,0.65,2. BELOW BASELINE,3.0,5.0,0.6
JHX,Construction,Building Products - Miscellaneous,10__3,10,3.0,1. p999999_trade_value,105000.0,105000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
JHX,Construction,Building Products - Miscellaneous,10__3,10,3.0,8. p75_trade_value,45000.0,14800.0,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
LOMA,Construction,Building Products - Home Builders,10__0,10,0.0,1. p999999_trade_value,25000.0,25000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
LOMA,Construction,Building Products - Home Builders,10__0,10,0.0,8. p75_trade_value,8294.999999999998,8294.999999999998,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
PCH,Construction,Building Products - Wood,10__0,10,0.0,1. p999999_trade_value,56000.0,56000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
PCH,Construction,Building Products - Wood,10__0,10,0.0,8. p75_trade_value,6789.999999999999,6789.999999999999,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
ROCK,Construction,Building Products - Miscellaneous,10__3,10,3.0,1. p999999_trade_value,117500.0,117500.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
ROCK,Construction,Building Products - Miscellaneous,10__3,10,3.0,7. p90_trade_value,37500.0,37500.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
ROCK,Construction,Building Products - Miscellaneous,10__3,10,3.0,8. p75_trade_value,7325.0,7325.0,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,4.0,4.0,1.0
SSD,Construction,Building Products - Miscellaneous,10__0,10,0.0,1. p999999_trade_value,12600.0,12600.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
SSD,Construction,Building Products - Miscellaneous,10__0,10,0.0,8. p75_trade_value,8250.0,8250.0,2.0,2.0,1.0,0.65,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
TMHC,Construction,Building Products - Home Builders,10__0,10,0.0,1. p999999_trade_value,9600.0,9600.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
TMHC,Construction,Building Products - Home Builders,10__0,10,0.0,8. p75_trade_value,5940.0,4290.0,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
