security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AGM,Finance,Financial - Mortgage & Related Services,0.65,,,,2,5__3,5,3.0,13820.0,14410.0,14882.0,14988.2,14998.82,14999.88,14999.99
AMG,Finance,Financial - Investment Management,0.65,9500.0,1. p999999_trade_value,1.0,3,5__0,5,0.0,8566.0,9033.0,9406.6,9490.66,9499.07,9499.91,9499.99
APAM,Finance,Financial - Investment Management,0.65,,,,2,5__0,5,0.0,4341.5,4405.75,4457.15,4468.72,4469.87,4469.99,4470.0
CSWC,Finance,Financial - Investment Management,0.65,3720.0000000000005,1. p999999_trade_value,1.0,3,5__0,5,0.0,3596.0,3658.0,3707.6,3718.76,3719.88,3719.99,3720.0
ECPG,Finance,Financial - Consumer Loans,0.65,10400.0,8. p75_trade_value,2.0,5,5__0,5,0.0,10760.0,10880.0,10976.0,10997.6,10999.76,10999.98,11000.0
FFIC,Finance,Financial - Savings and Loan,0.65,,,,4,5__1,5,1.0,72000.0,78000.0,82800.0,83880.0,83988.0,83998.8,83999.88
FOA,Finance,Financial - Mortgage & Related Services,0.65,5865.0,1. p999999_trade_value,1.0,3,5__0,5,0.0,5742.0,5803.5,5852.7,5863.77,5864.88,5864.99,5865.0
FRGE,Finance,Financial - Miscellaneous Services,0.65,5830.0,1. p999999_trade_value,1.0,2,5__0,5,0.0,5676.0,5753.0,5814.6,5828.46,5829.85,5829.98,5830.0
HLI,Finance,Financial - Miscellaneous Services,0.65,,,,5,5__3,5,3.0,17522.8,17875.4,18157.48,18220.95,18227.29,18227.93,18227.99
LPRO,Finance,Financial - Consumer Loans,0.65,,,,3,5__0,5,0.0,6246.8,6403.9,6529.58,6557.86,6560.69,6560.97,6561.0
NOAH,Finance,Financial - Investment Management,0.65,,,,2,5__0,5,0.0,4130.0,4190.0,4238.0,4248.8,4249.88,4249.99,4250.0
PJT,Finance,Financial - Miscellaneous Services,0.65,,,,4,5__0,5,0.0,4748.0,4844.0,4920.8,4938.08,4939.81,4939.98,4940.0
PWP,Finance,Financial - Miscellaneous Services,0.65,12201.0,1. p999999_trade_value,1.0,4,5__0,5,0.0,10640.7,11420.85,12044.97,12185.4,12199.44,12200.84,12200.98
RWAY,Finance,Financial - SBIC & Commercial Industry,0.65,52710.0,1. p999999_trade_value,1.0,2,5__1,5,1.0,50688.0,51699.0,52507.8,52689.78,52707.98,52709.8,52709.98
TFIN,Finance,Financial - Miscellaneous Services,0.65,56000.0,1. p999999_trade_value,1.0,5,5__1,5,1.0,36200.0,46100.0,54020.0,55802.0,55980.2,55998.02,55999.8
UPBD,Finance,Financial - Leasing Companies,0.65,4512.0,1. p999999_trade_value,1.0,3,5__0,5,0.0,4503.6,4507.8,4511.16,4511.92,4511.99,4512.0,4512.0
WT,Finance,Financial - Miscellaneous Services,0.65,,,,4,5__0,5,0.0,9340.0,10270.0,11014.0,11181.4,11198.14,11199.81,11199.98
