security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AB,Finance,Financial - Investment Management,0.65,,,,11,10__0,10,0.0,16000.0,19250.0,21850.0,22435.0,22493.5,22499.35,22499.94
AGM,Finance,Financial - Mortgage & Related Services,0.65,,,,2,5__3,5,3.0,13820.0,14410.0,14882.0,14988.2,14998.82,14999.88,14999.99
ALLY,Finance,Financial - Consumer Loans,0.65,,,,766,30__1,30,1.0,18875.0,33816.0,132624.8,279480.0,395148.0,406714.8,407871.48
ALTS,Finance,Financial - Miscellaneous Services,0.65,,,,17,10__0,10,0.0,8120.0,9840.0,9968.0,9996.8,9999.68,9999.97,10000.0
AMG,Finance,Financial - Investment Management,0.65,9500.0,1. p999999_trade_value,1.0,3,5__0,5,0.0,8566.0,9033.0,9406.6,9490.66,9499.07,9499.91,9499.99
AMP,Finance,Financial - Investment Management,0.65,,,,187,25__0,25,0.0,13296.0,16575.0,28271.6,32430.84,32943.08,32994.31,32999.43
APAM,Finance,Financial - Investment Management,0.65,,,,2,5__0,5,0.0,4341.5,4405.75,4457.15,4468.72,4469.87,4469.99,4470.0
APLD,Finance,Financial - Miscellaneous Services,0.65,,,,5319,35__2,35,2.0,16150.8,28134.5,98100.0,358725.7,657748.5,686932.35,689850.73
APO,Finance,Financial - Investment Management,0.65,,,,5130,35__0,35,0.0,16000.0,25300.0,57312.17,151742.0,556761.6,601076.16,605507.62
ARCC,Finance,Financial - SBIC & Commercial Industry,0.65,,,,78,20__2,20,2.0,29750.0,100950.0,128450.0,138845.0,139884.5,139988.45,139998.84
ARES,Finance,Financial - Investment Management,0.65,,,,276,25__0,25,0.0,20142.0,45855.0,145172.75,174717.8,179471.78,179947.18,179994.72
AX,Finance,Financial - Miscellaneous Services,0.65,23000.0,1. p999999_trade_value,1.0,45,15__0,15,0.0,12873.0,18704.0,22428.0,22942.8,22994.28,22999.43,22999.94
AXP,Finance,Financial - Miscellaneous Services,0.65,,,,9218,40__0,40,0.0,15361.0,25028.75,62816.4,276179.0,711542.85,1151658.28,1195669.83
BAC,Finance,Financial - Investment Bank,0.65,240000.0,4. p999_trade_value,15.0,13118,40__0,40,0.0,15624.6,25545.9,65622.8,240000.0,833390.6,1121407.33,1150947.73
BAM,Finance,Financial - Miscellaneous Services,0.65,12000.0,6. p95_trade_value,15.0,287,25__0,25,0.0,9012.0,11928.0,112345.2,182406.3,196035.63,197398.56,197534.86
BEN,Finance,Financial - Investment Management,0.65,14850.0,8. p75_trade_value,11.0,41,15__0,15,0.0,30000.0,222570.0,225708.0,227590.8,227779.08,227797.91,227799.79
BFH,Finance,Financial - Miscellaneous Services,0.65,,,,56,15__0,15,0.0,9839.0,16885.0,54064.5,65256.45,66375.65,66487.56,66498.76
BGC,Finance,Financial - Investment Bank,0.65,,,,32,15__0,15,0.0,19900.0,28686.0,51413.72,58050.57,58714.26,58780.63,58787.26
BLK,Finance,Financial - Investment Management,0.65,,,,3763,35__0,35,0.0,15976.6,24790.0,62082.12,150533.12,213714.0,223871.4,224887.14
BTM,Finance,Financial - Miscellaneous Services,0.65,,,,1,0__2,0,2.0,3335.0,3335.0,3335.0,3335.0,3335.0,3335.0,3335.0
BULL,Finance,Financial - Miscellaneous Services,0.65,800000.0,1. p999999_trade_value,1.0,2038,35__0,35,0.0,14700.0,23616.0,54821.79,202192.39,690002.0,789000.2,798900.02
BUR,Finance,Financial - Miscellaneous Services,0.65,,,,6,10__0,10,0.0,29178.0,32589.0,35317.8,35931.78,35993.18,35999.32,35999.93
BX,Finance,Financial - Miscellaneous Services,0.65,837600.0,1. p999999_trade_value,2.0,6129,40__3,40,3.0,14748.6,23736.0,62464.4,247350.03,837600.0,837600.0,837600.0
BXSL,Finance,Financial - SBIC & Commercial Industry,0.65,,,,8,10__0,10,0.0,7133.2,7148.6,7160.92,7163.69,7163.97,7164.0,7164.0
C,Finance,Financial - Investment Bank,0.65,920465.0,1. p999999_trade_value,1.0,16305,40__0,40,0.0,16215.6,25284.0,70494.96,304069.58,802391.68,915171.91,919935.69
CACC,Finance,Financial - Consumer Loans,0.65,,,,70,20__0,20,0.0,7692.0,8817.75,33032.4,49203.24,50820.32,50982.03,50998.2
CAN,Finance,Financial - Miscellaneous Services,0.65,79758.0,1. p999999_trade_value,1.0,83,20__0,20,0.0,13396.8,17755.8,65248.92,78307.09,79612.91,79743.49,79756.55
CG,Finance,Financial - Investment Management,0.65,,,,301,25__0,25,0.0,13500.0,20205.0,43890.0,384310.0,428401.0,432810.1,433251.01
CLBK,Finance,Financial - Miscellaneous Services,0.65,,,,1,0__1,0,1.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0
CLSK,Finance,Financial - Miscellaneous Services,0.65,,,,10399,40__3,40,3.0,13500.0,20400.0,46605.16,143020.7,205118.49,315026.19,326486.62
CNNE,Finance,Financial - Investment Management,0.65,45500.0,1. p999999_trade_value,1.0,1,0__1,0,1.0,45500.0,45500.0,45500.0,45500.0,45500.0,45500.0,45500.0
COF,Finance,Financial - Consumer Loans,0.65,,,,5664,40__4,40,4.0,17977.7,32000.0,133047.6,645823.86,3338299.77,3970891.98,4034151.2
COIN,Finance,Financial - Miscellaneous Services,0.65,,,,274588,55__1,55,1.0,18460.0,30609.75,104300.52,1707559.58,6579038.59,13215280.25,16803202.02
COOP,Finance,Financial - Consumer Loans,0.65,,,,96,20__0,20,0.0,10710.0,17867.5,25386.0,74736.6,79671.66,80165.17,80214.52
CORZ,Finance,Financial - Miscellaneous Services,0.65,,,,5602,35__2,35,2.0,16305.2,29999.3,98548.75,539401.75,1150750.86,1346449.69,1366019.57
CRCL,Finance,Financial - Miscellaneous Services,0.65,,,,2807,35__0,35,0.0,15504.0,25017.5,69351.7,194791.7,322818.69,334816.87,336016.69
CSWC,Finance,Financial - Investment Management,0.65,3720.0000000000005,1. p999999_trade_value,1.0,3,5__0,5,0.0,3596.0,3658.0,3707.6,3718.76,3719.88,3719.99,3720.0
