security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CBOE,Finance,Securities and Exchanges,25__0,25,0.0,1. p999999_trade_value,262500.0,262500.0,O:CBOE241101C00215000,CBOE,C,215.0,2024-11-01,231,0,323,3.5,1729617659558000000,750,262500.0,2024-10-22,Single Leg Floor Trade,Finance,Securities and Exchanges,212.79,214.3799,211.455,213.77,1,5.419129307741976,1,1,0,0,0
ICE,Finance,Securities and Exchanges,25__0,25,0.0,6. p95_trade_value,24500.000000000004,74000.0,O:ICE241018C00165000,ICE,C,165.0,2024-10-18,233,0,323,1.26,1728924102972000000,560,70560.0,2024-10-14,Multi Leg Auction,Finance,Securities and Exchanges,162.48,164.75,162.28,164.38,6,4.848558572123763,1,1,1,1,0
ICE,Finance,Securities and Exchanges,25__0,25,0.0,6. p95_trade_value,24500.000000000004,74000.0,O:ICE241115C00170000,ICE,C,170.0,2024-11-15,242,0,300,2.6,1730310506029000000,250,65000.0,2024-10-30,Stock Options floor trade,Finance,Securities and Exchanges,166.76,167.99,166.375,166.53,9,4.812913356642856,1,0,0,0,1
ICE,Finance,Securities and Exchanges,25__0,25,0.0,5. p99_trade_value,100000.0,417125.0,O:ICE241115C00170000,ICE,C,170.0,2024-11-15,241,0,323,2.35,1730300063846000000,1775,417125.0,2024-10-30,Stock Options Cross,Finance,Securities and Exchanges,166.76,167.99,166.375,166.53,2,5.620266219662849,1,0,0,0,1
ICE,Finance,Securities and Exchanges,25__0,25,0.0,6. p95_trade_value,24500.000000000004,74000.0,O:ICE250221C00160000,ICE,C,160.0,2025-02-21,227,0,312,1.91,1737648786513000000,299,57109.0,2025-01-23,Single Leg Auction Non ISO,Finance,Securities and Exchanges,153.89,158.63,153.29,157.68,11,4.756704555572157,1,1,1,1,0
ICE,Finance,Securities and Exchanges,25__0,25,0.0,6. p95_trade_value,24500.000000000004,74000.0,O:ICE250221C00160000,ICE,C,160.0,2025-02-21,209,0,313,2.55,1737651718472000000,118,30089.999999999996,2025-01-23,Automatic Execution,Finance,Securities and Exchanges,153.89,158.63,153.29,157.68,14,4.4784221877400805,1,1,1,1,0
ICE,Finance,Securities and Exchanges,25__0,25,0.0,1. p999999_trade_value,454279.99999999994,454279.99999999994,O:ICE250221C00160000,ICE,C,160.0,2025-02-21,231,0,301,2.05,1737648812956000000,2216,454279.99999999994,2025-01-23,Single Leg Floor Trade,Finance,Securities and Exchanges,153.89,158.63,153.29,157.68,1,5.657323617112146,1,1,1,1,0
ICE,Finance,Securities and Exchanges,25__0,25,0.0,6. p95_trade_value,24500.000000000004,74000.0,O:ICE250221C00160000,ICE,C,160.0,2025-02-21,209,0,325,3.25,1738161841234000000,200,65000.0,2025-01-29,Automatic Execution,Finance,Securities and Exchanges,158.58,158.86,156.94,157.22,8,4.812913356642856,1,1,1,1,0
ICE,Finance,Securities and Exchanges,25__0,25,0.0,6. p95_trade_value,24500.000000000004,74000.0,O:ICE250221C00160000,ICE,C,160.0,2025-02-21,235,0,300,2.9,1738179897153000000,234,67860.0,2025-01-29,Multi Leg floor trade,Finance,Securities and Exchanges,158.58,158.86,156.94,157.22,7,4.831613855309099,1,1,1,1,0
ICE,Finance,Securities and Exchanges,25__0,25,0.0,6. p95_trade_value,24500.000000000004,74000.0,O:ICE250221C00165000,ICE,C,165.0,2025-02-21,235,0,323,2.15,1738260969290000000,300,64500.0,2025-01-30,Multi Leg floor trade,Finance,Securities and Exchanges,158.14,160.78,157.43,159.44,10,4.8095597146352675,1,1,1,1,0
