security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AGL,Medical,Medical Services,10__0,10,0.0,8. p75_trade_value,13894.999999999998,17989.999999999996,O:AGL250417C00004500,AGL,C,4.5,2025-04-17,209,0,312,0.35,1742325514963000000,397,13894.999999999998,2025-03-18,Automatic Execution,Medical,Medical Services,4.16,4.34,4.125,4.32,3,4.142858551113391,3,1,1,0,0
AGL,Medical,Medical Services,10__0,10,0.0,8. p75_trade_value,13894.999999999998,17989.999999999996,O:AGL250417C00004500,AGL,C,4.5,2025-04-17,209,0,323,0.35,1742325514963000000,514,17989.999999999996,2025-03-18,Automatic Execution,Medical,Medical Services,4.16,4.34,4.125,4.32,2,4.255031163345551,2,1,1,0,0
AGL,Medical,Medical Services,10__0,10,0.0,1. p999999_trade_value,60000.0,60000.0,O:AGL250516P00004000,AGL,P,4.0,2025-05-16,235,0,301,0.3,1746547744187000000,2000,60000.0,2025-05-06,Multi Leg floor trade,Medical,Medical Services,4.11,4.51,4.075,4.46,1,4.778151250383644,1,1,1,1,0
ALHC,Medical,Medical Services,20__1,20,1.0,1. p999999_trade_value,452920.0,452920.0,O:ALHC241115C00012500,ALHC,C,12.5,2024-11-15,235,0,301,0.67,1729271012309000000,6760,452920.0,2024-10-18,Multi Leg floor trade,Medical,Medical Services,11.53,11.73,10.79,10.88,1,5.656021498642462,1,1,0,0,0
ALHC,Medical,Medical Services,20__1,20,1.0,6. p95_trade_value,160310.0,182260.0,O:ALHC241115C00015000,ALHC,C,15.0,2024-11-15,235,0,301,0.2,1729271012309000000,8300,166000.0,2024-10-18,Multi Leg floor trade,Medical,Medical Services,11.53,11.73,10.79,10.88,3,5.220108088040055,1,0,0,0,1
ALHC,Medical,Medical Services,20__1,20,1.0,6. p95_trade_value,160310.0,182260.0,O:ALHC250117C00012500,ALHC,C,12.5,2025-01-17,235,0,313,0.26,1735313856847000000,7010,182260.0,2024-12-27,Multi Leg floor trade,Medical,Medical Services,10.8,10.94,10.54,10.82,2,5.260691365937476,1,1,1,1,0
ALHC,Medical,Medical Services,20__1,20,1.0,6. p95_trade_value,160310.0,182260.0,O:ALHC250417C00017500,ALHC,C,17.5,2025-04-17,231,0,313,0.85,1742406673484000000,1886,160310.0,2025-03-19,Single Leg Floor Trade,Medical,Medical Services,16.44,17.27,16.2,17.19,4,5.204960614115603,1,1,1,1,0
AVTR,Medical,Medical Services,25__2,25,2.0,1. p999999_trade_value,429795.0,429795.0,O:AVTR241115P00020500,AVTR,P,20.5,2024-11-15,231,0,313,0.15,1729864197244000000,28653,429795.0,2024-10-25,Single Leg Floor Trade,Medical,Medical Services,22.65,22.9,22.14,22.43,1,5.633261358840301,1,1,1,0,0
BTSG,Medical,Medical Services,10__0,10,0.0,8. p75_trade_value,49500.0,49500.0,O:BTSG241115C00017500,BTSG,C,17.5,2024-11-15,231,0,302,0.45,1730223368099000000,1100,49500.0,2024-10-29,Single Leg Floor Trade,Medical,Medical Services,15.95,16.0905,15.74,15.91,2,4.694605198933568,2,1,1,1,0
BTSG,Medical,Medical Services,10__0,10,0.0,1. p999999_trade_value,55000.0,55000.0,O:BTSG241220P00017500,BTSG,P,17.5,2024-12-20,235,0,301,0.55,1732652146496000000,1000,55000.0,2024-11-26,Multi Leg floor trade,Medical,Medical Services,18.93,18.95,18.22,18.74,1,4.740362689494244,1,1,1,1,0
