security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250321C00060000,BAM,C,60.0,2025-03-21,209,0,308,1.2,1740407845053000000,100,12000.0,2025-02-24,Automatic Execution,Finance,Financial - Miscellaneous Services,58.65,59.05,57.13,58.06,15,4.079181246047625,1,0,0,0,1
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250321P00047500,BAM,P,47.5,2025-03-21,209,0,320,0.75,1741286119749000000,195,14625.0,2025-03-06,Automatic Execution,Finance,Financial - Miscellaneous Services,52.1,52.25,49.92,50.3,11,4.165095874754218,1,1,0,0,0
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250516P00047500,BAM,P,47.5,2025-05-16,209,0,316,0.95,1745417154900000000,227,21564.999999999996,2025-04-23,Automatic Execution,Finance,Financial - Miscellaneous Services,51.07,52.04,50.48,50.59,7,4.33374946248197,1,0,0,0,1
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250516C00055000,BAM,C,55.0,2025-05-16,209,0,304,1.35,1745951172890000000,97,13095.000000000002,2025-04-29,Automatic Execution,Finance,Financial - Miscellaneous Services,53.04,53.98,52.58,53.82,13,4.117105502761251,1,1,1,1,0
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250516C00055000,BAM,C,55.0,2025-05-16,209,0,302,1.35,1745951172890000000,97,13095.000000000002,2025-04-29,Automatic Execution,Finance,Financial - Miscellaneous Services,53.04,53.98,52.58,53.82,12,4.117105502761251,1,1,1,1,0
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250516C00055000,BAM,C,55.0,2025-05-16,209,0,300,1.35,1745951172889000000,92,12420.0,2025-04-29,Automatic Execution,Finance,Financial - Miscellaneous Services,53.04,53.98,52.58,53.82,14,4.094121595840561,1,1,1,1,0
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250516P00052500,BAM,P,52.5,2025-05-16,209,0,323,1.5,1745951172889000000,106,15900.0,2025-04-29,Automatic Execution,Finance,Financial - Miscellaneous Services,53.04,53.98,52.58,53.82,10,4.201397124320452,1,1,0,0,0
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250620P00047500,BAM,P,47.5,2025-06-20,232,0,304,0.16,1747838602694000000,1800,28800.0,2025-05-21,Multi Leg auto-electronic trade,Finance,Financial - Miscellaneous Services,58.32,58.49,57.12,57.3,6,4.459392487759231,1,0,0,0,1
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250620P00055000,BAM,P,55.0,2025-06-20,232,0,304,1.0,1747838602694000000,300,30000.0,2025-05-21,Multi Leg auto-electronic trade,Finance,Financial - Miscellaneous Services,58.32,58.49,57.12,57.3,5,4.477121254719663,1,1,0,0,0
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250620P00055000,BAM,P,55.0,2025-06-20,209,0,316,1.2,1748962858446000000,148,17760.0,2025-06-03,Automatic Execution,Finance,Financial - Miscellaneous Services,56.09,56.93,55.93,56.44,9,4.249442961442583,1,1,0,0,0
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250620P00055000,BAM,P,55.0,2025-06-20,209,0,316,1.2,1748962853797000000,169,20280.0,2025-06-03,Automatic Execution,Finance,Financial - Miscellaneous Services,56.09,56.93,55.93,56.44,8,4.307067950661298,1,1,0,0,0
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,12000.0,112320.0,O:BAM250620P00055000,BAM,P,55.0,2025-06-20,227,0,312,0.9,1749228406840000000,1248,112320.0,2025-06-06,Single Leg Auction Non ISO,Finance,Financial - Miscellaneous Services,57.07,57.64,56.995,57.53,4,5.05045709478573,1,1,0,0,0
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,5. p99_trade_value,112500.0,144600.0,O:BAM250620P00055000,BAM,P,55.0,2025-06-20,228,0,312,1.0,1749239726234000000,1446,144600.0,2025-06-06,Single Leg Auction ISO,Finance,Financial - Miscellaneous Services,57.07,57.64,56.995,57.53,2,5.160168292958512,1,1,0,0,0
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,5. p99_trade_value,112500.0,144600.0,O:BAM250620P00055000,BAM,P,55.0,2025-06-20,227,0,312,0.9,1749228406839000000,1250,112500.0,2025-06-06,Single Leg Auction Non ISO,Finance,Financial - Miscellaneous Services,57.07,57.64,56.995,57.53,3,5.051152522447381,1,1,0,0,0
BAM,Finance,Financial - Miscellaneous Services,25__0,25,0.0,1. p999999_trade_value,197550.0,197550.0,O:BAM250620P00055000,BAM,P,55.0,2025-06-20,228,0,312,0.9,1749228271106000000,2195,197550.0,2025-06-06,Single Leg Auction ISO,Finance,Financial - Miscellaneous Services,57.07,57.64,56.995,57.53,1,5.295677034017465,1,1,0,0,0
JEF,Finance,Financial - Miscellaneous Services,25__0,25,0.0,1. p999999_trade_value,56100.0,56100.0,O:JEF250417P00040000,JEF,P,40.0,2025-04-17,209,0,309,1.5,1743774120000000000,374,56100.0,2025-04-04,Automatic Execution,Finance,Financial - Miscellaneous Services,45.73,46.34,41.625,43.14,1,4.748962861256161,1,1,0,0,0
MCO,Finance,Financial - Miscellaneous Services,25__0,25,0.0,5. p99_trade_value,41820.0,64350.0,O:MCO240920C00490000,MCO,C,490.0,2024-09-20,209,0,320,6.5,1724948581835000000,99,64350.0,2024-08-29,Automatic Execution,Finance,Financial - Miscellaneous Services,483.47,486.56,482.02,483.06,2,4.808548551240405,1,1,1,1,0
MCO,Finance,Financial - Miscellaneous Services,25__0,25,0.0,1. p999999_trade_value,100000.0,100000.0,O:MCO250221C00510000,MCO,C,510.0,2025-02-21,209,0,308,10.0,1738945229633000000,100,100000.0,2025-02-07,Automatic Execution,Finance,Financial - Miscellaneous Services,501.67,506.2744,500.4601,503.3,1,5.0,1,1,1,0,0
MCO,Finance,Financial - Miscellaneous Services,25__0,25,0.0,5. p99_trade_value,41820.0,64350.0,O:MCO250321C00520000,MCO,C,520.0,2025-03-21,235,0,313,4.1,1740162802782000000,102,41820.0,2025-02-21,Multi Leg floor trade,Finance,Financial - Miscellaneous Services,507.76,511.6,499.01,500.28,5,4.621384028481653,1,0,0,0,1
MCO,Finance,Financial - Miscellaneous Services,25__0,25,0.0,5. p99_trade_value,41820.0,64350.0,O:MCO250516C00470000,MCO,C,470.0,2025-05-16,231,0,313,1.3,1745348410150000000,400,52000.0,2025-04-22,Single Leg Floor Trade,Finance,Financial - Miscellaneous Services,420.99,431.64,409.0,429.87,4,4.7160033436347994,1,1,1,1,0
MCO,Finance,Financial - Miscellaneous Services,25__0,25,0.0,5. p99_trade_value,41820.0,64350.0,O:MCO250516C00470000,MCO,C,470.0,2025-05-16,231,0,313,0.5,1745333052000000000,1187,59350.0,2025-04-22,Single Leg Floor Trade,Finance,Financial - Miscellaneous Services,420.99,431.64,409.0,429.87,3,4.77342072329061,1,1,1,1,0
OWL,Finance,Financial - Investment Management,25__0,25,0.0,1. p999999_trade_value,495300.0,495300.0,O:OWL250221P00024000,OWL,P,24.0,2025-02-21,235,0,300,0.39,1738338010758000000,12700,495300.0,2025-01-31,Multi Leg floor trade,Finance,Financial - Investment Management,26.09,26.35,25.87,26.01,1,5.694868327982456,1,1,1,1,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY241018C00013000,PGY,C,13.0,2024-10-18,227,0,323,0.68,1727289907399000000,500,34000.0,2024-09-25,Single Leg Auction Non ISO,Finance,Financial - Miscellaneous Services,11.85,12.62,11.85,12.45,15,4.531478917042255,1,0,0,0,1
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,5. p99_trade_value,42415.0,46670.0,O:PGY241115C00012000,PGY,C,12.0,2024-11-15,209,0,320,1.3,1729095126426000000,359,46670.0,2024-10-16,Automatic Execution,Finance,Financial - Miscellaneous Services,10.95,11.87,10.64,11.81,2,4.669037800885156,1,1,0,0,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,1. p999999_trade_value,63440.0,63440.0,O:PGY241115C00012000,PGY,C,12.0,2024-11-15,209,0,302,1.3,1729096382341000000,488,63440.0,2024-10-16,Automatic Execution,Finance,Financial - Miscellaneous Services,10.95,11.87,10.64,11.81,1,4.802363174309547,1,1,0,0,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY241115C00012000,PGY,C,12.0,2024-11-15,209,0,320,1.35,1729102931056000000,264,35640.0,2024-10-16,Automatic Execution,Finance,Financial - Miscellaneous Services,10.95,11.87,10.64,11.81,14,4.551937695364837,1,1,0,0,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY241115C00014000,PGY,C,14.0,2024-11-15,232,0,312,0.63,1729260170557000000,500,31500.0,2024-10-18,Multi Leg auto-electronic trade,Finance,Financial - Miscellaneous Services,11.35,11.98,11.35,11.62,17,4.498310553789601,1,1,0,0,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,5. p99_trade_value,42415.0,46670.0,O:PGY241115C00013000,PGY,C,13.0,2024-11-15,227,0,308,0.85,1729519723680000000,499,42415.0,2024-10-21,Single Leg Auction Non ISO,Finance,Financial - Miscellaneous Services,11.6,11.95,11.35,11.92,4,4.627519471337683,1,1,0,0,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY241115C00012000,PGY,C,12.0,2024-11-15,227,0,323,1.17,1729695454588000000,250,29250.0,2024-10-23,Single Leg Auction Non ISO,Finance,Financial - Miscellaneous Services,11.91,11.96,10.83671,10.96,18,4.4661258704182,1,1,0,0,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY241115P00011000,PGY,P,11.0,2024-11-15,231,0,301,0.85,1730404442398000000,428,36380.0,2024-10-31,Single Leg Floor Trade,Finance,Financial - Miscellaneous Services,12.27,12.35,11.5,11.52,12,4.560862694727465,1,1,1,1,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY241115P00011000,PGY,P,11.0,2024-11-15,231,0,301,0.9,1730404442398000000,428,38520.0,2024-10-31,Single Leg Floor Trade,Finance,Financial - Miscellaneous Services,12.27,12.35,11.5,11.52,10,4.5856862784524965,1,1,1,1,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY241115P00011000,PGY,P,11.0,2024-11-15,231,0,301,0.8,1730470886114000000,400,32000.0,2024-11-01,Single Leg Floor Trade,Finance,Financial - Miscellaneous Services,11.57,12.06,11.52,11.68,16,4.505149978319906,1,1,1,1,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,5. p99_trade_value,42415.0,46670.0,O:PGY241115P00011000,PGY,P,11.0,2024-11-15,231,0,301,0.9,1730486550502000000,495,44550.0,2024-11-01,Single Leg Floor Trade,Finance,Financial - Miscellaneous Services,11.57,12.06,11.52,11.68,3,4.648847708372894,1,1,1,1,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY241115C00015000,PGY,C,15.0,2024-11-15,219,0,316,1.4,1731095325751000000,283,39620.0,2024-11-08,Intermarket Sweep Order,Finance,Financial - Miscellaneous Services,13.15,14.86,12.9,14.62,6,4.597914471202528,1,1,0,0,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY241115P00013000,PGY,P,13.0,2024-11-15,229,0,302,0.38,1731348889635000000,1000,38000.0,2024-11-11,Single Leg Cross Non ISO,Finance,Financial - Miscellaneous Services,15.14,17.2,14.95,16.89,11,4.57978359661681,1,1,1,1,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY241115P00013000,PGY,P,13.0,2024-11-15,229,0,302,0.39,1731342624846000000,1000,39000.0,2024-11-11,Single Leg Cross Non ISO,Finance,Financial - Miscellaneous Services,15.14,17.2,14.95,16.89,8,4.5910646070264995,1,1,1,1,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY241115P00013000,PGY,P,13.0,2024-11-15,229,0,302,0.39,1731354673495000000,1000,39000.0,2024-11-11,Single Leg Cross Non ISO,Finance,Financial - Miscellaneous Services,15.14,17.2,14.95,16.89,9,4.5910646070264995,1,1,1,1,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY250221C00015000,PGY,C,15.0,2025-02-21,209,0,313,0.5,1739198335049000000,842,42100.0,2025-02-10,Automatic Execution,Finance,Financial - Miscellaneous Services,13.0,13.1011,12.6,13.01,5,4.624282095835668,1,1,1,0,0
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY250221P00010000,PGY,P,10.0,2025-02-21,235,0,313,0.8,1739294428629000000,450,36000.0,2025-02-11,Multi Leg floor trade,Finance,Financial - Miscellaneous Services,13.3,13.39,10.84,11.315,13,4.556302500767287,1,0,0,0,1
PGY,Finance,Financial - Miscellaneous Services,25__0,25,0.0,6. p95_trade_value,29250.0,42100.0,O:PGY250321C00019000,PGY,C,19.0,2025-03-21,209,0,308,1.15,1739975642648000000,340,39099.99999999999,2025-02-19,Automatic Execution,Finance,Financial - Miscellaneous Services,17.27,17.6,16.455,16.5,7,4.592176757395867,1,0,0,0,1
TROW,Finance,Financial - Investment Management,25__2,25,2.0,1. p999999_trade_value,707700.0,707700.0,O:TROW241115P00110000,TROW,P,110.0,2024-11-15,235,0,323,1.75,1729260564190000000,4044,707700.0,2024-10-18,Multi Leg floor trade,Finance,Financial - Investment Management,113.23,115.97,112.88,115.63,1,5.849849195605258,1,1,0,0,0
TW,Finance,Financial - Investment Bank,25__0,25,0.0,5. p99_trade_value,187550.0,255750.0,O:TW250321C00135000,TW,C,135.0,2025-03-21,235,0,301,2.17,1741882462338000000,1045,226765.0,2025-03-13,Multi Leg floor trade,Finance,Financial - Investment Bank,132.59,134.32,132.35,133.65,3,5.355576024295602,1,1,1,1,0
TW,Finance,Financial - Investment Bank,25__0,25,0.0,5. p99_trade_value,187550.0,255750.0,O:TW250417C00145000,TW,C,145.0,2025-04-17,235,0,301,3.1,1742583053277000000,825,255750.0,2025-03-21,Multi Leg floor trade,Finance,Financial - Investment Bank,141.73,142.905,140.47,142.41,2,5.407815642384198,1,1,0,0,0
TW,Finance,Financial - Investment Bank,25__0,25,0.0,5. p99_trade_value,187550.0,255750.0,O:TW250417C00145000,TW,C,145.0,2025-04-17,235,0,301,3.41,1742839174736000000,550,187550.0,2025-03-24,Multi Leg floor trade,Finance,Financial - Investment Bank,142.89,144.8599,142.86,144.08,4,5.273117068486742,1,1,0,0,0
TW,Finance,Financial - Investment Bank,25__0,25,0.0,1. p999999_trade_value,376200.0,376200.0,O:TW250417C00145000,TW,C,145.0,2025-04-17,235,0,301,3.42,1742839174736000000,1100,376200.0,2025-03-24,Multi Leg floor trade,Finance,Financial - Investment Bank,142.89,144.8599,142.86,144.08,1,5.57541879121436,1,1,0,0,0
