security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AFL,Finance,Insurance - Accident and Health,25__0,25,0.0,5. p99_trade_value,136375.0,150000.0,O:AFL241220P00105000,AFL,P,105.0,2024-12-20,229,0,313,0.6,1733506045531000000,2500,150000.0,2024-12-06,Single Leg Cross Non ISO,Finance,Insurance - Accident and Health,107.77,108.35,107.09,107.31,2,5.176091259055681,1,1,1,1,0
AFL,Finance,Insurance - Accident and Health,25__0,25,0.0,5. p99_trade_value,136375.0,150000.0,O:AFL250417C00110000,AFL,C,110.0,2025-04-17,227,0,308,1.25,1742586291396000000,1091,136375.0,2025-03-21,Single Leg Auction Non ISO,Finance,Insurance - Accident and Health,108.56,108.8175,107.2301,108.24,3,5.1347347635963985,1,1,0,0,0
AFL,Finance,Insurance - Accident and Health,25__0,25,0.0,1. p999999_trade_value,182025.0,182025.0,O:AFL250516C00110000,AFL,C,110.0,2025-05-16,228,0,308,2.25,1744919070000000000,809,182025.0,2025-04-17,Single Leg Auction ISO,Finance,Insurance - Accident and Health,107.83,109.23,107.01,107.44,1,5.2601310397236345,1,1,0,0,0
AON,Finance,Insurance - Brokerage,25__0,25,0.0,1. p999999_trade_value,520000.0,520000.0,O:AON250516P00370000,AON,P,370.0,2025-05-16,235,0,323,10.4,1744823699596000000,500,520000.0,2025-04-16,Multi Leg floor trade,Finance,Insurance - Brokerage,381.86,382.32,371.25,372.82,1,5.7160033436347994,1,1,1,1,0
EG,Finance,Insurance - Multi line,25__0,25,0.0,1. p999999_trade_value,660000.0000000001,660000.0000000001,O:EG241018C00400000,EG,C,400.0,2024-10-18,235,0,323,4.4,1728493194299000000,1500,660000.0000000001,2024-10-09,Multi Leg floor trade,Finance,Insurance - Multi line,371.0,391.99,369.37,388.89,1,5.819543935541868,1,1,0,0,0
ETOR,Finance,Insurance - Brokerage,25__0,25,0.0,1. p999999_trade_value,117000.0,117000.0,O:ETOR250620C00075000,ETOR,C,75.0,2025-06-20,235,0,323,5.0,1747940140667000000,234,117000.0,2025-05-22,Multi Leg floor trade,Finance,Insurance - Brokerage,66.26,68.44,64.05,66.48,1,5.068185861746161,1,1,0,0,0
TRV,Finance,Insurance - Property and Casualty,25__0,25,0.0,1. p999999_trade_value,176000.00000000003,176000.00000000003,O:TRV241018C00240000,TRV,C,240.0,2024-10-18,231,0,301,4.4,1727882456373000000,400,176000.00000000003,2024-10-02,Single Leg Floor Trade,Finance,Insurance - Property and Casualty,234.4,236.41,232.73,235.06,1,5.2455126678141495,1,1,1,1,0
WTW,Finance,Insurance - Brokerage,25__0,25,0.0,5. p99_trade_value,175250.0,175250.0,O:WTW250516P00310000,WTW,P,310.0,2025-05-16,233,0,323,7.01,1745244047813000000,250,175250.0,2025-04-21,Multi Leg Auction,Finance,Insurance - Brokerage,320.52,322.621,311.86,315.76,2,5.2436580266386965,1,1,1,0,0
WTW,Finance,Insurance - Brokerage,25__0,25,0.0,5. p99_trade_value,175250.0,175250.0,O:WTW250516P00310000,WTW,P,310.0,2025-05-16,233,0,323,7.01,1745244036292000000,250,175250.0,2025-04-21,Multi Leg Auction,Finance,Insurance - Brokerage,320.52,322.621,311.86,315.76,3,5.2436580266386965,1,1,1,0,0
WTW,Finance,Insurance - Brokerage,25__0,25,0.0,1. p999999_trade_value,261260.99999999997,261260.99999999997,O:WTW250516P00310000,WTW,P,310.0,2025-05-16,233,0,323,6.93,1745244069617000000,377,261260.99999999997,2025-04-21,Multi Leg Auction,Finance,Insurance - Brokerage,320.52,322.621,311.86,315.76,1,5.417074584817599,1,1,1,0,0
