security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
MPAA,Auto-Tires-Trucks,Automotive - Replacement Parts,10__0,10,0.0,8. p75_trade_value,7000.0,7000.0,O:MPAA250620C00012500,MPAA,C,12.5,2025-06-20,209,0,309,1.0,1749227718356000000,70,7000.0,2025-06-06,Automatic Execution,Auto-Tires-Trucks,Automotive - Replacement Parts,11.91,12.4,11.65,11.92,2,3.845098040014257,2,1,0,0,0
MPAA,Auto-Tires-Trucks,Automotive - Replacement Parts,10__0,10,0.0,1. p999999_trade_value,9000.0,9000.0,O:MPAA250620C00012500,MPAA,C,12.5,2025-06-20,209,0,320,0.9,1749226410705000000,100,9000.0,2025-06-06,Automatic Execution,Auto-Tires-Trucks,Automotive - Replacement Parts,11.91,12.4,11.65,11.92,1,3.9542425094393248,1,1,0,0,0
SUP,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,8. p75_trade_value,8000.0,8000.0,O:SUP250516P00002500,SUP,P,2.5,2025-05-16,209,0,325,0.2,1746714222017000000,400,8000.0,2025-05-08,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,2.75,2.96,2.75,2.87,2,3.9030899869919438,2,1,1,1,0
SUP,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,1. p999999_trade_value,20000.0,20000.0,O:SUP250516P00002500,SUP,P,2.5,2025-05-16,209,0,303,0.2,1746732473563000000,1000,20000.0,2025-05-08,Automatic Execution,Auto-Tires-Trucks,Automotive - Original Equipment,2.75,2.96,2.75,2.87,1,4.301029995663981,1,1,1,1,0
XPEL,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,1. p999999_trade_value,13860.0,13860.0,O:XPEL250516P00025000,XPEL,P,25.0,2025-05-16,227,0,300,1.98,1744902009922000000,70,13860.0,2025-04-17,Single Leg Auction Non ISO,Auto-Tires-Trucks,Automotive - Original Equipment,25.86,26.3,25.71,25.84,2,4.141763230275788,2,1,0,0,0
XPEL,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,1. p999999_trade_value,13860.0,13860.0,O:XPEL250516P00025000,XPEL,P,25.0,2025-05-16,227,0,300,1.98,1744902009922000000,70,13860.0,2025-04-17,Single Leg Auction Non ISO,Auto-Tires-Trucks,Automotive - Original Equipment,25.86,26.3,25.71,25.84,1,4.141763230275788,1,1,0,0,0
DORM,Auto-Tires-Trucks,Automotive - Replacement Parts,10__0,10,0.0,8. p75_trade_value,30000.0,30000.0,O:DORM250321P00125000,DORM,P,125.0,2025-03-21,227,0,302,3.0,1741791052456000000,100,30000.0,2025-03-12,Single Leg Auction Non ISO,Auto-Tires-Trucks,Automotive - Replacement Parts,126.99,127.53,125.01,126.82,2,4.477121254719663,2,1,1,0,0
DORM,Auto-Tires-Trucks,Automotive - Replacement Parts,10__0,10,0.0,1. p999999_trade_value,35000.0,35000.0,O:DORM250516C00115000,DORM,C,115.0,2025-05-16,209,0,308,3.5,1744815830274000000,100,35000.0,2025-04-16,Automatic Execution,Auto-Tires-Trucks,Automotive - Replacement Parts,111.47,112.35,109.7325,111.67,1,4.544068044350276,1,1,1,1,0
FOXF,Auto-Tires-Trucks,Automotive - Domestic,10__0,10,0.0,1. p999999_trade_value,55000.0,55000.0,O:FOXF250516C00022500,FOXF,C,22.5,2025-05-16,209,0,313,1.1,1746719601347000000,500,55000.0,2025-05-08,Automatic Execution,Auto-Tires-Trucks,Automotive - Domestic,20.55,21.55,20.38,21.35,1,4.740362689494244,1,1,1,1,0
LVWR,Auto-Tires-Trucks,Automotive - Domestic,10__0,10,0.0,7. p90_trade_value,9300.0,9300.0,O:LVWR241115P00006000,LVWR,P,6.0,2024-11-15,209,0,320,1.0,1729263786347000000,93,9300.0,2024-10-18,Automatic Execution,Auto-Tires-Trucks,Automotive - Domestic,6.46,6.58,6.29,6.37,2,3.9684829485539352,2,1,1,1,0
LVWR,Auto-Tires-Trucks,Automotive - Domestic,10__0,10,0.0,1. p999999_trade_value,9600.0,9600.0,O:LVWR250620P00003000,LVWR,P,3.0,2025-06-20,209,0,308,0.6,1748439867700000000,160,9600.0,2025-05-28,Automatic Execution,Auto-Tires-Trucks,Automotive - Domestic,3.7,4.67,3.05,3.97,1,3.9822712330395684,1,1,0,0,0
LVWR,Auto-Tires-Trucks,Automotive - Domestic,10__0,10,0.0,8. p75_trade_value,6964.999999999999,6964.999999999999,O:LVWR250620P00003000,LVWR,P,3.0,2025-06-20,209,0,316,0.35,1748460281569000000,199,6964.999999999999,2025-05-28,Automatic Execution,Auto-Tires-Trucks,Automotive - Domestic,3.7,4.67,3.05,3.97,3,3.842921120759982,3,1,0,0,0
