security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
SNX,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,1. p999999_trade_value,12000.0,12000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
SNX,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,6. p95_trade_value,10200.0,9280.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
SNX,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,7. p90_trade_value,8960.0,8100.0,0.0,3.0,0.0,0.55,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
SNX,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,8. p75_trade_value,7500.0,6480.000000000001,1.0,8.0,0.125,0.55,2. BELOW BASELINE,2.0,14.0,0.14285714285714285
SYNA,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,1. p999999_trade_value,189000.00000000003,189000.00000000003,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
SYNA,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,6. p95_trade_value,26500.0,17000.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
SYNA,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,7. p90_trade_value,14619.999999999998,13800.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,5.0,0.4
SYNA,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,8. p75_trade_value,13500.0,9375.0,4.0,6.0,0.6666666666666666,0.55,2. BELOW BASELINE,6.0,11.0,0.5454545454545454
TKR,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,1. p999999_trade_value,150000.0,150000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
TKR,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,6. p95_trade_value,73920.0,73920.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
TKR,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,7. p90_trade_value,12749.999999999998,12749.999999999998,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,4.0,0.25
TKR,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,8. p75_trade_value,7400.0,4930.0,5.0,6.0,0.8333333333333334,0.55,2. BELOW BASELINE,6.0,10.0,0.6
UMC,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,1. p999999_trade_value,125000.0,125000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
UMC,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,6. p95_trade_value,45000.0,45000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
UMC,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,7. p90_trade_value,35315.0,35315.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
UMC,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,8. p75_trade_value,31500.0,22500.0,2.0,3.0,0.6666666666666666,0.55,2. BELOW BASELINE,4.0,6.0,0.6666666666666666
VECO,Computer and Technology,Electronics - Manufacturing Machinery,15__0,15,0.0,1. p999999_trade_value,42840.0,42840.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
VECO,Computer and Technology,Electronics - Manufacturing Machinery,15__0,15,0.0,6. p95_trade_value,34300.0,34300.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
VECO,Computer and Technology,Electronics - Manufacturing Machinery,15__0,15,0.0,7. p90_trade_value,32500.0,32500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
VECO,Computer and Technology,Electronics - Manufacturing Machinery,15__0,15,0.0,8. p75_trade_value,25000.0,20520.0,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,5.0,6.0,0.8333333333333334
VPG,Computer and Technology,Electronics - Miscellaneous Components,15__0,15,0.0,1. p999999_trade_value,21000.0,21000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
VPG,Computer and Technology,Electronics - Miscellaneous Components,15__0,15,0.0,6. p95_trade_value,16887.0,16887.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
VPG,Computer and Technology,Electronics - Miscellaneous Components,15__0,15,0.0,7. p90_trade_value,16000.0,14935.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,4.0,0.0
VPG,Computer and Technology,Electronics - Miscellaneous Components,15__0,15,0.0,8. p75_trade_value,14000.0,9680.000000000002,0.0,5.0,0.0,0.55,2. BELOW BASELINE,0.0,9.0,0.0
ABAT,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,1. p999999_trade_value,8000.0,8000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ABAT,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,6. p95_trade_value,7000.0,7000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
ABAT,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,8. p75_trade_value,6894.999999999999,5215.0,0.0,4.0,0.0,0.55,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
DAKT,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,1. p999999_trade_value,89910.0,89910.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
DAKT,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,6. p95_trade_value,42500.0,42500.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
DAKT,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,8. p75_trade_value,35000.0,8060.000000000001,0.0,3.0,0.0,0.55,2. BELOW BASELINE,3.0,6.0,0.5
FTV,Computer and Technology,Electronics - Testing Equipment,15__0,15,0.0,6. p95_trade_value,86134.99999999999,82390.00000000001,3.0,3.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
FTV,Computer and Technology,Electronics - Testing Equipment,15__0,15,0.0,7. p90_trade_value,36000.0,12825.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,3.0,5.0,0.6
FTV,Computer and Technology,Electronics - Testing Equipment,15__0,15,0.0,8. p75_trade_value,11430.0,6000.0,0.0,10.0,0.0,0.55,2. BELOW BASELINE,3.0,15.0,0.2
INDI,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,1. p999999_trade_value,20000.0,20000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
INDI,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,6. p95_trade_value,17150.0,17150.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
INDI,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,7. p90_trade_value,15700.0,15700.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
INDI,Computer and Technology,Electronics - Semiconductors,15__0,15,0.0,8. p75_trade_value,13619.999999999998,6600.0,3.0,4.0,0.75,0.55,2. BELOW BASELINE,5.0,7.0,0.7142857142857143
ITRI,Computer and Technology,Electronics - Testing Equipment,15__0,15,0.0,1. p999999_trade_value,13000.0,13000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ITRI,Computer and Technology,Electronics - Testing Equipment,15__0,15,0.0,6. p95_trade_value,9890.0,9890.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
ITRI,Computer and Technology,Electronics - Testing Equipment,15__0,15,0.0,7. p90_trade_value,9700.0,9000.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,4.0,0.25
ITRI,Computer and Technology,Electronics - Testing Equipment,15__0,15,0.0,8. p75_trade_value,7819.999999999999,5174.999999999999,0.0,4.0,0.0,0.55,2. BELOW BASELINE,1.0,8.0,0.125
KLIC,Computer and Technology,Electronics - Manufacturing Machinery,15__0,15,0.0,1. p999999_trade_value,54779.99999999999,54779.99999999999,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
KLIC,Computer and Technology,Electronics - Manufacturing Machinery,15__0,15,0.0,6. p95_trade_value,42141.0,42141.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
KLIC,Computer and Technology,Electronics - Manufacturing Machinery,15__0,15,0.0,7. p90_trade_value,31000.0,31000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
KLIC,Computer and Technology,Electronics - Manufacturing Machinery,15__0,15,0.0,8. p75_trade_value,26611.0,22000.000000000004,3.0,3.0,1.0,0.55,2. BELOW BASELINE,4.0,6.0,0.6666666666666666
KOPN,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,1. p999999_trade_value,20000.0,20000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
KOPN,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,6. p95_trade_value,19750.0,19750.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
KOPN,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,7. p90_trade_value,15000.0,13469.999999999998,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,4.0,0.5
KOPN,Computer and Technology,Electronics - Miscellaneous Products,15__0,15,0.0,8. p75_trade_value,10000.0,7500.0,4.0,5.0,0.8,0.55,2. BELOW BASELINE,6.0,9.0,0.6666666666666666
SANM,Computer and Technology,Electronics - Manufacturing Services,15__0,15,0.0,1. p999999_trade_value,23400.0,23400.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
SANM,Computer and Technology,Electronics - Manufacturing Services,15__0,15,0.0,6. p95_trade_value,15860.0,15589.000000000002,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
SANM,Computer and Technology,Electronics - Manufacturing Services,15__0,15,0.0,7. p90_trade_value,15368.0,15367.000000000002,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,5.0,0.2
