security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
CXDO,Computer and Technology,Internet - Services,0.55,,,,1,0__2,0,2.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0,7350.0
DFIN,Computer and Technology,Internet - Software and Services,0.55,,,,1,0__0,0,0.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
GBTG,Computer and Technology,Internet - Software,0.55,,,,1,0__2,0,2.0,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0
KIND,Computer and Technology,Internet - Software,0.55,,,,1,0__2,0,2.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0
MTLS,Computer and Technology,Internet - Software,0.55,,,,1,0__2,0,2.0,5130.0,5130.0,5130.0,5130.0,5130.0,5130.0,5130.0
SMWB,Computer and Technology,Internet - Content,0.55,,,,1,0__0,0,0.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0
SNCR,Computer and Technology,Internet - Software,0.55,5500.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0
TIXT,Computer and Technology,Internet - Software,0.55,10000.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
TRUE,Computer and Technology,Internet - Services,0.55,,,,1,0__2,0,2.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
TRVG,Computer and Technology,Internet - Services,0.55,3990.0000000000005,1. p999999_trade_value,1.0,1,0__2,0,2.0,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0,3990.0
