security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
BUD,Consumer Staples,Beverages - Alcohol,0.55,165000.00000000003,1. p999999_trade_value,1.0,286,25__0,25,0.0,17450.0,28995.0,79050.0,152175.0,163717.5,164871.75,164987.17
CCEP,Consumer Staples,Beverages - Soft drinks,0.55,,,,69,20__0,20,0.0,12094.0,13843.0,77603.2,162906.82,171437.18,172290.22,172375.52
COCO,Consumer Staples,Beverages - Soft drinks,0.55,,,,6,10__0,10,0.0,12525.0,14137.5,15427.5,15717.75,15746.78,15749.68,15749.97
DEO,Consumer Staples,Beverages - Alcohol,0.55,,,,110,20__0,20,0.0,11500.0,15173.0,34503.3,46192.55,47369.25,47486.93,47498.69
FIZZ,Consumer Staples,Beverages - Soft drinks,0.55,,,,7,10__0,10,0.0,7248.0,9684.0,11632.8,12071.28,12115.13,12119.51,12119.95
FMX,Consumer Staples,Beverages - Soft drinks,0.55,11130.000000000002,8. p75_trade_value,3.0,9,10__0,10,0.0,18692.6,22157.8,24929.96,25553.7,25616.07,25622.31,25622.93
KDP,Consumer Staples,Beverages - Soft drinks,0.55,,,,146,20__0,20,0.0,16500.0,26812.5,110893.5,200251.12,213232.61,214530.76,214660.58
KO,Consumer Staples,Beverages - Soft drinks,0.55,,,,4532,35__0,35,0.0,14497.2,22500.0,63583.49,205932.86,396411.78,435641.18,439564.12
MGPI,Consumer Staples,Beverages - Alcohol,0.55,20910.0,8. p75_trade_value,3.0,11,10__3,10,3.0,22500.0,65407.5,99733.5,107456.85,108229.19,108306.42,108314.14
MNST,Consumer Staples,Beverages - Soft drinks,0.55,715000.0,1. p999999_trade_value,1.0,742,30__1,30,1.0,20860.0,34306.4,236899.58,607555.0,704255.5,713925.55,714892.55
PEP,Consumer Staples,Beverages - Soft drinks,0.55,,,,5179,35__0,35,0.0,14003.2,21781.6,59641.2,196069.5,287423.94,293342.39,293934.24
PRMB,Consumer Staples,Beverages - Soft drinks,0.55,,,,153,20__0,20,0.0,16652.0,23300.0,114861.76,130962.0,130962.0,130962.0,130962.0
SAM,Consumer Staples,Beverages - Alcohol,0.55,129150.0,1. p999999_trade_value,1.0,186,25__0,25,0.0,15685.0,19810.25,74315.5,122020.1,128437.01,129078.7,129142.87
STZ,Consumer Staples,Beverages - Alcohol,0.55,8000.0,8. p75_trade_value,470.0,1873,35__0,35,0.0,14568.0,20244.0,103656.32,487414.08,503677.79,504543.78,504630.38
TAP,Consumer Staples,Beverages - Alcohol,0.55,67500.0,5. p99_trade_value,2.0,154,20__0,20,0.0,14315.7,20586.5,65182.84,124672.5,133967.25,134896.72,134989.67
ZVIA,Consumer Staples,Beverages - Soft drinks,0.55,,,,5,5__0,5,0.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
