security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
FRPT,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,6. p95_trade_value,42000.0,174825.0,O:FRPT240920C00145000,FRPT,C,145.0,2024-09-20,227,0,308,1.75,1725891910179000000,999,174825.0,2024-09-09,Single Leg Auction Non ISO,Consumer Staples,Food - Miscellaneous,136.85,139.15,135.18,136.46,6,5.242603536912276,1,0,0,0,1
FRPT,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,8. p75_trade_value,7800.0,16905.0,O:FRPT241018C00150000,FRPT,C,150.0,2024-10-18,209,0,320,3.2,1726683042026000000,40,12800.0,2024-09-18,Automatic Execution,Consumer Staples,Food - Miscellaneous,138.37,143.98,138.37,140.92,62,4.107209969647869,3,0,0,0,1
FRPT,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,8. p75_trade_value,7800.0,16905.0,O:FRPT240920C00145000,FRPT,C,145.0,2024-09-20,227,0,303,0.62,1726756054195000000,149,9238.0,2024-09-19,Single Leg Auction Non ISO,Consumer Staples,Food - Miscellaneous,142.96,144.3814,139.23,141.24,90,3.965577957910528,4,0,0,0,1
FRPT,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,8. p75_trade_value,7800.0,16905.0,O:FRPT240920C00145000,FRPT,C,145.0,2024-09-20,227,0,309,0.62,1726756054195000000,149,9238.0,2024-09-19,Single Leg Auction Non ISO,Consumer Staples,Food - Miscellaneous,142.96,144.3814,139.23,141.24,89,3.965577957910528,4,0,0,0,1
FRPT,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,8. p75_trade_value,7800.0,16905.0,O:FRPT241018C00145000,FRPT,C,145.0,2024-10-18,209,0,316,3.9,1726843333966000000,20,7800.0,2024-09-20,Automatic Execution,Consumer Staples,Food - Miscellaneous,141.02,143.28,140.38,142.19,114,3.8920946026904804,5,1,0,0,0
FRPT,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,8. p75_trade_value,7800.0,16905.0,O:FRPT241018C00150000,FRPT,C,150.0,2024-10-18,232,0,308,1.55,1727277311374000000,100,15500.0,2024-09-25,Multi Leg auto-electronic trade,Consumer Staples,Food - Miscellaneous,141.14,142.68,140.16,140.23,49,4.190331698170292,3,0,0,0,1
FRPT,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,6. p95_trade_value,42000.0,174825.0,O:FRPT241018C00145000,FRPT,C,145.0,2024-10-18,231,0,313,1.6,1727375762783000000,494,79040.00000000001,2024-09-26,Single Leg Floor Trade,Consumer Staples,Food - Miscellaneous,140.84,140.84,135.0,135.92,16,4.897846931579572,1,1,0,0,0
FRPT,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,8. p75_trade_value,7800.0,16905.0,O:FRPT241115C00145000,FRPT,C,145.0,2024-11-15,232,0,308,6.7,1729263531260000000,20,13400.0,2024-10-18,Multi Leg auto-electronic trade,Consumer Staples,Food - Miscellaneous,139.9,140.25,137.84,139.53,59,4.127104798364807,3,1,1,1,0
FRPT,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,8. p75_trade_value,7800.0,16905.0,O:FRPT241115C00145000,FRPT,C,145.0,2024-11-15,232,0,308,6.35,1729264459628000000,16,10160.0,2024-10-18,Multi Leg auto-electronic trade,Consumer Staples,Food - Miscellaneous,139.9,140.25,137.84,139.53,75,4.0068937079479,4,1,1,1,0
FRPT,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,8. p75_trade_value,7800.0,16905.0,O:FRPT241115C00150000,FRPT,C,150.0,2024-11-15,232,0,308,4.85,1729263531260000000,20,9700.0,2024-10-18,Multi Leg auto-electronic trade,Consumer Staples,Food - Miscellaneous,139.9,140.25,137.84,139.53,80,3.9867717342662448,4,1,1,1,0
