security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
PLUG,Industrial Products,Manufacturing - Electronics,25__0,25,0.0,1. p999999_trade_value,175800.0,175800.0,O:PLUG250117C00003000,PLUG,C,3.0,2025-01-17,231,0,300,0.06,1736531153861000000,29300,175800.0,2025-01-10,Single Leg Floor Trade,Industrial Products,Manufacturing - Electronics,2.65,2.99,2.55,2.87,1,5.245018870737753,1,1,0,0,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,8. p75_trade_value,7789.999999999999,13000.0,O:GTLS240920C00135000,GTLS,C,135.0,2024-09-20,209,0,325,1.95,1724952164974000000,40,7800.0,2024-08-29,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,122.96,127.37,121.97,124.05,131,3.8920946026904804,5,0,0,0,1
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,8. p75_trade_value,7789.999999999999,13000.0,O:GTLS241018C00135000,GTLS,C,135.0,2024-10-18,209,0,316,1.73,1727187105301000000,52,8996.0,2024-09-24,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,127.34,128.42,124.05,124.52,104,3.9540494467635945,4,0,0,0,1
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,7. p90_trade_value,13110.0,17640.0,O:GTLS241115C00130000,GTLS,C,130.0,2024-11-15,209,0,320,7.0,1729186820569000000,20,14000.0,2024-10-17,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,127.35,128.56,124.0101,126.77,44,4.146128035678238,2,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,7. p90_trade_value,13110.0,17640.0,O:GTLS241115C00130000,GTLS,C,130.0,2024-11-15,209,0,316,6.7,1729280167652000000,20,13400.0,2024-10-18,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,127.47,127.505,124.52,126.01,51,4.127104798364807,2,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,7. p90_trade_value,13110.0,17640.0,O:GTLS241115C00130000,GTLS,C,130.0,2024-11-15,232,0,308,6.65,1729280167652000000,20,13300.0,2024-10-18,Multi Leg auto-electronic trade,Industrial Products,Manufacturing - General Industrial ,127.47,127.505,124.52,126.01,52,4.123851640967086,2,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,8. p75_trade_value,7789.999999999999,13000.0,O:GTLS241115C00130000,GTLS,C,130.0,2024-11-15,209,0,315,6.5,1729517878238000000,20,13000.0,2024-10-21,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,125.88,126.48,123.5,125.72,54,4.113943352306837,2,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,8. p75_trade_value,7789.999999999999,13000.0,O:GTLS241115C00135000,GTLS,C,135.0,2024-11-15,227,0,312,4.85,1729517416616000000,23,11155.0,2024-10-21,Single Leg Auction Non ISO,Industrial Products,Manufacturing - General Industrial ,125.88,126.48,123.5,125.72,71,4.047469574619856,3,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS241115P00115000,GTLS,P,115.0,2024-11-15,231,0,301,4.8,1729618672972000000,40,19200.0,2024-10-22,Single Leg Floor Trade,Industrial Products,Manufacturing - General Industrial ,125.38,126.62,122.29,122.3,24,4.283301228703549,1,0,0,0,1
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,8. p75_trade_value,7789.999999999999,13000.0,O:GTLS241115P00115000,GTLS,P,115.0,2024-11-15,227,0,323,5.7,1729790415588000000,20,11400.0,2024-10-24,Single Leg Auction Non ISO,Industrial Products,Manufacturing - General Industrial ,121.19,123.24,119.41,122.62,67,4.056904851336473,3,0,0,0,1
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,8. p75_trade_value,7789.999999999999,13000.0,O:GTLS241115C00130000,GTLS,C,130.0,2024-11-15,209,0,318,6.6,1729864232653000000,12,7919.999999999999,2024-10-25,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,123.94,125.52,122.5,123.68,128,3.8987251815894934,5,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,8. p75_trade_value,7789.999999999999,13000.0,O:GTLS241115C00130000,GTLS,C,130.0,2024-11-15,209,0,302,6.6,1729864232653000000,12,7919.999999999999,2024-10-25,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,123.94,125.52,122.5,123.68,127,3.8987251815894934,5,1,1,1,0
GTLS,Industrial Products,Manufacturing - General Industrial ,25__0,25,0.0,6. p95_trade_value,18125.0,28400.0,O:GTLS241115C00130000,GTLS,C,130.0,2024-11-15,209,0,323,6.6,1729864232653000000,30,19800.0,2024-10-25,Automatic Execution,Industrial Products,Manufacturing - General Industrial ,123.94,125.52,122.5,123.68,21,4.296665190261531,1,1,1,1,0
