security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AEM,Basic Materials,Mining - Gold,35__1,35,1.0,4. p999_trade_value,363000.0,363000.0,O:AEM240920P00080000,AEM,P,80.0,2024-09-20,229,0,313,1.21,1724945715202000000,3000,363000.0,2024-08-29,Single Leg Cross Non ISO,Basic Materials,Mining - Gold,81.3,82.945,81.3,82.09,2,5.559906625036112,1,1,0,0,0
AEM,Basic Materials,Mining - Gold,35__1,35,1.0,1. p999999_trade_value,1979900.9999999998,1979900.9999999998,O:AEM250417P00090000,AEM,P,90.0,2025-04-17,233,0,302,0.99,1743784197500000000,19999,1979900.9999999998,2025-04-04,Multi Leg Auction,Basic Materials,Mining - Gold,105.31,106.74,98.91,99.48,1,6.29664347499455,1,0,0,0,1
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI240920C00021000,AGI,C,21.0,2024-09-20,209,0,323,0.25,1726494302466000000,497,12425.0,2024-09-16,Automatic Execution,Basic Materials,Mining - Gold,20.77,20.8,20.41,20.68,15,4.09429639740537,2,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI241018P00020000,AGI,P,20.0,2024-10-18,232,0,312,0.46,1726859670455000000,224,10304.0,2024-09-20,Multi Leg auto-electronic trade,Basic Materials,Mining - Gold,20.58,20.825,20.39,20.82,24,4.013005850015737,3,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI241018C00022000,AGI,C,22.0,2024-10-18,209,0,308,0.2,1727376700931000000,411,8220.0,2024-09-26,Automatic Execution,Basic Materials,Mining - Gold,20.68,20.76,20.31,20.44,31,3.9148718175400505,4,0,0,0,1
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,16000.0,23500.0,O:AGI241018C00020000,AGI,C,20.0,2024-10-18,227,0,308,0.225,1728311206389000000,1000,22500.0,2024-10-07,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,19.5,19.52,19.14,19.41,4,4.352182518111363,1,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI241018C00020000,AGI,C,20.0,2024-10-18,209,0,308,0.25,1728653401875000000,300,7500.0,2024-10-11,Automatic Execution,Basic Materials,Mining - Gold,19.76,19.94,19.52,19.6,34,3.8750612633917,5,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI241018C00020000,AGI,C,20.0,2024-10-18,227,0,323,0.31,1728653543576000000,300,9300.0,2024-10-11,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,19.76,19.94,19.52,19.6,29,3.9684829485539352,4,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,16000.0,23500.0,O:AGI241115C00021000,AGI,C,21.0,2024-11-15,209,0,308,0.5,1729087314693000000,357,17850.0,2024-10-16,Automatic Execution,Basic Materials,Mining - Gold,19.95,20.24,19.74,19.97,6,4.251638220448212,1,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI241115C00022000,AGI,C,22.0,2024-11-15,209,0,308,0.65,1729519250905000000,199,12935.0,2024-10-21,Automatic Execution,Basic Materials,Mining - Gold,21.3,21.45,20.731,20.79,14,4.111766433052562,2,0,0,0,1
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI241115C00022000,AGI,C,22.0,2024-11-15,227,0,309,0.45,1729865455984000000,250,11250.0,2024-10-25,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,20.92,21.07,20.65,20.77,22,4.051152522447381,3,0,0,0,1
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,5. p99_trade_value,26000.0,26000.0,O:AGI241115C00021000,AGI,C,21.0,2024-11-15,209,0,309,0.65,1730143092150000000,400,26000.0,2024-10-28,Automatic Execution,Basic Materials,Mining - Gold,20.72,20.815,20.445,20.5,2,4.414973347970818,1,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI241220C00019000,AGI,C,19.0,2024-12-20,209,0,313,0.6,1732217889932000000,156,9360.0,2024-11-21,Automatic Execution,Basic Materials,Mining - Gold,18.87,18.99,18.66,18.86,28,3.971275848738105,4,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI241220C00020000,AGI,C,20.0,2024-12-20,209,0,313,0.4,1733253458560000000,228,9120.0,2024-12-03,Automatic Execution,Basic Materials,Mining - Gold,18.78,19.775,18.78,19.36,30,3.959994838328416,4,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,16000.0,23500.0,O:AGI250221C00022000,AGI,C,22.0,2025-02-21,227,0,323,0.47,1738252231438000000,500,23500.0,2025-01-30,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,20.88,21.37,20.73,21.21,3,4.371067862271736,1,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250321C00025000,AGI,C,25.0,2025-03-21,227,0,323,0.38,1740592858081000000,180,6840.000000000001,2025-02-26,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,22.98,23.825,22.895,23.57,38,3.835056101720116,5,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417P00024000,AGI,P,24.0,2025-04-17,209,0,315,0.7,1743794113713000000,159,11130.0,2025-04-04,Automatic Execution,Basic Materials,Mining - Gold,25.83,26.26,24.29,24.52,23,4.046495164334709,3,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,1. p999999_trade_value,36890.0,36890.0,O:AGI250417P00024000,AGI,P,24.0,2025-04-17,209,0,320,0.7,1743794113713000000,527,36890.0,2025-04-04,Automatic Execution,Basic Materials,Mining - Gold,25.83,26.26,24.29,24.52,1,4.566908655226803,1,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI250417P00024000,AGI,P,24.0,2025-04-17,209,0,316,0.6,1743777292707000000,223,13379.999999999998,2025-04-04,Automatic Execution,Basic Materials,Mining - Gold,25.83,26.26,24.29,24.52,13,4.1264561134318045,2,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00026000,AGI,C,26.0,2025-04-17,227,0,312,0.79,1744119616974000000,124,9796.0,2025-04-08,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,25.6,25.86,24.345,24.5,25,3.9910487764526765,4,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00026000,AGI,C,26.0,2025-04-17,227,0,312,0.79,1744119616974000000,96,7584.0,2025-04-08,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,25.6,25.86,24.345,24.5,33,3.87989832433001,5,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00028000,AGI,C,28.0,2025-04-17,227,0,323,0.41,1744218183742000000,300,12299.999999999998,2025-04-09,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,25.81,27.085,25.64,26.54,16,4.089905111439398,2,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00028000,AGI,C,28.0,2025-04-17,227,0,323,0.46,1744218502992000000,246,11316.000000000002,2025-04-09,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,25.81,27.085,25.64,26.54,21,4.053692938784954,3,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,16000.0,23500.0,O:AGI250417C00028000,AGI,C,28.0,2025-04-17,209,0,325,0.32,1744226586262000000,500,16000.0,2025-04-09,Automatic Execution,Basic Materials,Mining - Gold,25.81,27.085,25.64,26.54,7,4.204119982655925,1,1,1,1,0
