security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI241115P00510000,CACI,P,510.0,2024-11-15,227,0,323,9.3,1729710805539000000,60,55800.0,2024-10-23,Single Leg Auction Non ISO,Computer and Technology,Computer - Services,523.41,527.23,522.3811,524.1,8,4.746634198937579,1,1,1,1,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250221C00400000,CACI,C,400.0,2025-02-21,209,0,308,8.4,1738691666851000000,100,84000.0,2025-02-04,Automatic Execution,Computer and Technology,Computer - Services,387.97,394.0,383.515,386.36,4,4.924279286061882,1,0,0,0,1
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,7. p90_trade_value,12078.0,23940.000000000004,O:CACI250221C00400000,CACI,C,400.0,2025-02-21,209,0,315,9.3,1738699226532000000,24,22320.0,2025-02-04,Automatic Execution,Computer and Technology,Computer - Services,387.97,394.0,383.515,386.36,14,4.348694190265541,2,0,0,0,1
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,7. p90_trade_value,12078.0,23940.000000000004,O:CACI250221C00400000,CACI,C,400.0,2025-02-21,209,0,303,4.2,1738770513032000000,40,16800.0,2025-02-05,Automatic Execution,Computer and Technology,Computer - Services,389.68,391.9509,377.9137,380.12,19,4.225309281725863,2,0,0,0,1
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,232,0,302,6.3,1739979425813000000,50,31500.0,2025-02-19,Multi Leg auto-electronic trade,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,10,4.498310553789601,1,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,233,0,323,6.95,1739979754176000000,94,65330.00000000001,2025-02-19,Multi Leg Auction,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,6,4.815112658189813,1,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,7. p90_trade_value,12078.0,23940.000000000004,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,232,0,302,5.48,1739982555407000000,33,18084.0,2025-02-19,Multi Leg auto-electronic trade,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,17,4.257294498362256,2,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,5. p99_trade_value,84455.0,254794.99999999997,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,233,0,323,6.55,1739985430705000000,389,254794.99999999997,2025-02-19,Multi Leg Auction,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,2,5.4061909013174905,1,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,7. p90_trade_value,12078.0,23940.000000000004,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,232,0,302,6.59,1739979449251000000,23,15157.0,2025-02-19,Multi Leg auto-electronic trade,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,20,4.180613250611603,2,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,7. p90_trade_value,12078.0,23940.000000000004,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,232,0,302,5.8,1739981400883000000,40,23200.0,2025-02-19,Multi Leg auto-electronic trade,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,13,4.365487984890899,2,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,233,0,323,6.0,1739982583585000000,98,58800.0,2025-02-19,Multi Leg Auction,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,7,4.769377326076138,1,1,0,0,0
CACI,Computer and Technology,Computer - Services,25__0,25,0.0,6. p95_trade_value,25350.0,84000.0,O:CACI250321P00320000,CACI,P,320.0,2025-03-21,233,0,323,6.55,1739979033334000000,116,75980.0,2025-02-19,Multi Leg Auction,Computer and Technology,Computer - Services,336.31,350.5,333.96,344.51,5,4.880699289218701,1,1,0,0,0
