security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AFRM,Computer and Technology,Internet - Software,45__2,45,2.0,1. p999999_trade_value,4545000.0,4545000.0,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
AFRM,Computer and Technology,Internet - Software,45__2,45,2.0,3. p9999_trade_value,4395000.0,4395000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
AFRM,Computer and Technology,Internet - Software,45__2,45,2.0,4. p999_trade_value,3164999.9999999995,500000.0,13.0,18.0,0.7222222222222222,0.65,1. ABOVE BASELINE,16.0,21.0,0.7619047619047619
AFRM,Computer and Technology,Internet - Software,45__2,45,2.0,5. p99_trade_value,490500.0,67095.0,118.0,185.0,0.6378378378378379,0.65,2. BELOW BASELINE,134.0,206.0,0.6504854368932039
AFRM,Computer and Technology,Internet - Software,45__2,45,2.0,6. p95_trade_value,67000.0,25875.0,562.0,824.0,0.6820388349514563,0.65,2. BELOW BASELINE,696.0,1030.0,0.6757281553398058
AFRM,Computer and Technology,Internet - Software,45__2,45,2.0,7. p90_trade_value,25800.0,16335.0,666.0,1031.0,0.6459747817652765,0.65,2. BELOW BASELINE,1362.0,2061.0,0.660844250363901
AFRM,Computer and Technology,Internet - Software,45__2,45,2.0,8. p75_trade_value,16329.999999999998,8772.0,1957.0,3085.0,0.6343598055105348,0.65,2. BELOW BASELINE,3319.0,5146.0,0.6449669646327244
BIDU,Computer and Technology,Internet - Services,45__1,45,1.0,1. p999999_trade_value,796000.0,796000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
BIDU,Computer and Technology,Internet - Services,45__1,45,1.0,3. p9999_trade_value,487320.0,388000.0,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
BIDU,Computer and Technology,Internet - Services,45__1,45,1.0,4. p999_trade_value,315000.0,159000.0,11.0,18.0,0.6111111111111112,0.65,2. BELOW BASELINE,14.0,21.0,0.6666666666666666
BIDU,Computer and Technology,Internet - Services,45__1,45,1.0,5. p99_trade_value,155100.0,54227.0,94.0,182.0,0.5164835164835165,0.65,2. BELOW BASELINE,108.0,203.0,0.5320197044334976
BIDU,Computer and Technology,Internet - Services,45__1,45,1.0,6. p95_trade_value,54150.0,22200.0,408.0,813.0,0.5018450184501845,0.65,2. BELOW BASELINE,516.0,1016.0,0.5078740157480315
BIDU,Computer and Technology,Internet - Services,45__1,45,1.0,7. p90_trade_value,22176.0,14762.0,503.0,1007.0,0.49950347567030784,0.65,2. BELOW BASELINE,1019.0,2023.0,0.5037073652990608
BIDU,Computer and Technology,Internet - Services,45__1,45,1.0,8. p75_trade_value,14760.0,8217.0,1568.0,3034.0,0.5168094924192486,0.65,2. BELOW BASELINE,2587.0,5057.0,0.5115681233933161
CRWV,Computer and Technology,Internet - Software,45__0,45,0.0,1. p999999_trade_value,1857440.0000000002,1857440.0000000002,0.0,1.0,0.0,0.65,1. ABOVE BASELINE,0.0,1.0,0.0
CRWV,Computer and Technology,Internet - Software,45__0,45,0.0,3. p9999_trade_value,1764100.0,889600.0,3.0,4.0,0.75,0.65,1. ABOVE BASELINE,3.0,5.0,0.6
CRWV,Computer and Technology,Internet - Software,45__0,45,0.0,4. p999_trade_value,739970.0,293760.0,22.0,42.0,0.5238095238095238,0.65,2. BELOW BASELINE,25.0,47.0,0.5319148936170213
CRWV,Computer and Technology,Internet - Software,45__0,45,0.0,5. p99_trade_value,292600.0,83420.0,193.0,416.0,0.4639423076923077,0.65,2. BELOW BASELINE,218.0,463.0,0.4708423326133909
CRWV,Computer and Technology,Internet - Software,45__0,45,0.0,6. p95_trade_value,83300.0,29100.0,858.0,1853.0,0.46303291958985426,0.65,2. BELOW BASELINE,1076.0,2316.0,0.46459412780656306
CRWV,Computer and Technology,Internet - Software,45__0,45,0.0,7. p90_trade_value,29084.999999999996,17850.0,1093.0,2317.0,0.4717306862321968,0.65,2. BELOW BASELINE,2169.0,4633.0,0.4681631772069933
CRWV,Computer and Technology,Internet - Software,45__0,45,0.0,8. p75_trade_value,17841.000000000004,9040.0,3152.0,6943.0,0.4539824283450958,0.65,2. BELOW BASELINE,5321.0,11576.0,0.45965791292328956
MDB,Computer and Technology,Internet - Software,45__3,45,3.0,1. p999999_trade_value,3981700.0,3981700.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
MDB,Computer and Technology,Internet - Software,45__3,45,3.0,3. p9999_trade_value,3978800.0,2745000.0,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
MDB,Computer and Technology,Internet - Software,45__3,45,3.0,4. p999_trade_value,2485170.0,482000.0,10.0,21.0,0.47619047619047616,0.65,2. BELOW BASELINE,13.0,24.0,0.5416666666666666
MDB,Computer and Technology,Internet - Software,45__3,45,3.0,5. p99_trade_value,460000.0,84095.0,126.0,214.0,0.5887850467289719,0.65,2. BELOW BASELINE,139.0,238.0,0.5840336134453782
MDB,Computer and Technology,Internet - Software,45__3,45,3.0,6. p95_trade_value,84000.0,31100.0,569.0,951.0,0.5983175604626709,0.65,2. BELOW BASELINE,708.0,1189.0,0.5954583683767872
MDB,Computer and Technology,Internet - Software,45__3,45,3.0,7. p90_trade_value,31083.999999999996,18952.0,663.0,1188.0,0.5580808080808081,0.65,2. BELOW BASELINE,1371.0,2377.0,0.5767774505679428
MDB,Computer and Technology,Internet - Software,45__3,45,3.0,8. p75_trade_value,18950.0,9548.0,1871.0,3566.0,0.5246775098149187,0.65,2. BELOW BASELINE,3242.0,5943.0,0.5455157327948847
RDDT,Computer and Technology,Internet - Software,45__0,45,0.0,1. p999999_trade_value,1189650.0,1189650.0,1.0,1.0,1.0,0.65,2. BELOW BASELINE,1.0,1.0,1.0
RDDT,Computer and Technology,Internet - Software,45__0,45,0.0,3. p9999_trade_value,1000000.0,827383.0,1.0,4.0,0.25,0.65,2. BELOW BASELINE,2.0,5.0,0.4
RDDT,Computer and Technology,Internet - Software,45__0,45,0.0,4. p999_trade_value,817879.9999999999,321997.0,27.0,39.0,0.6923076923076923,0.65,2. BELOW BASELINE,29.0,44.0,0.6590909090909091
RDDT,Computer and Technology,Internet - Software,45__0,45,0.0,5. p99_trade_value,311500.0,76780.0,209.0,393.0,0.5318066157760815,0.65,2. BELOW BASELINE,238.0,437.0,0.5446224256292906
