security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AMTM,Construction,Engineering - R and D Services,25__0,25,0.0,1. p999999_trade_value,390000.0,390000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
AMTM,Construction,Engineering - R and D Services,25__0,25,0.0,5. p99_trade_value,217575.0,132000.0,2.0,4.0,0.5,0.65,2. BELOW BASELINE,3.0,5.0,0.6
AMTM,Construction,Engineering - R and D Services,25__0,25,0.0,6. p95_trade_value,126000.0,52500.0,13.0,18.0,0.7222222222222222,0.65,2. BELOW BASELINE,16.0,23.0,0.6956521739130435
AMTM,Construction,Engineering - R and D Services,25__0,25,0.0,7. p90_trade_value,50250.00000000001,23400.0,8.0,23.0,0.34782608695652173,0.65,2. BELOW BASELINE,24.0,46.0,0.5217391304347826
AMTM,Construction,Engineering - R and D Services,25__0,25,0.0,8. p75_trade_value,23100.0,9840.0,39.0,67.0,0.582089552238806,0.65,2. BELOW BASELINE,63.0,113.0,0.5575221238938053
FLR,Construction,Engineering - R and D Services,25__0,25,0.0,1. p999999_trade_value,759990.0,759990.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
FLR,Construction,Engineering - R and D Services,25__0,25,0.0,5. p99_trade_value,491400.0,191400.0,5.0,5.0,1.0,0.65,1. ABOVE BASELINE,6.0,6.0,1.0
FLR,Construction,Engineering - R and D Services,25__0,25,0.0,6. p95_trade_value,177905.0,25000.0,18.0,22.0,0.8181818181818182,0.65,1. ABOVE BASELINE,24.0,28.0,0.8571428571428571
FLR,Construction,Engineering - R and D Services,25__0,25,0.0,7. p90_trade_value,24000.0,15540.0,16.0,28.0,0.5714285714285714,0.65,2. BELOW BASELINE,40.0,56.0,0.7142857142857143
FLR,Construction,Engineering - R and D Services,25__0,25,0.0,8. p75_trade_value,15500.0,8000.0,59.0,84.0,0.7023809523809523,0.65,2. BELOW BASELINE,99.0,140.0,0.7071428571428572
STRL,Construction,Engineering - R and D Services,25__0,25,0.0,1. p999999_trade_value,70250.0,70250.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
STRL,Construction,Engineering - R and D Services,25__0,25,0.0,5. p99_trade_value,70000.0,69300.0,1.0,3.0,0.3333333333333333,0.65,2. BELOW BASELINE,2.0,4.0,0.5
STRL,Construction,Engineering - R and D Services,25__0,25,0.0,6. p95_trade_value,54000.0,31800.0,5.0,8.0,0.625,0.65,2. BELOW BASELINE,7.0,12.0,0.5833333333333334
STRL,Construction,Engineering - R and D Services,25__0,25,0.0,7. p90_trade_value,26500.0,15000.0,8.0,12.0,0.6666666666666666,0.65,2. BELOW BASELINE,15.0,24.0,0.625
STRL,Construction,Engineering - R and D Services,25__0,25,0.0,8. p75_trade_value,14850.0,7800.0,27.0,36.0,0.75,0.65,2. BELOW BASELINE,42.0,60.0,0.7
