security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ASB,Finance,Banks - Midwest,0.65,13500.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0
BKU,Finance,Banks - Major Regional,0.65,3750.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0
CADE,Finance,Banks - Southeast,0.65,3750.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0
CBSH,Finance,Banks - Midwest,0.65,,,,1,0__0,0,0.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0
CPF,Finance,Banks - West,0.65,11250.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,11250.0,11250.0,11250.0,11250.0,11250.0,11250.0,11250.0
EFSC,Finance,Banks - Midwest,0.65,4500.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0
FBK,Finance,Banks - Northeast,0.65,6500.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0
FCBC,Finance,Banks - Southeast,0.65,,,,1,0__0,0,0.0,11925.0,11925.0,11925.0,11925.0,11925.0,11925.0,11925.0
FMNB,Finance,Banks - Midwest,0.65,,,,1,0__2,0,2.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0
FRME,Finance,Banks - Midwest,0.65,,,,1,0__2,0,2.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0
FVCB,Finance,Banks - Southeast,0.65,,,,1,0__2,0,2.0,6550.0,6550.0,6550.0,6550.0,6550.0,6550.0,6550.0
INBK,Finance,Banks - Northeast,0.65,,,,1,0__2,0,2.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
PB,Finance,Banks - Southwest,0.65,,,,1,0__2,0,2.0,4830.0,4830.0,4830.0,4830.0,4830.0,4830.0,4830.0
THFF,Finance,Banks - Midwest,0.65,3304.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3304.0,3304.0,3304.0,3304.0,3304.0,3304.0,3304.0
TMP,Finance,Banks - Northeast,0.65,,,,1,0__2,0,2.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
UBFO,Finance,Banks - West,0.65,,,,1,0__0,0,0.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0
UMBF,Finance,Banks - Midwest,0.65,3135.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3135.0,3135.0,3135.0,3135.0,3135.0,3135.0,3135.0
WTFC,Finance,Banks - Midwest,0.65,5850.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,5850.0,5850.0,5850.0,5850.0,5850.0,5850.0,5850.0
