security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ASB,Finance,Banks - Midwest,0__0,0,0.0,1. p999999_trade_value,13500.0,13500.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
BKU,Finance,Banks - Major Regional,0__2,0,2.0,1. p999999_trade_value,3750.0,3750.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
CADE,Finance,Banks - Southeast,0__2,0,2.0,1. p999999_trade_value,3750.0,3750.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
CBSH,Finance,Banks - Midwest,0__0,0,0.0,1. p999999_trade_value,9300.0,9300.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
CPF,Finance,Banks - West,0__0,0,0.0,1. p999999_trade_value,11250.0,11250.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
EFSC,Finance,Banks - Midwest,0__2,0,2.0,1. p999999_trade_value,4500.0,4500.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
FBK,Finance,Banks - Northeast,0__2,0,2.0,1. p999999_trade_value,6500.0,6500.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
FCBC,Finance,Banks - Southeast,0__0,0,0.0,1. p999999_trade_value,11925.0,11925.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
FMNB,Finance,Banks - Midwest,0__2,0,2.0,1. p999999_trade_value,3540.0,3540.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
FRME,Finance,Banks - Midwest,0__2,0,2.0,1. p999999_trade_value,4750.0,4750.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
FVCB,Finance,Banks - Southeast,0__2,0,2.0,1. p999999_trade_value,6550.0,6550.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
INBK,Finance,Banks - Northeast,0__2,0,2.0,1. p999999_trade_value,3600.0,3600.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
PB,Finance,Banks - Southwest,0__2,0,2.0,1. p999999_trade_value,4830.0,4830.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
THFF,Finance,Banks - Midwest,0__2,0,2.0,1. p999999_trade_value,3304.0,3304.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
TMP,Finance,Banks - Northeast,0__2,0,2.0,1. p999999_trade_value,3500.0,3500.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
UBFO,Finance,Banks - West,0__0,0,0.0,1. p999999_trade_value,8990.0,8990.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
UMBF,Finance,Banks - Midwest,0__2,0,2.0,1. p999999_trade_value,3135.0,3135.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
WTFC,Finance,Banks - Midwest,0__2,0,2.0,1. p999999_trade_value,5850.0,5850.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
