security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
PNC,Finance,Financial - Investment Bank,30__2,30,2.0,1. p999999_trade_value,161250.0,161250.0,O:PNC250117P00195000,PNC,P,195.0,2025-01-17,235,0,323,2.15,1736962523894000000,750,161250.0,2025-01-15,Multi Leg floor trade,Finance,Financial - Investment Bank,199.39,200.62,197.75,200.44,1,5.207499723307305,1,1,0,0,0
RKT,Finance,Financial - Mortgage & Related Services,30__2,30,2.0,4. p999_trade_value,182500.0,182500.0,O:RKT240913P00020000,RKT,P,20.0,2024-09-13,235,0,313,0.73,1724774397089000000,2500,182500.0,2024-08-27,Multi Leg floor trade,Finance,Financial - Mortgage & Related Services,20.75,20.79,20.145,20.35,2,5.261262868792493,1,1,1,1,0
RKT,Finance,Financial - Mortgage & Related Services,30__2,30,2.0,1. p999999_trade_value,371360.0,371360.0,O:RKT250321C00015000,RKT,C,15.0,2025-03-21,227,0,323,0.44,1741873341638000000,8440,371360.0,2025-03-13,Single Leg Auction Non ISO,Finance,Financial - Mortgage & Related Services,14.25,14.56,13.895,14.51,1,5.5697951231118425,1,1,0,0,0
SYF,Finance,Financial - Miscellaneous Services,30__1,30,1.0,8. p75_trade_value,9735.0,20200.0,O:SYF240920P00048000,SYF,P,48.0,2024-09-20,240,0,308,0.8,1725374787103000000,219,17520.0,2024-09-03,Stock Options auto-electronic trade,Finance,Financial - Miscellaneous Services,49.74,49.96,49.0,49.3,83,4.243534101832062,3,1,0,0,0
SYF,Finance,Financial - Miscellaneous Services,30__1,30,1.0,8. p75_trade_value,9735.0,20200.0,O:SYF240920P00048000,SYF,P,48.0,2024-09-20,240,0,308,0.8,1725374788738000000,161,12880.000000000002,2024-09-03,Stock Options auto-electronic trade,Finance,Financial - Miscellaneous Services,49.74,49.96,49.0,49.3,130,4.109915863023794,4,1,0,0,0
SYF,Finance,Financial - Miscellaneous Services,30__1,30,1.0,7. p90_trade_value,20480.0,38000.0,O:SYF240920P00048000,SYF,P,48.0,2024-09-20,240,0,312,0.8,1725374429475000000,374,29920.0,2024-09-03,Stock Options auto-electronic trade,Finance,Financial - Miscellaneous Services,49.74,49.96,49.0,49.3,54,4.475961589192424,2,1,0,0,0
SYF,Finance,Financial - Miscellaneous Services,30__1,30,1.0,8. p75_trade_value,9735.0,20200.0,O:SYF240920P00048000,SYF,P,48.0,2024-09-20,240,0,308,0.8,1725374788503000000,171,13680.000000000002,2024-09-03,Stock Options auto-electronic trade,Finance,Financial - Miscellaneous Services,49.74,49.96,49.0,49.3,122,4.136086097384098,4,1,0,0,0
SYF,Finance,Financial - Miscellaneous Services,30__1,30,1.0,8. p75_trade_value,9735.0,20200.0,O:SYF240920C00050000,SYF,C,50.0,2024-09-20,227,0,302,0.6,1726587524479000000,250,15000.0,2024-09-17,Single Leg Auction Non ISO,Finance,Financial - Miscellaneous Services,47.52,49.58,47.52,49.19,105,4.176091259055681,3,1,1,1,0
SYF,Finance,Financial - Miscellaneous Services,30__1,30,1.0,8. p75_trade_value,9735.0,20200.0,O:SYF240920C00050000,SYF,C,50.0,2024-09-20,227,0,302,0.6,1726587524479000000,249,14940.0,2024-09-17,Single Leg Auction Non ISO,Finance,Financial - Miscellaneous Services,47.52,49.58,47.52,49.19,106,4.17435059747938,4,1,1,1,0
SYF,Finance,Financial - Miscellaneous Services,30__1,30,1.0,8. p75_trade_value,9735.0,20200.0,O:SYF240920C00050000,SYF,C,50.0,2024-09-20,227,0,302,0.6,1726587482631000000,266,15960.0,2024-09-17,Single Leg Auction Non ISO,Finance,Financial - Miscellaneous Services,47.52,49.58,47.52,49.19,98,4.203032887014711,3,1,1,1,0
