security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
GRBK,Finance,Real Estate - Development,15__0,15,0.0,1. p999999_trade_value,24050.0,24050.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
GRBK,Finance,Real Estate - Development,15__0,15,0.0,6. p95_trade_value,23680.0,23680.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
GRBK,Finance,Real Estate - Development,15__0,15,0.0,7. p90_trade_value,21500.0,21500.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
GRBK,Finance,Real Estate - Development,15__0,15,0.0,8. p75_trade_value,20000.0,11850.0,4.0,4.0,1.0,0.65,1. ABOVE BASELINE,7.0,7.0,1.0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,1. p999999_trade_value,226000.0,226000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,6. p95_trade_value,34500.0,33000.0,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,7. p90_trade_value,23500.0,17200.0,3.0,3.0,1.0,0.65,1. ABOVE BASELINE,6.0,6.0,1.0
JLL,Finance,Real Estate - Operations,15__0,15,0.0,8. p75_trade_value,17100.0,13330.000000000002,8.0,9.0,0.8888888888888888,0.65,1. ABOVE BASELINE,14.0,15.0,0.9333333333333333
LGIH,Finance,Real Estate - Development,15__0,15,0.0,1. p999999_trade_value,49979.99999999999,49979.99999999999,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
LGIH,Finance,Real Estate - Development,15__0,15,0.0,6. p95_trade_value,48000.0,48000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
LGIH,Finance,Real Estate - Development,15__0,15,0.0,7. p90_trade_value,23840.0,23840.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,3.0,3.0,1.0
LGIH,Finance,Real Estate - Development,15__0,15,0.0,8. p75_trade_value,18000.0,11850.0,3.0,3.0,1.0,0.65,1. ABOVE BASELINE,6.0,6.0,1.0
