security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ABR,Finance,REIT and Equity Trust,25__2,25,2.0,1. p999999_trade_value,315000.0,315000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
ABR,Finance,REIT and Equity Trust,25__2,25,2.0,5. p99_trade_value,220000.0,179475.0,1.0,2.0,0.5,0.65,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
ABR,Finance,REIT and Equity Trust,25__2,25,2.0,6. p95_trade_value,164250.0,74940.0,7.0,10.0,0.7,0.65,2. BELOW BASELINE,9.0,13.0,0.6923076923076923
ABR,Finance,REIT and Equity Trust,25__2,25,2.0,7. p90_trade_value,72355.0,29976.0,5.0,13.0,0.38461538461538464,0.65,2. BELOW BASELINE,14.0,26.0,0.5384615384615384
ABR,Finance,REIT and Equity Trust,25__2,25,2.0,8. p75_trade_value,29070.0,9810.0,29.0,39.0,0.7435897435897436,0.65,2. BELOW BASELINE,43.0,65.0,0.6615384615384615
ADC,Finance,REIT and Equity Trust - Retail,5__0,5,0.0,1. p999999_trade_value,7000.0,7000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
AGNC,Finance,REIT and Equity Trust,25__0,25,0.0,1. p999999_trade_value,120000.0,120000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
AGNC,Finance,REIT and Equity Trust,25__0,25,0.0,5. p99_trade_value,110000.0,100000.0,2.0,3.0,0.6666666666666666,0.65,1. ABOVE BASELINE,3.0,4.0,0.75
AGNC,Finance,REIT and Equity Trust,25__0,25,0.0,6. p95_trade_value,90000.0,34993.0,7.0,17.0,0.4117647058823529,0.65,2. BELOW BASELINE,10.0,21.0,0.47619047619047616
AGNC,Finance,REIT and Equity Trust,25__0,25,0.0,7. p90_trade_value,30000.0,16506.0,12.0,17.0,0.7058823529411765,0.65,2. BELOW BASELINE,22.0,38.0,0.5789473684210527
AGNC,Finance,REIT and Equity Trust,25__0,25,0.0,8. p75_trade_value,16303.0,8442.0,30.0,57.0,0.5263157894736842,0.65,2. BELOW BASELINE,52.0,95.0,0.5473684210526316
AHR,Finance,REIT and Equity Trust - Other,5__0,5,0.0,1. p999999_trade_value,10625.0,10625.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
AHT,Finance,REIT and Equity Trust - Other,0__2,0,2.0,1. p999999_trade_value,3700.0,3700.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
AKR,Finance,REIT and Equity Trust - Retail,0__2,0,2.0,1. p999999_trade_value,5824.0,5824.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
ALEX,Finance,REIT and Equity Trust - Other,0__0,0,0.0,1. p999999_trade_value,9280.000000000002,9280.000000000002,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
AMH,Finance,REIT and Equity Trust - Residential,0__2,0,2.0,1. p999999_trade_value,3680.0000000000005,3680.0000000000005,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
AMT,Finance,REIT and Equity Trust - Other,30__1,30,1.0,1. p999999_trade_value,621900.0,621900.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
AMT,Finance,REIT and Equity Trust - Other,30__1,30,1.0,5. p99_trade_value,345000.0,149760.0,1.0,5.0,0.2,0.65,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
AMT,Finance,REIT and Equity Trust - Other,30__1,30,1.0,6. p95_trade_value,115000.0,55315.00000000001,9.0,23.0,0.391304347826087,0.65,2. BELOW BASELINE,10.0,29.0,0.3448275862068966
AMT,Finance,REIT and Equity Trust - Other,30__1,30,1.0,7. p90_trade_value,54390.0,26250.0,10.0,29.0,0.3448275862068966,0.65,2. BELOW BASELINE,20.0,58.0,0.3448275862068966
AMT,Finance,REIT and Equity Trust - Other,30__1,30,1.0,8. p75_trade_value,26208.000000000004,10142.0,52.0,87.0,0.5977011494252874,0.65,2. BELOW BASELINE,72.0,145.0,0.496551724137931
ARE,Finance,REIT and Equity Trust - Other,20__0,20,0.0,1. p999999_trade_value,95250.0,95250.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
ARE,Finance,REIT and Equity Trust - Other,20__0,20,0.0,5. p99_trade_value,90000.0,90000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
ARE,Finance,REIT and Equity Trust - Other,20__0,20,0.0,6. p95_trade_value,61250.0,39615.0,3.0,4.0,0.75,0.65,2. BELOW BASELINE,4.0,6.0,0.6666666666666666
ARE,Finance,REIT and Equity Trust - Other,20__0,20,0.0,7. p90_trade_value,39600.0,17220.0,3.0,5.0,0.6,0.65,2. BELOW BASELINE,7.0,11.0,0.6363636363636364
ARE,Finance,REIT and Equity Trust - Other,20__0,20,0.0,8. p75_trade_value,15300.0,8549.999999999998,10.0,16.0,0.625,0.65,2. BELOW BASELINE,17.0,27.0,0.6296296296296297
ARR,Finance,REIT and Equity Trust,15__0,15,0.0,1. p999999_trade_value,29939.999999999996,29939.999999999996,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
ARR,Finance,REIT and Equity Trust,15__0,15,0.0,6. p95_trade_value,25000.0,25000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
ARR,Finance,REIT and Equity Trust,15__0,15,0.0,7. p90_trade_value,18148.0,16379.999999999998,2.0,2.0,1.0,0.65,1. ABOVE BASELINE,4.0,4.0,1.0
ARR,Finance,REIT and Equity Trust,15__0,15,0.0,8. p75_trade_value,15950.0,9200.0,2.0,5.0,0.4,0.65,2. BELOW BASELINE,6.0,9.0,0.6666666666666666
AVB,Finance,REIT and Equity Trust - Residential,10__0,10,0.0,1. p999999_trade_value,14100.0,14100.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
AVB,Finance,REIT and Equity Trust - Residential,10__0,10,0.0,7. p90_trade_value,13200.0,13200.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
AVB,Finance,REIT and Equity Trust - Residential,10__0,10,0.0,8. p75_trade_value,10620.0,9975.0,2.0,3.0,0.6666666666666666,0.65,2. BELOW BASELINE,3.0,5.0,0.6
BIP,Finance,REIT and Equity Trust - Other,5__0,5,0.0,1. p999999_trade_value,8910.0,8910.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
BXMT,Finance,REIT and Equity Trust,15__0,15,0.0,1. p999999_trade_value,20127.0,20127.0,0.0,2.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
BXMT,Finance,REIT and Equity Trust,15__0,15,0.0,7. p90_trade_value,15000.0,12475.0,1.0,2.0,0.5,0.65,2. BELOW BASELINE,1.0,4.0,0.25
BXMT,Finance,REIT and Equity Trust,15__0,15,0.0,8. p75_trade_value,10890.0,7245.0,3.0,4.0,0.75,0.65,2. BELOW BASELINE,4.0,8.0,0.5
BXP,Finance,REIT and Equity Trust - Other,20__0,20,0.0,1. p999999_trade_value,154225.0,154225.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
BXP,Finance,REIT and Equity Trust - Other,20__0,20,0.0,5. p99_trade_value,80724.00000000001,80724.00000000001,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,2.0,2.0,1.0
BXP,Finance,REIT and Equity Trust - Other,20__0,20,0.0,6. p95_trade_value,50000.0,20670.0,4.0,5.0,0.8,0.65,1. ABOVE BASELINE,6.0,7.0,0.8571428571428571
BXP,Finance,REIT and Equity Trust - Other,20__0,20,0.0,7. p90_trade_value,19690.0,15369.999999999998,4.0,6.0,0.6666666666666666,0.65,1. ABOVE BASELINE,10.0,13.0,0.7692307692307693
BXP,Finance,REIT and Equity Trust - Other,20__0,20,0.0,8. p75_trade_value,13250.0,7285.000000000001,15.0,18.0,0.8333333333333334,0.65,1. ABOVE BASELINE,25.0,31.0,0.8064516129032258
CCI,Finance,REIT and Equity Trust - Other,25__0,25,0.0,1. p999999_trade_value,340000.0,340000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
CCI,Finance,REIT and Equity Trust - Other,25__0,25,0.0,5. p99_trade_value,165000.0,37440.0,0.0,3.0,0.0,0.65,2. BELOW BASELINE,1.0,4.0,0.25
CCI,Finance,REIT and Equity Trust - Other,25__0,25,0.0,6. p95_trade_value,36278.0,19800.0,6.0,16.0,0.375,0.65,2. BELOW BASELINE,7.0,20.0,0.35
CCI,Finance,REIT and Equity Trust - Other,25__0,25,0.0,7. p90_trade_value,19740.0,15179.999999999998,3.0,19.0,0.15789473684210525,0.65,2. BELOW BASELINE,10.0,39.0,0.2564102564102564
CCI,Finance,REIT and Equity Trust - Other,25__0,25,0.0,8. p75_trade_value,15141.0,7936.0,16.0,59.0,0.2711864406779661,0.65,2. BELOW BASELINE,26.0,98.0,0.2653061224489796
CHCT,Finance,REIT and Equity Trust - Other,10__0,10,0.0,1. p999999_trade_value,9000.0,9000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
CHCT,Finance,REIT and Equity Trust - Other,10__0,10,0.0,8. p75_trade_value,8000.0,8000.0,1.0,1.0,1.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
CIM,Finance,REIT and Equity Trust,15__0,15,0.0,1. p999999_trade_value,34000.0,34000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
CIM,Finance,REIT and Equity Trust,15__0,15,0.0,7. p90_trade_value,33000.0,33000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
CIM,Finance,REIT and Equity Trust,15__0,15,0.0,8. p75_trade_value,24000.0,14325.0,2.0,3.0,0.6666666666666666,0.65,2. BELOW BASELINE,2.0,5.0,0.4
