security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ENOV,Medical,Medical Info Systems,15__0,15,0.0,1. p999999_trade_value,86249.99999999999,86249.99999999999,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
ENOV,Medical,Medical Info Systems,15__0,15,0.0,6. p95_trade_value,65000.0,65000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
ENOV,Medical,Medical Info Systems,15__0,15,0.0,7. p90_trade_value,28000.0,28000.0,1.0,1.0,1.0,0.65,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
ENOV,Medical,Medical Info Systems,15__0,15,0.0,8. p75_trade_value,16235.999999999998,6800.0,3.0,3.0,1.0,0.65,2. BELOW BASELINE,4.0,6.0,0.6666666666666666
OMCL,Medical,Medical Info Systems,15__0,15,0.0,1. p999999_trade_value,38440.0,38440.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
OMCL,Medical,Medical Info Systems,15__0,15,0.0,6. p95_trade_value,10450.0,10450.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
OMCL,Medical,Medical Info Systems,15__0,15,0.0,7. p90_trade_value,9204.0,9204.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,3.0,0.0
OMCL,Medical,Medical Info Systems,15__0,15,0.0,8. p75_trade_value,9152.000000000002,4650.0,1.0,5.0,0.2,0.65,2. BELOW BASELINE,1.0,8.0,0.125
PRVA,Medical,Medical Info Systems,15__0,15,0.0,1. p999999_trade_value,50000.0,50000.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
PRVA,Medical,Medical Info Systems,15__0,15,0.0,7. p90_trade_value,15750.0,15750.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
PRVA,Medical,Medical Info Systems,15__0,15,0.0,8. p75_trade_value,10625.0,6085.0,0.0,3.0,0.0,0.65,2. BELOW BASELINE,1.0,5.0,0.2
TXG,Medical,Medical Info Systems,15__0,15,0.0,1. p999999_trade_value,41510.0,41510.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
TXG,Medical,Medical Info Systems,15__0,15,0.0,7. p90_trade_value,16740.0,16740.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,2.0,0.0
TXG,Medical,Medical Info Systems,15__0,15,0.0,8. p75_trade_value,16000.0,14879.999999999998,1.0,3.0,0.3333333333333333,0.65,2. BELOW BASELINE,1.0,5.0,0.2
