security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
A,Medical,Medical - Products,30__1,30,1.0,1. p999999_trade_value,357903.0,357903.0,O:A250620P00110000,A,P,110.0,2025-06-20,235,0,300,3.99,1748448329940000000,897,357903.0,2025-05-28,Multi Leg floor trade,Medical,Medical - Products,110.83,111.58,110.14,110.88,1,5.55376533873084,1,1,0,0,0
ABBV,Medical,Large Cap Pharmaceuticals,40__0,40,0.0,5. p99_trade_value,72000.0,288000.0,O:ABBV240920C00195000,ABBV,C,195.0,2024-09-20,235,0,300,1.73,1726257443040000000,750,129750.0,2024-09-13,Multi Leg floor trade,Medical,Large Cap Pharmaceuticals,193.86,194.59,191.81,194.21,40,5.113107366520495,1,1,0,0,0
ABBV,Medical,Large Cap Pharmaceuticals,40__0,40,0.0,5. p99_trade_value,72000.0,288000.0,O:ABBV241018C00195000,ABBV,C,195.0,2024-10-18,227,0,308,2.79,1726860548744000000,686,191394.0,2024-09-20,Single Leg Auction Non ISO,Medical,Large Cap Pharmaceuticals,193.0,193.821,192.13,193.47,21,5.281928318980349,1,1,0,0,0
ABBV,Medical,Large Cap Pharmaceuticals,40__0,40,0.0,5. p99_trade_value,72000.0,288000.0,O:ABBV241018C00195000,ABBV,C,195.0,2024-10-18,231,0,313,2.87,1727116884128000000,802,230174.00000000003,2024-09-23,Single Leg Floor Trade,Medical,Large Cap Pharmaceuticals,193.7,194.3,192.2,193.83,17,5.362056265018156,1,1,0,0,0
ABBV,Medical,Large Cap Pharmaceuticals,40__0,40,0.0,5. p99_trade_value,72000.0,288000.0,O:ABBV241018P00190000,ABBV,P,190.0,2024-10-18,231,0,313,2.7,1727100647802000000,772,208440.0,2024-09-23,Single Leg Floor Trade,Medical,Large Cap Pharmaceuticals,193.7,194.3,192.2,193.83,19,5.318981064494723,1,1,1,1,0
ABBV,Medical,Large Cap Pharmaceuticals,40__0,40,0.0,5. p99_trade_value,72000.0,288000.0,O:ABBV241018C00207500,ABBV,C,207.5,2024-10-18,231,0,301,0.15,1727378291433000000,5018,75270.0,2024-09-26,Single Leg Floor Trade,Medical,Large Cap Pharmaceuticals,190.1,192.87,189.615,191.9,65,4.8766219160342725,1,0,0,0,1
ABBV,Medical,Large Cap Pharmaceuticals,40__0,40,0.0,5. p99_trade_value,72000.0,288000.0,O:ABBV241025P00185000,ABBV,P,185.0,2024-10-25,242,0,300,1.11,1728052595185000000,1500,166500.00000000003,2024-10-04,Stock Options floor trade,Medical,Large Cap Pharmaceuticals,195.1,195.64,193.045,194.29,28,5.221414237842339,1,0,0,0,1
ABBV,Medical,Large Cap Pharmaceuticals,40__0,40,0.0,5. p99_trade_value,72000.0,288000.0,O:ABBV241025P00185000,ABBV,P,185.0,2024-10-25,229,0,300,1.07,1728319556349000000,1500,160500.0,2024-10-07,Single Leg Cross Non ISO,Medical,Large Cap Pharmaceuticals,194.415,195.0918,192.835,193.61,30,5.205475036740891,1,0,0,0,1
ABBV,Medical,Large Cap Pharmaceuticals,40__0,40,0.0,4. p999_trade_value,330762.5,1241999.9999999998,O:ABBV241115C00190000,ABBV,C,190.0,2024-11-15,227,0,308,5.875,1729280999408000000,563,330762.5,2024-10-18,Single Leg Auction Non ISO,Medical,Large Cap Pharmaceuticals,188.97,189.69,188.164,188.86,8,5.5195162657951204,1,1,0,0,0
ABBV,Medical,Large Cap Pharmaceuticals,40__0,40,0.0,5. p99_trade_value,72000.0,288000.0,O:ABBV241115C00195000,ABBV,C,195.0,2024-11-15,242,0,300,3.45,1730213292342000000,396,136620.0,2024-10-29,Stock Options floor trade,Medical,Large Cap Pharmaceuticals,190.49,191.16,188.515,189.45,38,5.135514280998787,1,1,0,0,0
