security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ACVA,Retail-Wholesale,Internet - Commerce,20__0,20,0.0,1. p999999_trade_value,123400.0,123400.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
ACVA,Retail-Wholesale,Internet - Commerce,20__0,20,0.0,6. p95_trade_value,90015.0,42000.0,0.0,2.0,0.0,0.65,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
ACVA,Retail-Wholesale,Internet - Commerce,20__0,20,0.0,7. p90_trade_value,9825.0,8325.0,0.0,3.0,0.0,0.65,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
ACVA,Retail-Wholesale,Internet - Commerce,20__0,20,0.0,8. p75_trade_value,8245.0,6225.0,1.0,9.0,0.1111111111111111,0.65,2. BELOW BASELINE,2.0,15.0,0.13333333333333333
BABA,Retail-Wholesale,Internet - Commerce,50__4,50,4.0,1. p999999_trade_value,2130000.0,2130000.0,0.0,1.0,0.0,0.65,2. BELOW BASELINE,0.0,1.0,0.0
BABA,Retail-Wholesale,Internet - Commerce,50__4,50,4.0,2. p99999_trade_value,1593000.0,1593000.0,1.0,1.0,1.0,0.65,2. BELOW BASELINE,1.0,2.0,0.5
BABA,Retail-Wholesale,Internet - Commerce,50__4,50,4.0,3. p9999_trade_value,1545000.0000000002,1071360.0,6.0,12.0,0.5,0.65,2. BELOW BASELINE,7.0,14.0,0.5
BABA,Retail-Wholesale,Internet - Commerce,50__4,50,4.0,4. p999_trade_value,1038500.0,343200.0,72.0,123.0,0.5853658536585366,0.65,2. BELOW BASELINE,79.0,137.0,0.5766423357664233
BABA,Retail-Wholesale,Internet - Commerce,50__4,50,4.0,5. p99_trade_value,339000.0,85656.0,727.0,1233.0,0.5896188158961881,0.65,2. BELOW BASELINE,806.0,1370.0,0.5883211678832116
BABA,Retail-Wholesale,Internet - Commerce,50__4,50,4.0,6. p95_trade_value,85648.0,30744.0,2965.0,5478.0,0.5412559328221979,0.65,2. BELOW BASELINE,3771.0,6848.0,0.5506717289719626
BABA,Retail-Wholesale,Internet - Commerce,50__4,50,4.0,7. p90_trade_value,30739.999999999996,19536.0,3587.0,6856.0,0.523191365227538,0.65,2. BELOW BASELINE,7358.0,13704.0,0.5369235259778167
BABA,Retail-Wholesale,Internet - Commerce,50__4,50,4.0,8. p75_trade_value,19530.0,9962.0,10337.0,20543.0,0.5031884340164533,0.65,2. BELOW BASELINE,17695.0,34247.0,0.5166875930738459
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,1. p999999_trade_value,1060200.0,1060200.0,1.0,1.0,1.0,0.65,1. ABOVE BASELINE,1.0,1.0,1.0
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,3. p9999_trade_value,771000.0,756340.0,2.0,3.0,0.6666666666666666,0.65,1. ABOVE BASELINE,3.0,4.0,0.75
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,4. p999_trade_value,720000.0,207200.0,19.0,31.0,0.6129032258064516,0.65,2. BELOW BASELINE,22.0,35.0,0.6285714285714286
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,5. p99_trade_value,202600.0,78680.0,141.0,315.0,0.44761904761904764,0.65,2. BELOW BASELINE,163.0,350.0,0.4657142857142857
BKNG,Retail-Wholesale,Internet - Commerce,45__0,45,0.0,6. p95_trade_value,78631.0,29680.0,648.0,1399.0,0.4631879914224446,0.65,2. BELOW BASELINE,811.0,1749.0,0.46369353916523726
