security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AER,Transportation,Transportation - Equipment and Leasing,0.65,32130.0,6. p95_trade_value,12.0,238,25__0,25,0.0,14858.6,31913.25,210399.06,302557.5,313755.75,314875.58,314987.56
CHRW,Transportation,Transportation - Services,0.65,229860.0,5. p99_trade_value,3.0,267,25__2,25,2.0,22491.0,35418.0,197586.0,670720.0,809572.0,823457.2,824845.72
CP,Transportation,Transportation - Rail,0.65,,,,317,25__0,25,0.0,12214.0,33940.8,135082.56,586727.3,647610.23,653698.52,654307.35
CSX,Transportation,Transportation - Rail,0.65,,,,231,25__0,25,0.0,19600.0,60637.5,98548.8,346350.0,399135.0,404413.5,404941.35
FRO,Transportation,Transportation - Shipping,0.65,,,,272,25__0,25,0.0,18615.0,38871.2,180162.6,210000.0,210000.0,210000.0,210000.0
GXO,Transportation,Transportation - Air Freight and Cargo,0.65,,,,180,25__0,25,0.0,12219.0,19949.0,171088.85,180369.62,181386.96,181488.7,181498.87
JBHT,Transportation,Transportation - Truck,0.65,175560.0,5. p99_trade_value,4.0,311,25__2,25,2.0,21315.0,71910.0,174654.0,501300.0,576630.0,584163.0,584916.3
KNX,Transportation,Transportation - Truck,0.65,,,,297,25__2,25,2.0,29688.0,72143.2,170298.4,311915.88,328191.59,329819.16,329981.92
NSC,Transportation,Transportation - Rail,0.65,363599.99999999994,1. p999999_trade_value,1.0,267,25__0,25,0.0,19228.0,38955.0,173622.4,341362.4,361376.24,363377.62,363577.76
ODFL,Transportation,Transportation - Truck,0.65,400000.0,1. p999999_trade_value,1.0,496,25__0,25,0.0,17490.0,29277.5,93775.0,317830.0,391783.0,399178.3,399917.83
STNG,Transportation,Transportation - Shipping,0.65,107084.99999999999,1. p999999_trade_value,1.0,417,25__0,25,0.0,17520.0,23650.0,48813.76,95817.64,105958.26,106972.33,107073.73
