security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AGYS,Computer and Technology,Computer - Integrated Systems,10__0,10,0.0,1. p999999_trade_value,32200.0,32200.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
AGYS,Computer and Technology,Computer - Integrated Systems,10__0,10,0.0,7. p90_trade_value,12400.0,12400.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,2.0,0.0
AGYS,Computer and Technology,Computer - Integrated Systems,10__0,10,0.0,8. p75_trade_value,5600.0,4900.0,1.0,2.0,0.5,0.75,2. BELOW BASELINE,1.0,4.0,0.25
BLKB,Computer and Technology,Computer - Software,10__0,10,0.0,1. p999999_trade_value,7600.0,7600.0,2.0,2.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
FARO,Computer and Technology,Computer - Integrated Systems,10__0,10,0.0,1. p999999_trade_value,20000.0,20000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
FARO,Computer and Technology,Computer - Integrated Systems,10__0,10,0.0,8. p75_trade_value,10000.0,10000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
IMMR,Computer and Technology,Computer - Peripheral Equipment,10__0,10,0.0,1. p999999_trade_value,13500.0,13500.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
IMMR,Computer and Technology,Computer - Peripheral Equipment,10__0,10,0.0,8. p75_trade_value,8505.0,7350.0,1.0,2.0,0.5,0.75,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
MITK,Computer and Technology,Computer - Optical Imaging,10__0,10,0.0,1. p999999_trade_value,14954.999999999998,14954.999999999998,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
MITK,Computer and Technology,Computer - Optical Imaging,10__0,10,0.0,8. p75_trade_value,7409.999999999999,7139.999999999999,0.0,2.0,0.0,0.75,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
OPRX,Computer and Technology,Computer - Software,10__0,10,0.0,1. p999999_trade_value,7960.000000000001,7960.000000000001,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
OPRX,Computer and Technology,Computer - Software,10__0,10,0.0,8. p75_trade_value,7240.000000000001,7240.000000000001,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
OTEX,Computer and Technology,Computer - Software,10__0,10,0.0,1. p999999_trade_value,22610.0,22610.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
OTEX,Computer and Technology,Computer - Software,10__0,10,0.0,8. p75_trade_value,22039.999999999996,7560.000000000001,1.0,2.0,0.5,0.75,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
QMCO,Computer and Technology,Computer- Storage Devices,10__0,10,0.0,1. p999999_trade_value,32000.0,32000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
QMCO,Computer and Technology,Computer- Storage Devices,10__0,10,0.0,7. p90_trade_value,16800.0,16800.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,2.0,0.0
QMCO,Computer and Technology,Computer- Storage Devices,10__0,10,0.0,8. p75_trade_value,12600.0,9200.0,0.0,2.0,0.0,0.75,2. BELOW BASELINE,0.0,4.0,0.0
SLP,Computer and Technology,Computer - Software,10__0,10,0.0,1. p999999_trade_value,29000.0,29000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
SLP,Computer and Technology,Computer - Software,10__0,10,0.0,7. p90_trade_value,12000.0,12000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
SLP,Computer and Technology,Computer - Software,10__0,10,0.0,8. p75_trade_value,11160.0,8250.0,2.0,2.0,1.0,0.75,2. BELOW BASELINE,3.0,4.0,0.75
