security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
EA,Consumer Discretionary,Gaming,35__2,35,2.0,1. p999999_trade_value,1072500.0,1072500.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
EA,Consumer Discretionary,Gaming,35__2,35,2.0,4. p999_trade_value,825000.0,580000.0,2.0,2.0,1.0,0.75,1. ABOVE BASELINE,3.0,3.0,1.0
EA,Consumer Discretionary,Gaming,35__2,35,2.0,5. p99_trade_value,450000.0,142500.0,8.0,19.0,0.42105263157894735,0.75,2. BELOW BASELINE,11.0,22.0,0.5
EA,Consumer Discretionary,Gaming,35__2,35,2.0,6. p95_trade_value,140000.0,32000.0,42.0,86.0,0.4883720930232558,0.75,2. BELOW BASELINE,53.0,108.0,0.49074074074074076
EA,Consumer Discretionary,Gaming,35__2,35,2.0,7. p90_trade_value,31500.0,16896.0,62.0,108.0,0.5740740740740741,0.75,2. BELOW BASELINE,115.0,216.0,0.5324074074074074
EA,Consumer Discretionary,Gaming,35__2,35,2.0,8. p75_trade_value,16872.000000000004,8200.0,196.0,323.0,0.6068111455108359,0.75,2. BELOW BASELINE,311.0,539.0,0.5769944341372912
FLUT,Consumer Discretionary,Gaming,35__0,35,0.0,1. p999999_trade_value,452159.99999999994,452159.99999999994,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
FLUT,Consumer Discretionary,Gaming,35__0,35,0.0,4. p999_trade_value,426000.0,349199.99999999994,1.0,2.0,0.5,0.75,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
FLUT,Consumer Discretionary,Gaming,35__0,35,0.0,5. p99_trade_value,317475.00000000006,79750.0,9.0,19.0,0.47368421052631576,0.75,2. BELOW BASELINE,10.0,22.0,0.45454545454545453
FLUT,Consumer Discretionary,Gaming,35__0,35,0.0,6. p95_trade_value,78970.0,25272.000000000004,57.0,84.0,0.6785714285714286,0.75,2. BELOW BASELINE,67.0,106.0,0.6320754716981132
FLUT,Consumer Discretionary,Gaming,35__0,35,0.0,7. p90_trade_value,24610.0,14039.999999999998,71.0,105.0,0.6761904761904762,0.75,2. BELOW BASELINE,138.0,211.0,0.6540284360189573
FLUT,Consumer Discretionary,Gaming,35__0,35,0.0,8. p75_trade_value,13800.0,7019.999999999999,167.0,315.0,0.5301587301587302,0.75,2. BELOW BASELINE,305.0,526.0,0.5798479087452472
LVS,Consumer Discretionary,Gaming,35__0,35,0.0,1. p999999_trade_value,604800.0,604800.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
LVS,Consumer Discretionary,Gaming,35__0,35,0.0,4. p999_trade_value,349180.0,342500.00000000006,0.0,3.0,0.0,0.75,2. BELOW BASELINE,1.0,4.0,0.25
LVS,Consumer Discretionary,Gaming,35__0,35,0.0,5. p99_trade_value,307320.0,136332.0,12.0,19.0,0.631578947368421,0.75,2. BELOW BASELINE,13.0,23.0,0.5652173913043478
LVS,Consumer Discretionary,Gaming,35__0,35,0.0,6. p95_trade_value,122000.0,24900.0,37.0,89.0,0.4157303370786517,0.75,2. BELOW BASELINE,50.0,112.0,0.44642857142857145
LVS,Consumer Discretionary,Gaming,35__0,35,0.0,7. p90_trade_value,24896.0,15600.0,48.0,112.0,0.42857142857142855,0.75,2. BELOW BASELINE,98.0,224.0,0.4375
LVS,Consumer Discretionary,Gaming,35__0,35,0.0,8. p75_trade_value,15560.999999999998,8370.0,193.0,335.0,0.5761194029850746,0.75,2. BELOW BASELINE,291.0,559.0,0.5205724508050089
TTWO,Consumer Discretionary,Gaming,35__0,35,0.0,1. p999999_trade_value,590409.0,590409.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
TTWO,Consumer Discretionary,Gaming,35__0,35,0.0,4. p999_trade_value,466200.0,315000.0,2.0,3.0,0.6666666666666666,0.75,2. BELOW BASELINE,3.0,4.0,0.75
TTWO,Consumer Discretionary,Gaming,35__0,35,0.0,5. p99_trade_value,284830.0,110000.0,15.0,35.0,0.42857142857142855,0.75,2. BELOW BASELINE,18.0,39.0,0.46153846153846156
TTWO,Consumer Discretionary,Gaming,35__0,35,0.0,6. p95_trade_value,108290.00000000001,25080.0,96.0,150.0,0.64,0.75,2. BELOW BASELINE,114.0,189.0,0.6031746031746031
TTWO,Consumer Discretionary,Gaming,35__0,35,0.0,7. p90_trade_value,25050.0,15300.0,101.0,188.0,0.5372340425531915,0.75,2. BELOW BASELINE,215.0,377.0,0.5702917771883289
TTWO,Consumer Discretionary,Gaming,35__0,35,0.0,8. p75_trade_value,15250.0,8400.0,328.0,565.0,0.5805309734513274,0.75,2. BELOW BASELINE,543.0,942.0,0.5764331210191083
WYNN,Consumer Discretionary,Gaming,35__2,35,2.0,1. p999999_trade_value,1000000.0,1000000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
WYNN,Consumer Discretionary,Gaming,35__2,35,2.0,4. p999_trade_value,735000.0,334000.0,3.0,4.0,0.75,0.75,2. BELOW BASELINE,3.0,5.0,0.6
WYNN,Consumer Discretionary,Gaming,35__2,35,2.0,5. p99_trade_value,316000.0,87750.0,22.0,36.0,0.6111111111111112,0.75,2. BELOW BASELINE,25.0,41.0,0.6097560975609756
WYNN,Consumer Discretionary,Gaming,35__2,35,2.0,6. p95_trade_value,86500.0,29000.0,116.0,166.0,0.6987951807228916,0.75,2. BELOW BASELINE,141.0,207.0,0.6811594202898551
WYNN,Consumer Discretionary,Gaming,35__2,35,2.0,7. p90_trade_value,28800.0,17400.0,112.0,200.0,0.56,0.75,2. BELOW BASELINE,253.0,407.0,0.6216216216216216
WYNN,Consumer Discretionary,Gaming,35__2,35,2.0,8. p75_trade_value,17381.0,8742.0,287.0,611.0,0.469721767594108,0.75,2. BELOW BASELINE,540.0,1018.0,0.5304518664047151
