security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ACNT,Industrial Products,Manufacturing - General Industrial ,0__2,0,2.0,1. p999999_trade_value,6500.0,6500.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
AGCO,Industrial Products,Manufacturing - Farm Equipment,15__0,15,0.0,1. p999999_trade_value,58800.0,58800.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
AGCO,Industrial Products,Manufacturing - Farm Equipment,15__0,15,0.0,6. p95_trade_value,30660.000000000004,30660.000000000004,0.0,1.0,0.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
AGCO,Industrial Products,Manufacturing - Farm Equipment,15__0,15,0.0,7. p90_trade_value,27000.0,27000.0,1.0,1.0,1.0,0.75,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
AGCO,Industrial Products,Manufacturing - Farm Equipment,15__0,15,0.0,8. p75_trade_value,10500.0,7350.0,3.0,5.0,0.6,0.75,2. BELOW BASELINE,5.0,8.0,0.625
AIT,Industrial Products,Manufacturing - General Industrial ,20__0,20,0.0,1. p999999_trade_value,24100.0,24100.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
AIT,Industrial Products,Manufacturing - General Industrial ,20__0,20,0.0,6. p95_trade_value,20000.0,13500.0,0.0,2.0,0.0,0.75,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
AIT,Industrial Products,Manufacturing - General Industrial ,20__0,20,0.0,7. p90_trade_value,13050.0,12600.0,0.0,3.0,0.0,0.75,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
AIT,Industrial Products,Manufacturing - General Industrial ,20__0,20,0.0,8. p75_trade_value,12240.0,6519.999999999999,1.0,9.0,0.1111111111111111,0.75,2. BELOW BASELINE,2.0,15.0,0.13333333333333333
ALTG,Industrial Products,Manufacturing - General Industrial ,5__0,5,0.0,1. p999999_trade_value,10325.0,10325.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
AOS,Industrial Products,Manufacturing - Electronics,20__2,20,2.0,1. p999999_trade_value,233890.0,233890.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
AOS,Industrial Products,Manufacturing - Electronics,20__2,20,2.0,6. p95_trade_value,203500.0,143550.0,3.0,3.0,1.0,0.75,1. ABOVE BASELINE,4.0,4.0,1.0
AOS,Industrial Products,Manufacturing - Electronics,20__2,20,2.0,7. p90_trade_value,121210.00000000001,26055.0,1.0,3.0,0.3333333333333333,0.75,2. BELOW BASELINE,5.0,7.0,0.7142857142857143
AOS,Industrial Products,Manufacturing - Electronics,20__2,20,2.0,8. p75_trade_value,15400.0,6400.0,6.0,10.0,0.6,0.75,2. BELOW BASELINE,11.0,17.0,0.6470588235294118
AZZ,Industrial Products,Manufacturing - Electronics,15__0,15,0.0,1. p999999_trade_value,12870.000000000002,12870.000000000002,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
AZZ,Industrial Products,Manufacturing - Electronics,15__0,15,0.0,6. p95_trade_value,10000.0,10000.0,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
AZZ,Industrial Products,Manufacturing - Electronics,15__0,15,0.0,7. p90_trade_value,8613.0,8000.0,1.0,3.0,0.3333333333333333,0.75,2. BELOW BASELINE,2.0,5.0,0.4
AZZ,Industrial Products,Manufacturing - Electronics,15__0,15,0.0,8. p75_trade_value,7770.0,7500.0,5.0,5.0,1.0,0.75,2. BELOW BASELINE,7.0,10.0,0.7
CAT,Industrial Products,Manufacturing - Construction and Mining,40__3,40,3.0,1. p999999_trade_value,1600000.0,1600000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
CAT,Industrial Products,Manufacturing - Construction and Mining,40__3,40,3.0,3. p9999_trade_value,1337500.0,1337500.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
CAT,Industrial Products,Manufacturing - Construction and Mining,40__3,40,3.0,4. p999_trade_value,815570.0,370500.00000000006,4.0,9.0,0.4444444444444444,0.75,2. BELOW BASELINE,6.0,11.0,0.5454545454545454
CAT,Industrial Products,Manufacturing - Construction and Mining,40__3,40,3.0,5. p99_trade_value,340000.00000000006,66000.0,50.0,96.0,0.5208333333333334,0.75,2. BELOW BASELINE,56.0,107.0,0.5233644859813084
CAT,Industrial Products,Manufacturing - Construction and Mining,40__3,40,3.0,6. p95_trade_value,65675.0,23850.0,241.0,426.0,0.5657276995305164,0.75,2. BELOW BASELINE,297.0,533.0,0.5572232645403377
CAT,Industrial Products,Manufacturing - Construction and Mining,40__3,40,3.0,7. p90_trade_value,23760.0,14900.0,298.0,535.0,0.5570093457943925,0.75,2. BELOW BASELINE,595.0,1068.0,0.5571161048689138
CAT,Industrial Products,Manufacturing - Construction and Mining,40__3,40,3.0,8. p75_trade_value,14880.000000000002,8250.0,840.0,1600.0,0.525,0.75,2. BELOW BASELINE,1435.0,2668.0,0.537856071964018
CMCO,Industrial Products,Manufacturing - Material Handling,0__2,0,2.0,1. p999999_trade_value,5360.0,5360.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
CNH,Industrial Products,Manufacturing - Farm Equipment,10__0,10,0.0,1. p999999_trade_value,26400.0,26400.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
CNH,Industrial Products,Manufacturing - Farm Equipment,10__0,10,0.0,8. p75_trade_value,4830.0,4830.0,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
CNM,Industrial Products,Manufacturing - Tools & Related Products,25__2,25,2.0,1. p999999_trade_value,573750.0,573750.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
CNM,Industrial Products,Manufacturing - Tools & Related Products,25__2,25,2.0,5. p99_trade_value,282348.0,233470.00000000003,2.0,3.0,0.6666666666666666,0.75,2. BELOW BASELINE,2.0,4.0,0.5
CNM,Industrial Products,Manufacturing - Tools & Related Products,25__2,25,2.0,6. p95_trade_value,193936.0,87500.0,7.0,15.0,0.4666666666666667,0.75,2. BELOW BASELINE,9.0,19.0,0.47368421052631576
