security,option_ticker,trade_date,option_type,expiration,option_condition_name,option_strike_price,option_size,security_iqr_size,n_range,security_n_size,option_price,option_trade_value,option_trade_value_bin,security_iqr_trade_value,security_n_trade_value,stock_min_date,stock_max_date,highest_price_in_period,lowest_price_in_period,expiration_high,expiration_low,expiration_close,itm_otm_category
ASB,O:ASB250516C00022500,2025-04-24,C,2025-05-16,Automatic Execution,22.5,180,180.0,0.985,180.0,0.75,13500.0,1,13500.0,13500.0,2025-04-25,2025-05-16,24.78,21.615,24.385,24.03,24.28,1C. Option Close ITM
AX,O:AX240920P00062500,2024-08-23,P,2024-09-20,Multi Leg auto-electronic trade,62.5,103,206.5,0.985,140.5,0.8,8240.0,9,13212.5,22025.0,2024-08-26,2024-09-20,70.39,60.16,67.87,66.19,66.22,3P. Option Temp ITM
AX,O:AX240920P00065000,2024-08-28,P,2024-09-20,Automatic Execution,65.0,103,206.5,0.985,140.5,1.25,12875.0,3,13212.5,22025.0,2024-08-29,2024-09-20,69.87,60.16,67.87,66.19,66.22,3P. Option Temp ITM
AX,O:AX240920P00065000,2024-09-03,P,2024-09-20,Automatic Execution,65.0,99,206.5,0.985,140.5,1.3,12870.0,4,13212.5,22025.0,2024-09-04,2024-09-20,68.99,60.16,67.87,66.19,66.22,3P. Option Temp ITM
AX,O:AX240920P00060000,2024-09-06,P,2024-09-20,Automatic Execution,60.0,93,206.5,0.985,140.5,1.0,9300.0,6,13212.5,22025.0,2024-09-09,2024-09-20,68.99,60.16,67.87,66.19,66.22,4P. Option Stay OTM
AX,O:AX240920P00060000,2024-09-10,P,2024-09-20,Automatic Execution,60.0,104,206.5,0.985,140.5,1.3,13520.0,2,13212.5,22025.0,2024-09-11,2024-09-20,68.99,60.16,67.87,66.19,66.22,4P. Option Stay OTM
AX,O:AX241018P00060000,2024-10-01,P,2024-10-18,Automatic Execution,60.0,115,206.5,0.985,140.5,2.0,23000.0,1,13212.5,22025.0,2024-10-02,2024-10-18,68.34,59.455,68.34,66.49,66.58,3P. Option Temp ITM
AX,O:AX241115P00055000,2024-10-21,P,2024-11-15,Automatic Execution,55.0,100,206.5,0.985,140.5,0.85,8500.0,8,13212.5,22025.0,2024-10-22,2024-11-15,85.54,63.54,81.24,79.05,80.16,4P. Option Stay OTM
AX,O:AX241220C00090000,2024-11-25,C,2024-12-20,Automatic Execution,90.0,29,206.5,0.985,140.5,2.75,7975.0,10,13212.5,22025.0,2024-11-26,2024-12-20,86.5,70.39,73.27,70.39,71.73,4C. Option Stay OTM
AX,O:AX241220C00082500,2024-12-09,C,2024-12-20,Automatic Execution,82.5,48,206.5,0.985,140.5,1.82,8736.0,7,13212.5,22025.0,2024-12-10,2024-12-20,81.575,70.39,73.27,70.39,71.73,4C. Option Stay OTM
AX,O:AX250117P00070000,2024-12-20,P,2025-01-17,Automatic Execution,70.0,100,206.5,0.985,140.5,2.0,20000.0,2,13212.5,22025.0,2024-12-23,2025-01-17,72.77,65.655,72.31,70.895,72.06,3P. Option Temp ITM
AX,O:AX250117P00065000,2025-01-10,P,2025-01-17,Automatic Execution,65.0,217,206.5,0.985,140.5,1.0,21700.0,1,13212.5,22025.0,2025-01-13,2025-01-17,72.59,65.78,72.31,70.895,72.06,4P. Option Stay OTM
AX,O:AX250221P00067500,2025-01-27,P,2025-02-21,Single Leg Auction Non ISO,67.5,80,206.5,0.985,140.5,1.5,12000.0,5,13212.5,22025.0,2025-01-28,2025-02-21,73.14,65.64,69.54,65.64,66.21,1P. Option Close ITM
BANC,O:BANC241115P00015000,2024-11-01,P,2024-11-15,Automatic Execution,15.0,191,371.0,0.985,1282.36,0.45,8595.0,3,8915.0,30196.28,2024-11-04,2024-11-15,16.92,14.77,16.42,16.09,16.23,3P. Option Temp ITM
