security,min_date_from_expiration,max_date_from_expiration,qualifying_trades,q1_size,q3_size,iqr_size,trad_iqr_size,q1_trade_value,q3_trade_value,iqr_trade_value,trad_iqr_trade_value,n_range,n_size,n_trade_value,custom_k
ASB,22,22,1,180.0,180.0,0.0,180.0,13500.0,13500.0,0.0,13500.0,0.985,180.0,13500.0,nan
AX,1,30,51,26.5,98.5,72.0,206.5,3647.5,7473.5,3826.0,13212.5,0.985,140.5,22025.0,3.8
BANC,9,24,13,71.0,191.0,120.0,371.0,4500.0,6266.0,1766.0,8915.0,0.985,1282.36,30196.28,13.55
BK,1,30,444,31.0,67.0,36.0,121.0,3570.0,6560.0,2990.0,11045.0,0.985,556.8,35915.55,9.82
BKU,25,25,1,30.0,30.0,0.0,30.0,3750.0,3750.0,0.0,3750.0,0.985,30.0,3750.0,nan
BOH,15,30,9,21.0,40.0,19.0,68.5,4840.0,5800.0,960.0,7240.0,0.985,183.2,16920.0,11.58
BOKF,24,28,4,23.75,30.0,6.25,39.375,6400.0,9412.5,3012.5,13931.25,0.985,30.0,9870.75,0.15
CADE,23,23,1,50.0,50.0,0.0,50.0,3750.0,3750.0,0.0,3750.0,0.985,50.0,3750.0,nan
CBSH,2,2,1,50.0,50.0,0.0,50.0,9300.0,9300.0,0.0,9300.0,0.985,50.0,9300.0,nan
CCB,20,23,4,27.25,50.0,22.75,84.125,5587.5,7481.25,1893.75,10321.875,0.985,50.0,8908.88,0.75
CFG,1,30,174,40.0,210.5,170.5,466.25,3453.75,9968.0,6514.25,19739.375,0.985,1700.72,80005.91,10.75
CFR,9,29,13,15.0,29.0,14.0,50.0,3600.0,6150.0,2550.0,9975.0,0.985,46.4,11372.4,2.05
CLBK,16,16,1,200.0,200.0,0.0,200.0,24000.0,24000.0,0.0,24000.0,0.985,200.0,24000.0,nan
CMA,1,30,443,30.0,123.0,93.0,262.5,3990.0,9750.0,5760.0,18390.0,0.985,2000.0,83252.85,12.76
COLB,8,29,3,96.5,189.0,92.5,327.75,3467.5,5075.0,1607.5,7486.25,0.985,246.34,6320.5,0.77
COOP,2,30,96,19.75,50.5,30.75,96.625,4095.0,8667.5,4572.5,15526.25,0.985,313.25,22440.5,3.01
CRBG,6,30,206,73.25,173.75,100.5,324.5,3810.0,8542.5,4732.5,15641.25,0.985,1038.85,51292.5,9.03
DCOM,25,25,2,60.0,84.0,24.0,120.0,5868.0,6276.0,408.0,6888.0,0.985,95.28,6467.76,0.47
EBC,28,29,16,100.0,103.0,3.0,107.5,4118.5,5500.0,1381.5,7572.25,0.985,238.75,14325.0,6.39
EFSC,24,28,2,45.0,45.0,0.0,45.0,4500.0,4500.0,0.0,4500.0,0.985,45.0,4500.0,nan
EWBC,6,30,36,28.0,100.0,72.0,208.0,4875.0,12416.75,7541.75,23729.375,0.985,256.05,48988.5,4.85
FCNCA,1,30,509,1.0,2.0,1.0,3.5,3600.0,6212.0,2612.0,10130.0,0.985,18.76,39795.6,12.86
FHN,1,30,70,89.25,250.0,160.75,491.125,4137.5,7500.0,3362.5,12543.75,0.985,2124.47,37857.4,9.03
FITB,1,30,179,53.0,195.5,142.5,409.25,4025.5,9600.0,5574.5,17961.75,0.985,2248.49,68840.85,10.63
FRME,22,22,1,50.0,50.0,0.0,50.0,4750.0,4750.0,0.0,4750.0,0.985,50.0,4750.0,nan
GBCI,21,29,2,50.0,50.0,0.0,50.0,5000.0,5000.0,0.0,5000.0,0.985,50.0,5000.0,nan
HBAN,1,30,62,183.0,679.75,496.75,1424.875,3674.25,10538.75,6864.5,20835.5,0.985,4697.14,73083.08,9.11
KEY,2,30,246,115.0,369.75,254.75,751.875,3725.0,6997.5,3272.5,11906.25,0.985,11931.92,196211.92,57.82
MBIN,29,29,1,100.0,100.0,0.0,100.0,11500.0,11500.0,0.0,11500.0,0.985,100.0,11500.0,nan
MTB,2,30,137,12.0,40.0,28.0,82.0,3920.0,7680.0,3760.0,13320.0,0.985,288.0,47249.4,10.52
MTG,30,30,1,183.0,183.0,0.0,183.0,10980.0,10980.0,0.0,10980.0,0.985,183.0,10980.0,nan
NBTB,24,30,4,24.75,41.0,16.25,65.375,3690.0,5100.0,1410.0,7215.0,0.985,49.46,5382.0,0.2
NTRS,2,30,255,25.0,56.0,31.0,102.5,3625.0,7550.0,3925.0,13437.5,0.985,302.38,41886.23,8.75
OZK,1,30,189,39.0,100.0,61.0,191.5,3535.0,7505.0,3970.0,13460.0,0.985,394.74,29376.8,5.51
PB,16,16,1,69.0,69.0,0.0,69.0,4830.0,4830.0,0.0,4830.0,0.985,69.0,4830.0,nan
PFSI,13,30,11,19.0,302.5,283.5,727.75,3440.0,25445.5,22005.5,58453.75,0.985,750.0,119887.5,4.29
PNC,1,30,629,20.0,86.0,66.0,185.0,3720.0,8802.0,5082.0,16425.0,0.985,478.58,65625.92,11.18
PNFP,6,29,2,63.5,100.5,37.0,156.0,12983.75,31301.25,18317.5,58777.5,0.985,117.89,39910.48,0.47
PPBI,24,24,1,529.0,529.0,0.0,529.0,31740.0,31740.0,0.0,31740.0,0.985,529.0,31740.0,nan
RDN,15,28,4,427.75,671.0,243.25,1035.875,7060.0,15097.5,8037.5,27153.75,0.985,671.0,19828.05,0.59
SNV,2,30,57,50.0,165.0,115.0,337.5,3850.0,8745.0,4895.0,16087.5,0.985,852.0,32459.16,4.84
SYBT,29,30,2,50.0,50.0,0.0,50.0,6250.0,7250.0,1000.0,8750.0,0.985,50.0,7720.0,0.47
TBBK,6,29,34,61.0,100.0,39.0,158.5,5368.0,22000.0,16632.0,46948.0,0.985,391.0,52785.0,1.85
TCBI,2,14,7,24.0,24.0,0.0,24.0,4488.0,4656.0,168.0,4908.0,0.985,24.91,4907.04,1.49
TFIN,2,30,5,25.0,50.0,25.0,87.5,3750.0,6500.0,2750.0,10625.0,0.985,191.0,53030.0,16.92
TRMK,14,14,1,217.0,217.0,0.0,217.0,6510.0,6510.0,0.0,6510.0,0.985,217.0,6510.0,nan
UMBF,17,17,1,15.0,15.0,0.0,15.0,3135.0,3135.0,0.0,3135.0,0.985,15.0,3135.0,nan
USB,1,30,944,60.0,200.0,140.0,410.0,3777.5,7517.75,3740.25,13128.125,0.985,2704.35,52738.01,12.09
VLY,2,29,24,192.0,570.0,378.0,1137.0,4580.0,9990.0,5410.0,18105.0,0.985,10392.53,164400.75,28.54
WAL,1,30,555,17.0,50.0,33.0,99.5,3850.0,8170.0,4320.0,14650.0,0.985,300.0,28858.95,4.79
WBS,1,30,30,31.0,319.0,288.0,751.0,4340.0,10192.5,5852.5,18971.25,0.985,929.37,88096.44,13.31
ZION,2,30,208,37.0,109.5,72.5,218.25,3750.75,8328.75,4578.0,15195.75,0.985,824.9,46100.32,8.25
