option_ticker,security,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,data_date,trade_value,security_open,security_high,security_low,security_close,trade_value_bracket,trade_rank,name,large_trade_size_filter,large_trade_value_filter
O:BMY250425P00054000,BMY,P,54.0,2025-04-25,241,0,323,2.2,1743785957283000000,3500,2025-04-04,770000.0,56.82,57.1688,54.72,55.3,06. $0.3M-$1.0M,9,Stock Options Cross,1241.0,345236.16
O:BMY250502P00050000,BMY,P,50.0,2025-05-02,227,0,308,2.24,1744297988588000000,4496,2025-04-10,1007104.0,53.33,53.42,48.82,50.46,05. $1.0M-$3.0M,4,Single Leg Auction Non ISO,1241.0,345236.16
O:BNTX250321C00125000,BNTX,C,125.0,2025-03-21,231,0,323,4.5,1740153286156000000,463,2025-02-21,208350.0,118.88,123.87,116.5,120.01,07. $0.1M-$0.3M,14,Single Leg Floor Trade,167.0,187366.0
O:LLY250502P00790000,LLY,P,790.0,2025-05-02,234,0,302,17.34,1745249968060000000,1350,2025-04-21,2340900.0,841.51,843.91,807.0,818.02,05. $1.0M-$3.0M,5,Multi Leg Cross,400.0,1000000.0
O:LLY250516P00750000,LLY,P,750.0,2025-05-16,234,0,302,12.95,1745249968060000000,1350,2025-04-21,1748250.0,841.51,843.91,807.0,818.02,05. $1.0M-$3.0M,8,Multi Leg Cross,400.0,1000000.0
O:MRK250221P00093000,MRK,P,93.0,2025-02-21,235,0,300,0.91,1738270475885000000,21800,2025-01-30,1983800.0,99.41,99.41,98.23,98.95,05. $1.0M-$3.0M,6,Multi Leg floor trade,2000.0,1000000.0
O:MRK250221P00090000,MRK,P,90.0,2025-02-21,235,0,300,0.74,1737659770847000000,21800,2025-01-23,1613200.0,96.11,97.155,95.22,96.63,05. $1.0M-$3.0M,10,Multi Leg floor trade,2000.0,1000000.0
O:MRK250221P00090000,MRK,P,90.0,2025-02-21,235,0,300,0.54,1738270475894000000,21800,2025-01-30,1177200.0,99.41,99.41,98.23,98.95,05. $1.0M-$3.0M,15,Multi Leg floor trade,2000.0,1000000.0
O:MRK250328P00085000,MRK,P,85.0,2025-03-28,234,0,300,0.26,1741875955041000000,63000,2025-03-13,1638000.0,93.4,96.34,93.4,94.71,05. $1.0M-$3.0M,9,Multi Leg Cross,2000.0,1000000.0
O:MRNA250307C00032500,MRNA,C,32.5,2025-03-07,233,0,309,0.71,1740761986098000000,24090,2025-02-28,1710390.0,30.775,31.305,30.2007,30.96,05. $1.0M-$3.0M,17,Multi Leg Auction,23652.25,1000000.0
O:MRNA250314C00037500,MRNA,C,37.5,2025-03-14,235,0,301,0.7,1741280875210000000,25190,2025-03-06,1763300.0,34.09,35.2505,33.21,34.3,05. $1.0M-$3.0M,15,Multi Leg floor trade,23652.25,1000000.0
O:NVAX250117C00010500,NVAX,C,10.5,2025-01-17,209,0,313,0.75,1736260558873000000,1112,2025-01-07,83400.0,9.95,11.55,9.88,10.82,08. $0.03M-$0.1M,9,Automatic Execution,600.0,41731.26
O:NVAX250117C00010000,NVAX,C,10.0,2025-01-17,209,0,313,0.5,1736182842967000000,881,2025-01-06,44050.0,9.04,10.035,8.91,9.76,08. $0.03M-$0.1M,14,Automatic Execution,600.0,41731.26
O:NVAX250214C00010000,NVAX,C,10.0,2025-02-14,209,0,313,0.43,1738263816598000000,994,2025-01-30,42742.0,8.86,9.225,8.55,9.01,08. $0.03M-$0.1M,15,Automatic Execution,600.0,41731.26
O:NVAX250523P00007500,NVAX,P,7.5,2025-05-23,209,0,313,0.5,1747666438717000000,1000,2025-05-19,50000.0,8.1,8.78,7.12,7.74,08. $0.03M-$0.1M,11,Automatic Execution,600.0,41731.26
O:NVAX250606P00006000,NVAX,P,6.0,2025-06-06,209,0,313,0.5,1746811021776000000,999,2025-05-09,49950.0,6.605,6.64,5.8,5.975,08. $0.03M-$0.1M,12,Automatic Execution,600.0,41731.26
