security,trade_value_bracket,cnt,running_count
ABBV,05. $1.0M-$3.0M,20,16039
ABBV,06. $0.3M-$1.0M,49,16019
ABBV,07. $0.1M-$0.3M,200,15970
ABBV,08. $0.03M-$0.1M,960,15770
ABBV,09. $0.01M-$0.03M,3196,14810
ABBV,10. $0.003M-$0.01M,11614,11614
AMGN,04. $3.0M-$10.0M,2,11550
AMGN,05. $1.0M-$3.0M,17,11548
AMGN,06. $0.3M-$1.0M,60,11531
AMGN,07. $0.1M-$0.3M,118,11471
AMGN,08. $0.03M-$0.1M,607,11353
AMGN,09. $0.01M-$0.03M,2099,10746
AMGN,10. $0.003M-$0.01M,8647,8647
BMY,05. $1.0M-$3.0M,4,5455
BMY,06. $0.3M-$1.0M,15,5451
BMY,07. $0.1M-$0.3M,43,5436
BMY,08. $0.03M-$0.1M,198,5393
BMY,09. $0.01M-$0.03M,926,5195
BMY,10. $0.003M-$0.01M,4269,4269
BNTX,06. $0.3M-$1.0M,3,1359
BNTX,07. $0.1M-$0.3M,20,1356
BNTX,08. $0.03M-$0.1M,46,1336
BNTX,09. $0.01M-$0.03M,234,1290
BNTX,10. $0.003M-$0.01M,1056,1056
GSK,06. $0.3M-$1.0M,16,657
GSK,07. $0.1M-$0.3M,37,641
GSK,08. $0.03M-$0.1M,42,604
GSK,09. $0.01M-$0.03M,117,562
GSK,10. $0.003M-$0.01M,445,445
LLY,04. $3.0M-$10.0M,1,154405
LLY,05. $1.0M-$3.0M,25,154404
LLY,06. $0.3M-$1.0M,197,154379
LLY,07. $0.1M-$0.3M,1013,154182
LLY,08. $0.03M-$0.1M,6849,153169
LLY,09. $0.01M-$0.03M,29083,146320
LLY,10. $0.003M-$0.01M,117237,117237
MRK,02. $30M-100M,1,12583
MRK,05. $1.0M-$3.0M,22,12582
MRK,06. $0.3M-$1.0M,27,12560
MRK,07. $0.1M-$0.3M,75,12533
MRK,08. $0.03M-$0.1M,496,12458
MRK,09. $0.01M-$0.03M,2222,11962
MRK,10. $0.003M-$0.01M,9740,9740
MRNA,04. $3.0M-$10.0M,6,16952
MRNA,05. $1.0M-$3.0M,23,16946
MRNA,06. $0.3M-$1.0M,69,16923
MRNA,07. $0.1M-$0.3M,89,16854
MRNA,08. $0.03M-$0.1M,482,16765
MRNA,09. $0.01M-$0.03M,2643,16283
MRNA,10. $0.003M-$0.01M,13640,13640
NVAX,07. $0.1M-$0.3M,8,996
NVAX,08. $0.03M-$0.1M,10,988
NVAX,09. $0.01M-$0.03M,106,978
NVAX,10. $0.003M-$0.01M,872,872
NVS,07. $0.1M-$0.3M,13,859
NVS,08. $0.03M-$0.1M,47,846
NVS,09. $0.01M-$0.03M,152,799
NVS,10. $0.003M-$0.01M,647,647
PFE,05. $1.0M-$3.0M,4,13009
PFE,06. $0.3M-$1.0M,33,13005
PFE,07. $0.1M-$0.3M,70,12972
PFE,08. $0.03M-$0.1M,488,12902
PFE,09. $0.01M-$0.03M,2150,12414
PFE,10. $0.003M-$0.01M,10264,10264
SNY,06. $0.3M-$1.0M,2,236
SNY,07. $0.1M-$0.3M,4,234
SNY,08. $0.03M-$0.1M,20,230
SNY,09. $0.01M-$0.03M,42,210
SNY,10. $0.003M-$0.01M,168,168
