security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ACHR,Aerospace,Aerospace - Defense,35__0,35,0.0,1. p999999_trade_value,139655.0,139655.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
ACHR,Aerospace,Aerospace - Defense,35__0,35,0.0,4. p999_trade_value,99493.0,86800.0,3.0,4.0,0.75,0.75,1. ABOVE BASELINE,4.0,5.0,0.8
ACHR,Aerospace,Aerospace - Defense,35__0,35,0.0,5. p99_trade_value,86730.0,34800.0,34.0,44.0,0.7727272727272727,0.75,1. ABOVE BASELINE,38.0,49.0,0.7755102040816326
ACHR,Aerospace,Aerospace - Defense,35__0,35,0.0,6. p95_trade_value,34704.0,16560.0,111.0,193.0,0.5751295336787565,0.75,2. BELOW BASELINE,149.0,242.0,0.6157024793388429
ACHR,Aerospace,Aerospace - Defense,35__0,35,0.0,7. p90_trade_value,16530.0,11700.0,142.0,242.0,0.5867768595041323,0.75,2. BELOW BASELINE,291.0,484.0,0.6012396694214877
ACHR,Aerospace,Aerospace - Defense,35__0,35,0.0,8. p75_trade_value,11640.0,7280.0,429.0,725.0,0.5917241379310345,0.75,2. BELOW BASELINE,720.0,1209.0,0.5955334987593052
AXON,Aerospace,Aerospace - Defense Equipment,35__2,35,2.0,1. p999999_trade_value,407500.0,407500.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
AXON,Aerospace,Aerospace - Defense Equipment,35__2,35,2.0,4. p999_trade_value,391950.0,217500.0,3.0,5.0,0.6,0.75,2. BELOW BASELINE,4.0,6.0,0.6666666666666666
AXON,Aerospace,Aerospace - Defense Equipment,35__2,35,2.0,5. p99_trade_value,200000.0,85000.0,27.0,49.0,0.5510204081632653,0.75,2. BELOW BASELINE,31.0,55.0,0.5636363636363636
AXON,Aerospace,Aerospace - Defense Equipment,35__2,35,2.0,6. p95_trade_value,84813.0,34175.0,121.0,220.0,0.55,0.75,2. BELOW BASELINE,152.0,275.0,0.5527272727272727
AXON,Aerospace,Aerospace - Defense Equipment,35__2,35,2.0,7. p90_trade_value,34079.99999999999,21090.0,147.0,275.0,0.5345454545454545,0.75,2. BELOW BASELINE,299.0,550.0,0.5436363636363636
AXON,Aerospace,Aerospace - Defense Equipment,35__2,35,2.0,8. p75_trade_value,21080.0,10480.000000000002,444.0,825.0,0.5381818181818182,0.75,2. BELOW BASELINE,743.0,1375.0,0.5403636363636364
FTAI,Aerospace,Aerospace - Defense Equipment,35__0,35,0.0,1. p999999_trade_value,1400000.0,1400000.0,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,1.0,1.0
FTAI,Aerospace,Aerospace - Defense Equipment,35__0,35,0.0,4. p999_trade_value,857600.0,415800.0,2.0,4.0,0.5,0.75,2. BELOW BASELINE,3.0,5.0,0.6
FTAI,Aerospace,Aerospace - Defense Equipment,35__0,35,0.0,5. p99_trade_value,361620.0,74200.0,21.0,38.0,0.5526315789473685,0.75,2. BELOW BASELINE,24.0,43.0,0.5581395348837209
FTAI,Aerospace,Aerospace - Defense Equipment,35__0,35,0.0,6. p95_trade_value,70650.0,22750.0,119.0,169.0,0.7041420118343196,0.75,2. BELOW BASELINE,143.0,212.0,0.6745283018867925
FTAI,Aerospace,Aerospace - Defense Equipment,35__0,35,0.0,7. p90_trade_value,22720.0,15000.0,140.0,216.0,0.6481481481481481,0.75,2. BELOW BASELINE,283.0,428.0,0.6612149532710281
FTAI,Aerospace,Aerospace - Defense Equipment,35__0,35,0.0,8. p75_trade_value,14976.0,8500.0,406.0,634.0,0.6403785488958991,0.75,2. BELOW BASELINE,689.0,1062.0,0.6487758945386064
RTX,Aerospace,Aerospace - Defense,35__0,35,0.0,1. p999999_trade_value,304304.00000000006,304304.00000000006,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
RTX,Aerospace,Aerospace - Defense,35__0,35,0.0,4. p999_trade_value,275526.0,123500.0,1.0,2.0,0.5,0.75,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
RTX,Aerospace,Aerospace - Defense,35__0,35,0.0,5. p99_trade_value,102600.0,48278.0,18.0,23.0,0.782608695652174,0.75,2. BELOW BASELINE,19.0,26.0,0.7307692307692307
RTX,Aerospace,Aerospace - Defense,35__0,35,0.0,6. p95_trade_value,47500.0,20460.0,56.0,100.0,0.56,0.75,2. BELOW BASELINE,75.0,126.0,0.5952380952380952
RTX,Aerospace,Aerospace - Defense,35__0,35,0.0,7. p90_trade_value,20458.999999999996,13728.0,70.0,126.0,0.5555555555555556,0.75,2. BELOW BASELINE,145.0,252.0,0.5753968253968254
RTX,Aerospace,Aerospace - Defense,35__0,35,0.0,8. p75_trade_value,13699.0,7840.000000000001,203.0,377.0,0.5384615384615384,0.75,2. BELOW BASELINE,348.0,629.0,0.5532591414944356
