security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ADNT,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,12,10__0,10,0.0,12575.7,12745.15,12757.03,12759.7,12759.97,12760.0,12760.0
ALV,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,14,10__0,10,0.0,7237.5,9157.5,11731.5,12310.65,12368.56,12374.36,12374.94
AXL,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,6,10__0,10,0.0,45000.0,62500.0,76500.0,79650.0,79965.0,79996.5,79999.65
DOOO,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,11,10__0,10,0.0,17370.0,22095.0,25875.0,26725.5,26810.55,26819.06,26819.91
DORM,Auto-Tires-Trucks,Automotive - Replacement Parts,0.75,30000.0,8. p75_trade_value,2.0,8,10__0,10,0.0,31500.0,33250.0,34650.0,34965.0,34996.5,34999.65,34999.96
FOXF,Auto-Tires-Trucks,Automotive - Domestic,0.75,55000.0,1. p999999_trade_value,1.0,8,10__0,10,0.0,37500.0,46250.0,53250.0,54825.0,54982.5,54998.25,54999.83
GTX,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,6,10__0,10,0.0,18000.0,24000.0,28800.0,29880.0,29988.0,29998.8,29999.88
HYLN,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,10,10__0,10,0.0,5852.4,6916.2,7767.24,7958.72,7977.87,7979.79,7979.98
LVWR,Auto-Tires-Trucks,Automotive - Domestic,0.75,6964.999999999999,8. p75_trade_value,3.0,11,10__0,10,0.0,9300.0,9450.0,9570.0,9597.0,9599.7,9599.97,9600.0
MPAA,Auto-Tires-Trucks,Automotive - Replacement Parts,0.75,7000.0,8. p75_trade_value,2.0,6,10__0,10,0.0,8000.0,8500.0,8900.0,8990.0,8999.0,8999.9,8999.99
PHIN,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,15,10__0,10,0.0,24895.0,39757.5,46351.5,47835.15,47983.52,47998.35,47999.84
PSNY,Auto-Tires-Trucks,Automotive - Foreign,0.75,,,,14,10__0,10,0.0,23875.0,29375.0,35875.0,37337.5,37483.75,37498.38,37499.84
REE,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,14,10__0,10,0.0,11612.5,13868.75,15493.75,15859.38,15895.94,15899.59,15899.96
SLDP,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,10,10__0,10,0.0,9424.0,9712.0,9942.4,9994.24,9999.42,9999.94,9999.99
SUP,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,8000.0,8. p75_trade_value,2.0,6,10__0,10,0.0,14000.0,17000.0,19400.0,19940.0,19994.0,19999.4,19999.94
VC,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,13,10__0,10,0.0,10358.0,13406.0,16953.2,17751.32,17831.13,17839.11,17839.91
WNC,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,,,,10,10__0,10,0.0,11730.0,32115.0,48423.0,52092.3,52459.23,52495.92,52499.59
XPEL,Auto-Tires-Trucks,Automotive - Original Equipment,0.75,13860.0,1. p999999_trade_value,2.0,6,10__0,10,0.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0,13860.0
