security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
GM,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,1. p999999_trade_value,1266804.0,1266804.0,0.0,1.0,0.0,0.55,1. ABOVE BASELINE,0.0,1.0,0.0
GM,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,4. p999_trade_value,870000.0,490000.0,7.0,7.0,1.0,0.55,1. ABOVE BASELINE,7.0,8.0,0.875
GM,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,5. p99_trade_value,396355.0,80000.0,28.0,73.0,0.3835616438356164,0.55,2. BELOW BASELINE,35.0,81.0,0.43209876543209874
GM,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,6. p95_trade_value,79200.0,24900.0,164.0,318.0,0.5157232704402516,0.55,2. BELOW BASELINE,199.0,399.0,0.49874686716791977
GM,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,7. p90_trade_value,24862.0,15125.0,207.0,398.0,0.5201005025125628,0.55,2. BELOW BASELINE,406.0,797.0,0.5094102885821832
GM,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,8. p75_trade_value,15119.999999999998,8128.0,617.0,1196.0,0.5158862876254181,0.55,2. BELOW BASELINE,1023.0,1993.0,0.5132965378825891
RIVN,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,1. p999999_trade_value,1260000.0,1260000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,1.0,1.0
RIVN,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,3. p9999_trade_value,370000.0,370000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
RIVN,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,4. p999_trade_value,324000.0,163200.00000000003,6.0,11.0,0.5454545454545454,0.55,2. BELOW BASELINE,7.0,13.0,0.5384615384615384
RIVN,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,5. p99_trade_value,153600.0,39150.0,55.0,105.0,0.5238095238095238,0.55,2. BELOW BASELINE,62.0,118.0,0.5254237288135594
RIVN,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,6. p95_trade_value,39096.0,16944.0,245.0,468.0,0.5235042735042735,0.55,2. BELOW BASELINE,307.0,586.0,0.5238907849829352
RIVN,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,7. p90_trade_value,16929.0,11924.0,299.0,586.0,0.5102389078498294,0.55,2. BELOW BASELINE,606.0,1172.0,0.5170648464163823
RIVN,Auto-Tires-Trucks,Automotive - Domestic,40__1,40,1.0,8. p75_trade_value,11900.000000000002,7300.0,905.0,1758.0,0.5147895335608647,0.55,2. BELOW BASELINE,1511.0,2930.0,0.5156996587030717
