security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ADNT,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,12,10__0,10,0.0,12575.7,12745.15,12757.03,12759.7,12759.97,12760.0,12760.0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,12300.0,8. p75_trade_value,9.0,33,15__0,15,0.0,19484.4,56300.0,68304.8,69704.48,69844.45,69858.44,69859.84
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,28500.0,7. p90_trade_value,3.0,26,15__0,15,0.0,22750.0,38625.0,55500.0,59550.0,59955.0,59995.5,59999.55
ALV,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,14,10__0,10,0.0,7237.5,9157.5,11731.5,12310.65,12368.56,12374.36,12374.94
APTV,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,236847.99999999994,5. p99_trade_value,5.0,425,25__0,25,0.0,49482.0,92400.0,229684.48,429440.0,501944.0,509194.4,509919.44
AXL,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,6,10__0,10,0.0,45000.0,62500.0,76500.0,79650.0,79965.0,79996.5,79999.65
BEEM,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,5,5__0,5,0.0,4470.0,4710.0,4902.0,4945.2,4949.52,4949.95,4950.0
BLBD,Auto-Tires-Trucks,Automotive - Domestic,0.55,,,,101,20__0,20,0.0,11730.0,13100.0,25000.0,25783.0,25861.3,25869.13,25869.91
BWA,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,41,15__0,15,0.0,11200.0,13300.0,24132.0,29413.2,29941.32,29994.13,29999.41
CARG,Auto-Tires-Trucks,Automotive - Replacement Parts,0.55,,,,23,15__0,15,0.0,9960.0,11830.8,14537.64,15178.76,15242.88,15249.29,15249.93
CHPT,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,97,20__2,20,2.0,100000.0,153000.0,401280.0,428928.0,431692.8,431969.28,431996.93
CMI,Auto-Tires-Trucks,Automotive - Internal Combustion Engines,0.55,22000.000000000004,7. p90_trade_value,29.0,287,25__1,25,1.0,21436.0,35616.0,108140.0,308990.99,372449.1,378794.91,379429.49
CPS,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,18,15__0,15,0.0,9840.0,15676.5,36423.3,41091.33,41558.13,41604.81,41609.48
CWH,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,8125.0,8. p75_trade_value,36.0,144,20__1,20,1.0,19947.0,59325.0,380660.2,613818.48,630631.85,632313.18,632481.32
CYD,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,15000.0,1. p999999_trade_value,1.0,27,15__0,15,0.0,12600.0,13850.0,14740.0,14974.0,14997.4,14999.74,14999.97
DAN,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,145,20__0,20,0.0,17617.2,22046.0,83564.76,104967.42,107786.74,108068.67,108096.87
DOOO,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,11,10__0,10,0.0,17370.0,22095.0,25875.0,26725.5,26810.55,26819.06,26819.91
DORM,Auto-Tires-Trucks,Automotive - Replacement Parts,0.55,30000.0,8. p75_trade_value,2.0,8,10__0,10,0.0,31500.0,33250.0,34650.0,34965.0,34996.5,34999.65,34999.96
EVGO,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,158,20__0,20,0.0,10015.0,12202.5,19165.0,27779.5,28697.95,28789.8,28798.98
F,Auto-Tires-Trucks,Automotive - Domestic,0.55,299760.00000000006,4. p999_trade_value,4.0,3958,35__3,35,3.0,15750.0,24844.4,95400.12,281563.6,415760.44,466301.34,471355.43
FFAI,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,24,15__0,15,0.0,6812.3,7666.2,7935.52,7971.95,7975.6,7975.96,7976.0
FOXF,Auto-Tires-Trucks,Automotive - Domestic,0.55,55000.0,1. p999999_trade_value,1.0,8,10__0,10,0.0,37500.0,46250.0,53250.0,54825.0,54982.5,54998.25,54999.83
GM,Auto-Tires-Trucks,Automotive - Domestic,0.55,490000.0,4. p999_trade_value,8.0,7970,40__1,40,1.0,15120.5,24882.9,80000.0,399257.99,950590.89,1235182.69,1263641.87
GTX,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,6,10__0,10,0.0,18000.0,24000.0,28800.0,29880.0,29988.0,29998.8,29999.88
HMC,Auto-Tires-Trucks,Automotive - Foreign,0.55,20460.0,1. p999999_trade_value,1.0,52,15__0,15,0.0,14540.0,16787.25,20123.4,20426.34,20456.63,20459.66,20459.97
HOG,Auto-Tires-Trucks,Automotive - Domestic,0.55,8320.0,8. p75_trade_value,82.0,328,25__1,25,1.0,15227.2,26133.0,57660.15,107460.76,125154.08,126923.41,127100.34
HSAI,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,429,25__1,25,1.0,14527.0,18450.0,41218.4,93392.84,99159.28,99735.93,99793.59
HYLN,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,10,10__0,10,0.0,5852.4,6916.2,7767.24,7958.72,7977.87,7979.79,7979.98
INVZ,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,,,,51,15__0,15,0.0,60000.0,108625.0,200000.0,236000.0,239600.0,239960.0,239996.0
KAR,Auto-Tires-Trucks,Automotive - Original Equipment,0.55,3900.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0
