security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
GTX,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,1. p999999_trade_value,30000.0,30000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
GTX,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,8. p75_trade_value,6000.0,6000.0,0.0,5.0,0.0,0.55,2. BELOW BASELINE,0.0,6.0,0.0
HMC,Auto-Tires-Trucks,Automotive - Foreign,15__0,15,0.0,1. p999999_trade_value,20460.0,20460.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
HMC,Auto-Tires-Trucks,Automotive - Foreign,15__0,15,0.0,6. p95_trade_value,19800.0,18880.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
HMC,Auto-Tires-Trucks,Automotive - Foreign,15__0,15,0.0,7. p90_trade_value,15075.0,14600.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,6.0,0.3333333333333333
HMC,Auto-Tires-Trucks,Automotive - Foreign,15__0,15,0.0,8. p75_trade_value,14000.0,10280.000000000002,2.0,7.0,0.2857142857142857,0.55,2. BELOW BASELINE,4.0,13.0,0.3076923076923077
HOG,Auto-Tires-Trucks,Automotive - Domestic,25__1,25,1.0,1. p999999_trade_value,127119.99999999999,127119.99999999999,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
HOG,Auto-Tires-Trucks,Automotive - Domestic,25__1,25,1.0,5. p99_trade_value,67000.0,58080.00000000001,3.0,3.0,1.0,0.55,1. ABOVE BASELINE,4.0,4.0,1.0
HOG,Auto-Tires-Trucks,Automotive - Domestic,25__1,25,1.0,6. p95_trade_value,56525.0,26700.0,13.0,13.0,1.0,0.55,1. ABOVE BASELINE,17.0,17.0,1.0
HOG,Auto-Tires-Trucks,Automotive - Domestic,25__1,25,1.0,7. p90_trade_value,25080.0,15300.0,15.0,16.0,0.9375,0.55,1. ABOVE BASELINE,32.0,33.0,0.9696969696969697
HOG,Auto-Tires-Trucks,Automotive - Domestic,25__1,25,1.0,8. p75_trade_value,15195.999999999998,8320.0,31.0,49.0,0.6326530612244898,0.55,1. ABOVE BASELINE,63.0,82.0,0.7682926829268293
HSAI,Auto-Tires-Trucks,Automotive - Original Equipment,25__1,25,1.0,1. p999999_trade_value,99800.0,99800.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
HSAI,Auto-Tires-Trucks,Automotive - Original Equipment,25__1,25,1.0,5. p99_trade_value,84830.0,42330.0,1.0,4.0,0.25,0.55,2. BELOW BASELINE,1.0,5.0,0.2
HSAI,Auto-Tires-Trucks,Automotive - Original Equipment,25__1,25,1.0,6. p95_trade_value,38360.0,18750.0,12.0,17.0,0.7058823529411765,0.55,2. BELOW BASELINE,13.0,22.0,0.5909090909090909
HSAI,Auto-Tires-Trucks,Automotive - Original Equipment,25__1,25,1.0,7. p90_trade_value,18000.0,14554.999999999998,7.0,21.0,0.3333333333333333,0.55,2. BELOW BASELINE,20.0,43.0,0.46511627906976744
HSAI,Auto-Tires-Trucks,Automotive - Original Equipment,25__1,25,1.0,8. p75_trade_value,14519.999999999998,8000.0,24.0,65.0,0.36923076923076925,0.55,2. BELOW BASELINE,44.0,108.0,0.4074074074074074
HYLN,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,1. p999999_trade_value,7980.0,7980.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
HYLN,Auto-Tires-Trucks,Automotive - Original Equipment,10__0,10,0.0,8. p75_trade_value,5616.0,5520.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,3.0,0.0
INVZ,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,1. p999999_trade_value,240000.0,240000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
INVZ,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,6. p95_trade_value,160000.0,133250.0,2.0,2.0,1.0,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
INVZ,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,7. p90_trade_value,84000.00000000001,60000.0,1.0,3.0,0.3333333333333333,0.55,2. BELOW BASELINE,3.0,6.0,0.5
INVZ,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,8. p75_trade_value,16530.0,8405.000000000002,1.0,7.0,0.14285714285714285,0.55,2. BELOW BASELINE,4.0,13.0,0.3076923076923077
KAR,Auto-Tires-Trucks,Automotive - Original Equipment,0__0,0,0.0,1. p999999_trade_value,3900.0,3900.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
KXIN,Auto-Tires-Trucks,Automotive - Foreign,5__3,5,3.0,1. p999999_trade_value,21903.0,21903.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
LAZR,Auto-Tires-Trucks,Automotive - Original Equipment,25__1,25,1.0,1. p999999_trade_value,340000.00000000006,340000.00000000006,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
LAZR,Auto-Tires-Trucks,Automotive - Original Equipment,25__1,25,1.0,5. p99_trade_value,140000.00000000003,38232.0,3.0,3.0,1.0,0.55,1. ABOVE BASELINE,4.0,4.0,1.0
LAZR,Auto-Tires-Trucks,Automotive - Original Equipment,25__1,25,1.0,6. p95_trade_value,30000.0,16492.0,8.0,13.0,0.6153846153846154,0.55,1. ABOVE BASELINE,12.0,17.0,0.7058823529411765
LAZR,Auto-Tires-Trucks,Automotive - Original Equipment,25__1,25,1.0,7. p90_trade_value,16320.000000000002,11850.0,7.0,18.0,0.3888888888888889,0.55,2. BELOW BASELINE,19.0,35.0,0.5428571428571428
LAZR,Auto-Tires-Trucks,Automotive - Original Equipment,25__1,25,1.0,8. p75_trade_value,11650.0,7400.0,23.0,50.0,0.46,0.55,2. BELOW BASELINE,42.0,85.0,0.49411764705882355
LCID,Auto-Tires-Trucks,Automotive - Domestic,30__0,30,0.0,1. p999999_trade_value,519970.0,519970.0,0.0,3.0,0.0,0.55,2. BELOW BASELINE,0.0,3.0,0.0
LCID,Auto-Tires-Trucks,Automotive - Domestic,30__0,30,0.0,5. p99_trade_value,175000.00000000003,36120.0,3.0,7.0,0.42857142857142855,0.55,2. BELOW BASELINE,3.0,10.0,0.3
LCID,Auto-Tires-Trucks,Automotive - Domestic,30__0,30,0.0,6. p95_trade_value,33130.0,13948.999999999998,18.0,36.0,0.5,0.55,2. BELOW BASELINE,21.0,46.0,0.45652173913043476
LCID,Auto-Tires-Trucks,Automotive - Domestic,30__0,30,0.0,7. p90_trade_value,13902.000000000002,9790.0,20.0,45.0,0.4444444444444444,0.55,2. BELOW BASELINE,41.0,91.0,0.45054945054945056
LCID,Auto-Tires-Trucks,Automotive - Domestic,30__0,30,0.0,8. p75_trade_value,9565.0,6403.0,75.0,136.0,0.5514705882352942,0.55,2. BELOW BASELINE,116.0,227.0,0.5110132158590308
LCII,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,1. p999999_trade_value,44000.00000000001,44000.00000000001,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
LCII,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,6. p95_trade_value,25000.0,25000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
LCII,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,7. p90_trade_value,9200.0,9200.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
LCII,Auto-Tires-Trucks,Automotive - Original Equipment,15__0,15,0.0,8. p75_trade_value,7750.0,6900.0,3.0,3.0,1.0,0.55,1. ABOVE BASELINE,6.0,6.0,1.0
LEA,Auto-Tires-Trucks,Automotive - Original Equipment,20__0,20,0.0,1. p999999_trade_value,200000.0,200000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
