security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
BG,Basic Materials,Agriculture - Products,20__1,20,1.0,1. p999999_trade_value,250000.0,250000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BG,Basic Materials,Agriculture - Products,20__1,20,1.0,5. p99_trade_value,240000.0,240000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
BG,Basic Materials,Agriculture - Products,20__1,20,1.0,6. p95_trade_value,195480.00000000003,42500.0,1.0,6.0,0.16666666666666666,0.55,2. BELOW BASELINE,2.0,8.0,0.25
BG,Basic Materials,Agriculture - Products,20__1,20,1.0,7. p90_trade_value,28875.0,14489.999999999998,6.0,7.0,0.8571428571428571,0.55,2. BELOW BASELINE,8.0,15.0,0.5333333333333333
BG,Basic Materials,Agriculture - Products,20__1,20,1.0,8. p75_trade_value,13000.0,6850.0,14.0,22.0,0.6363636363636364,0.55,2. BELOW BASELINE,22.0,37.0,0.5945945945945946
CALM,Basic Materials,Agriculture - Products,25__1,25,1.0,1. p999999_trade_value,117624.0,117624.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
CALM,Basic Materials,Agriculture - Products,25__1,25,1.0,5. p99_trade_value,74600.0,48179.99999999999,3.0,3.0,1.0,0.55,1. ABOVE BASELINE,4.0,4.0,1.0
CALM,Basic Materials,Agriculture - Products,25__1,25,1.0,6. p95_trade_value,42000.0,20000.0,1.0,13.0,0.07692307692307693,0.55,2. BELOW BASELINE,5.0,17.0,0.29411764705882354
CALM,Basic Materials,Agriculture - Products,25__1,25,1.0,7. p90_trade_value,19840.0,14040.0,7.0,16.0,0.4375,0.55,2. BELOW BASELINE,12.0,33.0,0.36363636363636365
CALM,Basic Materials,Agriculture - Products,25__1,25,1.0,8. p75_trade_value,13832.0,7500.0,33.0,50.0,0.66,0.55,2. BELOW BASELINE,45.0,83.0,0.5421686746987951
GRWG,Basic Materials,Agriculture - Products,0__0,0,0.0,1. p999999_trade_value,5575.0,5575.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
