security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ALB,Basic Materials,Chemical - Diversified ,0.75,,,,3012,35__0,35,0.0,14729.7,24420.0,67926.35,334132.26,532833.07,580460.11,585222.81
APD,Basic Materials,Chemical - Diversified ,0.75,,,,789,30__2,30,2.0,15260.0,20738.0,88699.92,558750.0,558750.0,558750.0,558750.0
ASH,Basic Materials,Chemical - Specialty,0.75,,,,20,15__0,15,0.0,40750.7,70600.0,110120.0,119012.0,119901.2,119990.12,119999.01
ASPI,Basic Materials,Chemical - Diversified ,0.75,75000.0,1. p999999_trade_value,1.0,309,25__0,25,0.0,10612.8,14410.0,29720.0,69740.9,74474.09,74947.41,74994.74
AXTA,Basic Materials,Chemical - Specialty,0.75,14500.0,1. p999999_trade_value,1.0,15,10__0,10,0.0,9450.0,11350.0,13870.0,14437.0,14493.7,14499.37,14499.94
BCPC,Basic Materials,Chemical - Specialty,0.75,3500.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
CBT,Basic Materials,Chemical - Diversified ,0.75,21000.0,1. p999999_trade_value,1.0,6,10__0,10,0.0,15770.0,18385.0,20477.0,20947.7,20994.77,20999.48,20999.95
CC,Basic Materials,Chemical - Diversified ,0.75,,,,67,20__0,20,0.0,18200.0,31050.0,87000.0,116700.0,119670.0,119967.0,119996.7
CE,Basic Materials,Chemical - Specialty,0.75,,,,338,25__2,25,2.0,17453.0,33988.5,98774.85,1784329.7,2358142.97,2415524.3,2421262.43
CMP,Basic Materials,Chemical - Diversified ,0.75,38120.00000000001,6. p95_trade_value,2.0,21,15__0,15,0.0,24000.0,38120.0,125992.0,145763.2,147740.32,147938.03,147957.8
DD,Basic Materials,Chemical - Diversified ,0.75,150660.0,1. p999999_trade_value,1.0,574,30__2,30,2.0,16400.0,26085.8,85530.24,150281.82,150622.18,150656.22,150659.62
DOW,Basic Materials,Chemical - Diversified ,0.75,,,,759,30__2,30,2.0,16300.0,26797.5,57610.98,129502.0,150650.2,152765.02,152976.5
DQ,Basic Materials,Chemical - Specialty,0.75,41610.0,6. p95_trade_value,15.0,287,25__0,25,0.0,25000.0,41163.0,95045.6,104142.0,104914.2,104991.42,104999.14
ECL,Basic Materials,Chemical - Specialty,0.75,25500.0,5. p99_trade_value,2.0,170,20__0,20,0.0,8800.0,9461.5,18772.5,169221.45,195527.15,198157.71,198420.77
EMN,Basic Materials,Chemical - Diversified ,0.75,77350.0,1. p999999_trade_value,1.0,53,15__0,15,0.0,16640.0,60002.4,72908.16,76905.82,77305.58,77345.56,77349.56
ESI,Basic Materials,Chemical - Specialty,0.75,,,,51,15__0,15,0.0,108000.0,165000.0,204285.0,211678.5,212417.85,212491.79,212499.18
FUL,Basic Materials,Chemical - Specialty,0.75,,,,3,5__3,5,3.0,19026.0,20763.0,22152.6,22465.26,22496.53,22499.65,22499.97
GPRE,Basic Materials,Chemical - Specialty,0.75,35746.0,6. p95_trade_value,2.0,40,15__0,15,0.0,24320.2,25516.4,43220.94,47522.09,47952.21,47995.22,47999.52
HUN,Basic Materials,Chemical - Diversified ,0.75,,,,21,15__1,15,1.0,73470.0,180000.0,420000.0,474000.0,479400.0,479940.0,479994.0
HWKN,Basic Materials,Chemical - Specialty,0.75,3850.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3850.0,3850.0,3850.0,3850.0,3850.0,3850.0,3850.0
IFF,Basic Materials,Chemical - Specialty,0.75,,,,123,20__0,20,0.0,12532.0,18339.0,66553.9,107424.8,111992.48,112449.25,112494.92
KWR,Basic Materials,Chemical - Specialty,0.75,,,,5,5__0,5,0.0,5508.0,5904.0,6220.8,6292.08,6299.21,6299.92,6299.99
LIN,Basic Materials,Chemical - Specialty,0.75,,,,601,30__2,30,2.0,13690.0,18700.0,36000.0,57200.0,64220.0,64922.0,64992.2
LWLG,Basic Materials,Chemical - Plastic,0.75,3660.0,1. p999999_trade_value,1.0,2,5__0,5,0.0,3644.0,3652.0,3658.4,3659.84,3659.98,3660.0,3660.0
LXU,Basic Materials,Chemical - Diversified ,0.75,5990.000000000001,1. p999999_trade_value,1.0,3,5__0,5,0.0,5812.0,5901.0,5972.2,5988.22,5989.82,5989.98,5990.0
LYB,Basic Materials,Chemical - Diversified ,0.75,62825.0,1. p999999_trade_value,1.0,226,25__0,25,0.0,11597.5,22780.0,58495.5,62301.88,62772.69,62819.77,62824.48
MATV,Basic Materials,Chemical - Specialty,0.75,,,,12,10__3,10,3.0,113954.4,162224.7,208444.94,218844.49,219884.45,219988.44,219998.84
MEOH,Basic Materials,Chemical - Diversified ,0.75,15000.0,1. p999999_trade_value,1.0,4,5__3,5,3.0,14040.0,14520.0,14904.0,14990.4,14999.04,14999.9,14999.99
NEU,Basic Materials,Chemical - Specialty,0.75,3400.0,1. p999999_trade_value,1.0,2,5__0,5,0.0,3372.0,3386.0,3397.2,3399.72,3399.97,3400.0,3400.0
NGVT,Basic Materials,Chemical - Specialty,0.75,,,,1,0__2,0,2.0,5250.0,5250.0,5250.0,5250.0,5250.0,5250.0,5250.0
OLN,Basic Materials,Chemical - Diversified ,0.75,,,,25,15__0,15,0.0,42469.2,45604.4,90840.0,103584.0,104858.4,104985.84,104998.58
PPG,Basic Materials,Chemical - Specialty,0.75,,,,223,25__0,25,0.0,19840.0,36283.5,95861.52,172223.46,187322.35,188832.23,188983.22
PRM,Basic Materials,Chemical - Specialty,0.75,15760.000000000002,1. p999999_trade_value,1.0,3,5__3,5,3.0,14176.0,14968.0,15601.6,15744.16,15758.42,15759.84,15759.98
RPM,Basic Materials,Chemical - Specialty,0.75,34500.0,1. p999999_trade_value,1.0,41,15__0,15,0.0,18750.0,28560.0,32620.0,34312.0,34481.2,34498.12,34499.81
SHW,Basic Materials,Chemical - Specialty,0.75,,,,447,25__0,25,0.0,16748.0,31627.2,113774.4,320958.0,331795.8,332879.58,332987.96
SQM,Basic Materials,Chemical - Specialty,0.75,6270.0,8. p75_trade_value,7.0,28,15__0,15,0.0,8408.8,11078.6,14055.0,14905.5,14990.55,14999.05,14999.91
SXT,Basic Materials,Chemical - Specialty,0.75,,,,1,0__2,0,2.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
TROX,Basic Materials,Chemical - Diversified ,0.75,22800.0,1. p999999_trade_value,1.0,4,5__3,5,3.0,22032.0,22416.0,22723.2,22792.32,22799.23,22799.92,22799.99
WLK,Basic Materials,Chemical - Plastic,0.75,161200.0,7. p90_trade_value,4.0,31,15__1,15,1.0,161200.0,282120.0,467842.0,526934.2,532843.42,533434.34,533493.43
