security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
CDE,Basic Materials,Mining - Non Ferrous,0.75,,,,45,15__0,15,0.0,16500.0,22785.0,24434.6,24943.46,24994.35,24999.43,24999.94
DNN,Basic Materials,Mining - Miscellaneous,0.75,25000.0,8. p75_trade_value,7.0,26,15__0,15,0.0,31000.0,38000.0,55000.0,59500.0,59950.0,59995.0,59999.5
EGO,Basic Materials,Mining - Gold,0.75,32250.0,6. p95_trade_value,2.0,40,15__0,15,0.0,28175.0,30738.55,40027.5,44502.75,44950.27,44995.03,44999.5
ERO,Basic Materials,Mining - Non Ferrous,0.75,,,,30,15__0,15,0.0,12042.0,12464.0,14275.0,14927.5,14992.75,14999.28,14999.93
EXK,Basic Materials,Mining - Silver,0.75,12650.0,6. p95_trade_value,2.0,23,15__0,15,0.0,11159.0,12505.0,12923.0,12992.3,12999.23,12999.92,12999.99
HBM,Basic Materials,Mining - Miscellaneous,0.75,,,,31,15__0,15,0.0,6800.0,8570.0,13486.0,14830.6,14965.06,14978.51,14979.85
IAG,Basic Materials,Mining - Gold,0.75,,,,29,15__0,15,0.0,32760.0,90142.4,143000.0,149300.0,149930.0,149993.0,149999.3
LAC,Basic Materials,Mining - Miscellaneous,0.75,,,,50,15__0,15,0.0,19258.4,21000.0,50137.5,61713.75,62871.38,62987.14,62998.71
LODE,Basic Materials,Mining - Gold,0.75,,,,53,15__0,15,0.0,8560.0,9780.0,19893.6,24489.36,24948.94,24994.89,24999.49
MUX,Basic Materials,Mining - Miscellaneous,0.75,16500.0,1. p999999_trade_value,1.0,24,15__0,15,0.0,13400.0,14000.0,15925.0,16442.5,16494.25,16499.43,16499.94
NGD,Basic Materials,Mining - Gold,0.75,38445.0,1. p999999_trade_value,1.0,27,15__0,15,0.0,19550.0,25259.5,35393.9,38139.89,38414.49,38441.95,38444.69
PPTA,Basic Materials,Mining - Miscellaneous,0.75,55440.0,6. p95_trade_value,3.0,54,15__0,15,0.0,17659.5,38904.0,89682.0,89968.2,89996.82,89999.68,89999.97
SA,Basic Materials,Mining - Gold,0.75,,,,55,15__0,15,0.0,11761.0,18000.0,30509.1,34681.41,35098.64,35140.36,35144.54
SBSW,Basic Materials,Mining - Miscellaneous,0.75,6850.0,8. p75_trade_value,7.0,27,15__0,15,0.0,9756.0,15199.0,20985.3,22353.03,22489.8,22503.48,22504.85
SSRM,Basic Materials,Mining - Miscellaneous,0.75,35200.0,6. p95_trade_value,2.0,22,15__0,15,0.0,15447.5,34240.0,35832.0,35983.2,35998.32,35999.83,35999.98
UAMY,Basic Materials,Mining - Non Ferrous,0.75,,,,22,15__0,15,0.0,11564.5,24522.75,30256.0,31465.6,31586.56,31598.66,31599.87
