security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AG,Basic Materials,Mining - Silver,0.55,,,,294,25__1,25,1.0,12126.0,15070.0,33305.86,47294.9,47479.49,47497.95,47499.79
AMR,Basic Materials,Mining - Miscellaneous,0.55,36000.0,1. p999999_trade_value,1.0,392,25__1,25,1.0,11595.0,15000.0,28971.84,35413.5,35941.35,35994.14,35999.41
AU,Basic Materials,Mining - Gold,0.55,9071.0,8. p75_trade_value,67.0,265,25__1,25,1.0,21873.6,36450.0,100826.2,183408.0,201940.8,203794.08,203979.41
BHP,Basic Materials,Mining - Miscellaneous,0.55,,,,377,25__1,25,1.0,13444.0,20012.0,43653.12,104789.04,107228.9,107472.89,107497.29
NXE,Basic Materials,Mining - Miscellaneous,0.55,860000.0,1. p999999_trade_value,1.0,191,25__0,25,0.0,22270.0,61405.0,175000.0,772600.0,851260.0,859126.0,859912.6
PAAS,Basic Materials,Mining - Silver,0.55,,,,381,25__1,25,1.0,15225.0,22500.0,36500.0,168943.68,237160.37,243982.04,244664.2
RGLD,Basic Materials,Mining - Gold,0.55,22080.0,7. p90_trade_value,22.0,213,25__1,25,1.0,22064.0,49446.8,151127.2,204590.0,204590.0,204590.0,204590.0
SCCO,Basic Materials,Mining - Non Ferrous,0.55,287500.0,1. p999999_trade_value,1.0,310,25__1,25,1.0,18103.4,33028.9,87210.2,231107.5,281860.75,286936.08,287443.61
TMC,Basic Materials,Mining - Miscellaneous,0.55,,,,245,25__1,25,1.0,13144.0,21924.8,53838.0,63547.14,63954.71,63995.47,63999.55
UEC,Basic Materials,Mining - Miscellaneous,0.55,245400.0,1. p999999_trade_value,1.0,192,25__0,25,0.0,30000.0,70900.0,143431.0,237378.0,244597.8,245319.78,245391.98
USAR,Basic Materials,Mining - Miscellaneous,0.55,,,,398,25__1,25,1.0,13500.0,18062.3,38157.0,47415.92,51026.79,51387.88,51423.99
UUUU,Basic Materials,Mining - Non Ferrous,0.55,,,,214,25__1,25,1.0,16338.0,22101.5,82830.0,88906.67,89858.27,89953.43,89962.94
WPM,Basic Materials,Mining - Miscellaneous,0.55,100992.0,1. p999999_trade_value,1.0,405,25__1,25,1.0,12075.6,19000.0,30220.4,100591.23,100951.92,100987.99,100991.6
