security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
CCJ,Basic Materials,Mining - Miscellaneous,40__0,40,0.0,1. p999999_trade_value,2015467.9999999998,2015467.9999999998,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
CCJ,Basic Materials,Mining - Miscellaneous,40__0,40,0.0,4. p999_trade_value,1560000.0,720000.0,2.0,6.0,0.3333333333333333,0.55,2. BELOW BASELINE,2.0,7.0,0.2857142857142857
CCJ,Basic Materials,Mining - Miscellaneous,40__0,40,0.0,5. p99_trade_value,577920.0,200520.0,38.0,59.0,0.6440677966101694,0.55,2. BELOW BASELINE,40.0,66.0,0.6060606060606061
CCJ,Basic Materials,Mining - Miscellaneous,40__0,40,0.0,6. p95_trade_value,199760.0,35464.0,154.0,260.0,0.5923076923076923,0.55,2. BELOW BASELINE,194.0,326.0,0.5950920245398773
CCJ,Basic Materials,Mining - Miscellaneous,40__0,40,0.0,7. p90_trade_value,35432.0,18750.0,185.0,325.0,0.5692307692307692,0.55,2. BELOW BASELINE,379.0,651.0,0.5821812596006144
CCJ,Basic Materials,Mining - Miscellaneous,40__0,40,0.0,8. p75_trade_value,18720.0,9500.0,563.0,975.0,0.5774358974358974,0.55,2. BELOW BASELINE,942.0,1626.0,0.5793357933579336
FCX,Basic Materials,Mining - Non Ferrous,40__1,40,1.0,1. p999999_trade_value,860000.0,860000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
FCX,Basic Materials,Mining - Non Ferrous,40__1,40,1.0,4. p999_trade_value,833000.0,340000.0,6.0,6.0,1.0,0.55,2. BELOW BASELINE,6.0,7.0,0.8571428571428571
FCX,Basic Materials,Mining - Non Ferrous,40__1,40,1.0,5. p99_trade_value,330000.00000000006,89684.0,41.0,60.0,0.6833333333333333,0.55,2. BELOW BASELINE,47.0,67.0,0.7014925373134329
FCX,Basic Materials,Mining - Non Ferrous,40__1,40,1.0,6. p95_trade_value,88500.0,26460.000000000004,148.0,266.0,0.556390977443609,0.55,2. BELOW BASELINE,195.0,333.0,0.5855855855855856
FCX,Basic Materials,Mining - Non Ferrous,40__1,40,1.0,7. p90_trade_value,26195.999999999996,16269.0,208.0,332.0,0.6265060240963856,0.55,2. BELOW BASELINE,403.0,665.0,0.606015037593985
FCX,Basic Materials,Mining - Non Ferrous,40__1,40,1.0,8. p75_trade_value,16260.0,8670.0,569.0,997.0,0.5707121364092277,0.55,2. BELOW BASELINE,972.0,1662.0,0.5848375451263538
