security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
COHR,Business Services,Technology Services,35__2,35,2.0,1. p999999_trade_value,1312500.0,1312500.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
COHR,Business Services,Technology Services,35__2,35,2.0,4. p999_trade_value,825000.0,670220.0,3.0,3.0,1.0,0.75,1. ABOVE BASELINE,4.0,4.0,1.0
COHR,Business Services,Technology Services,35__2,35,2.0,5. p99_trade_value,479000.0,128109.99999999999,22.0,30.0,0.7333333333333333,0.75,2. BELOW BASELINE,26.0,34.0,0.7647058823529411
COHR,Business Services,Technology Services,35__2,35,2.0,6. p95_trade_value,128079.0,32000.0,96.0,134.0,0.7164179104477612,0.75,2. BELOW BASELINE,122.0,168.0,0.7261904761904762
COHR,Business Services,Technology Services,35__2,35,2.0,7. p90_trade_value,31592.0,19210.0,109.0,165.0,0.6606060606060606,0.75,2. BELOW BASELINE,231.0,333.0,0.6936936936936937
COHR,Business Services,Technology Services,35__2,35,2.0,8. p75_trade_value,19205.0,8988.000000000002,284.0,499.0,0.5691382765531062,0.75,2. BELOW BASELINE,515.0,832.0,0.6189903846153846
DUOL,Business Services,Technology Services,35__2,35,2.0,1. p999999_trade_value,1006669.9999999999,1006669.9999999999,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,1.0,1.0
DUOL,Business Services,Technology Services,35__2,35,2.0,4. p999_trade_value,476000.0,300000.0,2.0,3.0,0.6666666666666666,0.75,2. BELOW BASELINE,3.0,4.0,0.75
DUOL,Business Services,Technology Services,35__2,35,2.0,5. p99_trade_value,276320.0,70112.0,27.0,33.0,0.8181818181818182,0.75,2. BELOW BASELINE,30.0,37.0,0.8108108108108109
DUOL,Business Services,Technology Services,35__2,35,2.0,6. p95_trade_value,69741.0,27200.0,82.0,144.0,0.5694444444444444,0.75,2. BELOW BASELINE,112.0,181.0,0.6187845303867403
DUOL,Business Services,Technology Services,35__2,35,2.0,7. p90_trade_value,27180.0,17220.0,120.0,180.0,0.6666666666666666,0.75,2. BELOW BASELINE,232.0,361.0,0.6426592797783933
DUOL,Business Services,Technology Services,35__2,35,2.0,8. p75_trade_value,17200.0,9308.0,307.0,542.0,0.566420664206642,0.75,2. BELOW BASELINE,539.0,903.0,0.5968992248062015
GRRR,Business Services,Technology Services,35__0,35,0.0,1. p999999_trade_value,296400.00000000006,296400.00000000006,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
GRRR,Business Services,Technology Services,35__0,35,0.0,4. p999_trade_value,208550.0,208550.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,2.0,0.0
GRRR,Business Services,Technology Services,35__0,35,0.0,5. p99_trade_value,200000.0,71250.0,7.0,19.0,0.3684210526315789,0.75,2. BELOW BASELINE,7.0,21.0,0.3333333333333333
GRRR,Business Services,Technology Services,35__0,35,0.0,6. p95_trade_value,67500.0,23400.0,31.0,78.0,0.3974358974358974,0.75,2. BELOW BASELINE,38.0,99.0,0.3838383838383838
GRRR,Business Services,Technology Services,35__0,35,0.0,7. p90_trade_value,22999.999999999996,13719.999999999998,47.0,99.0,0.47474747474747475,0.75,2. BELOW BASELINE,85.0,198.0,0.4292929292929293
GRRR,Business Services,Technology Services,35__0,35,0.0,8. p75_trade_value,13500.0,7560.000000000001,174.0,297.0,0.5858585858585859,0.75,2. BELOW BASELINE,259.0,495.0,0.5232323232323233
RCAT,Business Services,Technology Services,35__0,35,0.0,1. p999999_trade_value,79560.0,79560.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
RCAT,Business Services,Technology Services,35__0,35,0.0,4. p999_trade_value,77500.0,77500.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,2.0,0.0
RCAT,Business Services,Technology Services,35__0,35,0.0,5. p99_trade_value,76076.0,35620.0,10.0,18.0,0.5555555555555556,0.75,2. BELOW BASELINE,10.0,20.0,0.5
RCAT,Business Services,Technology Services,35__0,35,0.0,6. p95_trade_value,35000.0,17900.0,52.0,80.0,0.65,0.75,2. BELOW BASELINE,62.0,100.0,0.62
RCAT,Business Services,Technology Services,35__0,35,0.0,7. p90_trade_value,17875.0,12700.0,57.0,99.0,0.5757575757575758,0.75,2. BELOW BASELINE,119.0,199.0,0.5979899497487438
RCAT,Business Services,Technology Services,35__0,35,0.0,8. p75_trade_value,12600.000000000002,7800.0,192.0,299.0,0.6421404682274248,0.75,2. BELOW BASELINE,311.0,498.0,0.6244979919678715
ZETA,Business Services,Technology Services,35__2,35,2.0,1. p999999_trade_value,725000.0,725000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
ZETA,Business Services,Technology Services,35__2,35,2.0,4. p999_trade_value,687500.0,641760.0,3.0,3.0,1.0,0.75,1. ABOVE BASELINE,4.0,4.0,1.0
ZETA,Business Services,Technology Services,35__2,35,2.0,5. p99_trade_value,525000.0,110000.0,11.0,17.0,0.6470588235294118,0.75,2. BELOW BASELINE,15.0,21.0,0.7142857142857143
ZETA,Business Services,Technology Services,35__2,35,2.0,6. p95_trade_value,105000.0,29302.0,56.0,84.0,0.6666666666666666,0.75,2. BELOW BASELINE,71.0,105.0,0.6761904761904762
ZETA,Business Services,Technology Services,35__2,35,2.0,7. p90_trade_value,29040.000000000004,16400.0,56.0,104.0,0.5384615384615384,0.75,2. BELOW BASELINE,127.0,209.0,0.6076555023923444
ZETA,Business Services,Technology Services,35__2,35,2.0,8. p75_trade_value,16319.999999999998,8904.0,205.0,313.0,0.6549520766773163,0.75,2. BELOW BASELINE,332.0,522.0,0.6360153256704981
